START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: RDA
CALLSIGN: UA4PDJ/P
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: UA4PDJ/P
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for RDA RDAContest/2019.
QSO: 14197 PH 2019-08-17 0822 UA4PDJ/P      59 TA35 UP0L          59 0051
QSO: 21033 CW 2019-08-17 0839 UA4PDJ/P      599 TA35 UP4L          599 0042
QSO: 14205 PH 2019-08-17 0858 UA4PDJ/P      59 TA35 LY4A          59 0075
QSO: 14187 PH 2019-08-17 0904 UA4PDJ/P      59 TA35 9A5Y          59 0104
QSO: 14185 PH 2019-08-17 0912 UA4PDJ/P      59 TA35 LZ3ZZ         59 0104
QSO: 14171 PH 2019-08-17 0913 UA4PDJ/P      59 TA35 ES4RD         59 0072
QSO: 14182 PH 2019-08-17 0913 UA4PDJ/P      59 TA35 SP5C          59 0113
QSO: 14156 PH 2019-08-17 0917 UA4PDJ/P      59 TA35 LA9BM         59 0023
QSO: 14190 PH 2019-08-17 0935 UA4PDJ/P      59 TA35 HA8IB         59 0061
QSO: 14038 CW 2019-08-17 0947 UA4PDJ/P      599 TA35 YL1ZF         599 0136
QSO: 14038 CW 2019-08-17 0948 UA4PDJ/P      599 TA35 YO9HP         599 0095
QSO: 14037 CW 2019-08-17 0950 UA4PDJ/P      599 TA35 P33W          599 0184
QSO: 14037 CW 2019-08-17 0950 UA4PDJ/P      599 TA35 UR7MZ         599 0110
QSO: 14038 CW 2019-08-17 0951 UA4PDJ/P      599 TA35 DL6KVA        599 0110
QSO: 14037 CW 2019-08-17 0952 UA4PDJ/P      599 TA35 EW8DX         599 0115
QSO: 14038 CW 2019-08-17 0952 UA4PDJ/P      599 TA35 UT7CR         599 0159
QSO: 14037 CW 2019-08-17 0953 UA4PDJ/P      599 TA35 YL7X          599 0149
QSO: 14038 CW 2019-08-17 0955 UA4PDJ/P      599 TA35 HA6NL         599 0135
QSO: 14038 CW 2019-08-17 0955 UA4PDJ/P      599 TA35 HA6PJ         599 0099
QSO: 14038 CW 2019-08-17 0955 UA4PDJ/P      599 TA35 LZ1QZ         599 0050
QSO: 14038 CW 2019-08-17 0956 UA4PDJ/P      599 TA35 9A7T          599 0056
QSO: 14037 CW 2019-08-17 0957 UA4PDJ/P      599 TA35 UR5WX         599 0042
QSO: 14038 CW 2019-08-17 0959 UA4PDJ/P      599 TA35 YO8XBA        599 0143
QSO: 14000 CW 2019-08-17 1002 UA4PDJ/P      599 TA35 S52GP         599 0014
QSO: 14037 CW 2019-08-17 1002 UA4PDJ/P      599 TA35 SM5MX         599 0056
QSO: 14038 CW 2019-08-17 1002 UA4PDJ/P      599 TA35 HA3OU         599 0082
QSO: 14000 CW 2019-08-17 1003 UA4PDJ/P      599 TA35 I8QJU         599 0022
QSO: 14038 CW 2019-08-17 1004 UA4PDJ/P      599 TA35 LY1DZ         599 0074
QSO: 14037 CW 2019-08-17 1007 UA4PDJ/P      599 TA35 A71AE         599 0023
QSO: 14037 CW 2019-08-17 1007 UA4PDJ/P      599 TA35 UN8PT         599 0092
QSO: 14038 CW 2019-08-17 1009 UA4PDJ/P      599 TA35 YO8DOH        599 0008
QSO: 14037 CW 2019-08-17 1012 UA4PDJ/P      599 TA35 UP0L          599 0257
QSO: 14038 CW 2019-08-17 1014 UA4PDJ/P      599 TA35 OK1TA         599 0078
QSO: 14038 CW 2019-08-17 1014 UA4PDJ/P      599 TA35 YL2CV         599 0094
QSO: 14024 CW 2019-08-17 1015 UA4PDJ/P      599 TA35 DJ1YF         599 0069
QSO: 14038 CW 2019-08-17 1015 UA4PDJ/P      599 TA35 OR3A          599 0149
QSO: 14037 CW 2019-08-17 1016 UA4PDJ/P      599 TA35 F6AUS         599 0052
QSO: 14038 CW 2019-08-17 1017 UA4PDJ/P      599 TA35 YU3A          599 0082
QSO: 14037 CW 2019-08-17 1026 UA4PDJ/P      599 TA35 YO9AGI        599 0024
QSO: 14037 CW 2019-08-17 1027 UA4PDJ/P      599 TA35 HA8IB         599 0128
QSO: 14037 CW 2019-08-17 1027 UA4PDJ/P      599 TA35 SP5CNA        599 0078
QSO: 14037 CW 2019-08-17 1028 UA4PDJ/P      599 TA35 PA5WT         599 0087
QSO: 14037 CW 2019-08-17 1030 UA4PDJ/P      599 TA35 LZ4A          599 0036
QSO: 14037 CW 2019-08-17 1032 UA4PDJ/P      599 TA35 TA3AER        599 0020
QSO: 14037 CW 2019-08-17 1033 UA4PDJ/P      599 TA35 JH7VHZ        599 0028
QSO: 14000 CW 2019-08-17 1034 UA4PDJ/P      599 TA35 DF1SD         599 0004
QSO: 14037 CW 2019-08-17 1034 UA4PDJ/P      599 TA35 G4RCG         599 0132
