START-OF-LOG: 3.0
CALLSIGN: IZ5JLF
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 215626
NAME: bramanti claudio
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: QARTest 5.1.1
SOAPBOX: MP-1 and KX3....heavy job...i am without voice 73 claudio IZ5JLF
QSO: 21000 PH 2016-03-26 0828 IZ5JLF        59     069 UI5R          59     364
QSO: 21000 PH 2016-03-26 0829 IZ5JLF        59     070 UA6LCN        59     196
QSO: 21000 PH 2016-03-26 0833 IZ5JLF        59     071 UW1M          59     346
QSO: 21000 PH 2016-03-26 0836 IZ5JLF        59     072 RV3FF         59     855
QSO: 21000 PH 2016-03-26 0848 IZ5JLF        59     073 RV9UP         59     467
QSO: 21000 PH 2016-03-26 0849 IZ5JLF        59     074 RL3BZ         59     128
QSO: 21000 PH 2016-03-26 0850 IZ5JLF        59     075 RL6M          59     464
QSO: 21000 PH 2016-03-26 0854 IZ5JLF        59     076 UI9I          59     551
QSO: 21000 PH 2016-03-26 0855 IZ5JLF        59     077 RN9N          59     342
QSO: 21000 PH 2016-03-26 0857 IZ5JLF        59     078 JY9FC         59     520
QSO: 14000 PH 2016-03-26 0918 IZ5JLF        59     079 UZ9E          59     448
QSO: 14000 PH 2016-03-26 0919 IZ5JLF        59     080 GM5X          59     639
QSO: 14000 PH 2016-03-26 0922 IZ5JLF        59     081 UD4FD         59     331
QSO: 14000 PH 2016-03-26 0924 IZ5JLF        59     082 5E5E          59     444
QSO: 14000 PH 2016-03-26 0926 IZ5JLF        59     083 G4IIY         59     208
QSO: 14000 PH 2016-03-26 0929 IZ5JLF        59     084 CN2AA         59     240
QSO: 14000 PH 2016-03-26 0930 IZ5JLF        59     085 D41CV         59     960
QSO: 14000 PH 2016-03-26 0932 IZ5JLF        59     086 4L8A          59     658
QSO: 14000 PH 2016-03-26 0937 IZ5JLF        59     087 OG30OJ        59     576
QSO: 14000 PH 2016-03-26 0939 IZ5JLF        59     088 UT2P          59     181
QSO: 14000 PH 2016-03-26 0940 IZ5JLF        59     089 VY2ZM         59     607
QSO: 14000 PH 2016-03-26 0942 IZ5JLF        59     090 5D5D          59     296
QSO: 14000 PH 2016-03-26 0943 IZ5JLF        59     091 YL7A          59     214
QSO: 14000 PH 2016-03-26 0950 IZ5JLF        59     092 RK9AX         59     735
QSO: 28000 PH 2016-03-26 0957 IZ5JLF        59     093 A71AE         59     639
QSO: 28000 PH 2016-03-26 0958 IZ5JLF        59     094 A73A          59     101
QSO: 21000 PH 2016-03-26 1013 IZ5JLF        59     095 9K2HN         59    1143
QSO: 21000 PH 2016-03-26 1014 IZ5JLF        59     096 PS2T          59     431
QSO: 21000 PH 2016-03-26 1016 IZ5JLF        59     097 UN3M          59     354
QSO: 21000 PH 2016-03-26 1019 IZ5JLF        59     098 A65BP         59    1051
QSO: 21000 PH 2016-03-26 1021 IZ5JLF        59     099 PY1NX         59     284
QSO: 21000 PH 2016-03-26 1022 IZ5JLF        59     100 EF8U          59     207
QSO: 21000 PH 2016-03-26 1024 IZ5JLF        59     101 4X7R          59    1152
QSO: 21000 PH 2016-03-26 1032 IZ5JLF        59     102 A61SM         59     333
QSO: 21000 PH 2016-03-26 1256 IZ5JLF        59     103 AC1U          59    1189
QSO: 21000 PH 2016-03-26 1300 IZ5JLF        59     104 VE3EJ         59    1050
QSO: 21000 PH 2016-03-26 1310 IZ5JLF        59     105 K2SSS         59     194
QSO: 14000 PH 2016-03-26 1315 IZ5JLF        59     106 LY9A          59    1081
QSO: 14000 PH 2016-03-26 1317 IZ5JLF        59     107 MD4K          59     640
QSO: 14000 PH 2016-03-26 1320 IZ5JLF        59     108 UT7QL         59     417
QSO: 14000 PH 2016-03-26 1321 IZ5JLF        59     109 UC2K          59     315
QSO: 14000 PH 2016-03-26 1323 IZ5JLF        59     110 UI8J          59     402
QSO: 14000 PH 2016-03-26 1324 IZ5JLF        59     111 YL2SM         59     929
QSO: 14000 PH 2016-03-26 1325 IZ5JLF        59     112 ES1O          59     563
QSO: 14000 PH 2016-03-26 1329 IZ5JLF        59     113 YP0C          59     918
QSO: 14000 PH 2016-03-26 1331 IZ5JLF        59     114 OH5C          59     470
QSO: 14000 PH 2016-03-26 1335 IZ5JLF        59     115 OG7A          59     155
QSO: 14000 PH 2016-03-26 1337 IZ5JLF        59     116 UR7HCX        59     205
QSO: 14000 PH 2016-03-26 1358 IZ5JLF        59     117 UG3G          59     040
QSO: 14000 PH 2016-03-26 1359 IZ5JLF        59     118 UT3EV         59     475
QSO: 14000 PH 2016-03-26 1401 IZ5JLF        59     119 YL5X          59     043
QSO: 14000 PH 2016-03-26 1404 IZ5JLF        59     120 TA4AKS        59     124
QSO: 14000 PH 2016-03-26 1408 IZ5JLF        59     121 RW9USA        59    1331
QSO: 14000 PH 2016-03-26 1408 IZ5JLF        59     122 LZ3ZZ         59     658
QSO: 14000 PH 2016-03-26 1409 IZ5JLF        59     123 R3DCX         59     449
QSO: 14000 PH 2016-03-26 1413 IZ5JLF        59     124 EW2W          59     274
QSO: 14000 PH 2016-03-26 1414 IZ5JLF        59     125 RA3Y          59     469
QSO: 14000 PH 2016-03-26 1417 IZ5JLF        59     126 EW8AX         59     283
QSO: 21000 PH 2016-03-26 1422 IZ5JLF        59     127 D41CV         59     083
QSO: 21000 PH 2016-03-26 1432 IZ5JLF        59     128 UA3AGW        59     074
