START-OF-LOG: 3.0
CALLSIGN: 9M4CKB
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 27057
NAME: PERSATUAN RADIO AMATOR DAN REKREASI KOTA BHARU
LOCATION: DX
OPERATORS: 9W2KEY 9W2AEC 9W2MAX
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5555.0
SOAPBOX: OUR FIRST TRY TO JOINT THIS CONTEST WITH MULTI OPERATOR
QSO: 21000 PH 2016-03-26 0214 9M4CKB        59  0001   VU2YVK        59  0032   0
QSO: 21000 PH 2016-03-26 0216 9M4CKB        59  0002   BV0WPX        59  0063   0
QSO: 21000 PH 2016-03-26 0217 9M4CKB        59  0003   YB3MM         59  0070   0
QSO: 21000 PH 2016-03-26 0225 9M4CKB        59  0004   JH4UYB        59  0171   0
QSO: 21000 PH 2016-03-26 0230 9M4CKB        59  0005   JA7NVF        59  0173   0
QSO: 21000 PH 2016-03-26 0237 9M4CKB        59  0006   KH6J          59  0468   0
QSO: 21000 PH 2016-03-26 0239 9M4CKB        59  0007   JA7KED        59  0037   0
QSO: 21000 PH 2016-03-26 0243 9M4CKB        59  0008   JI2ZEY        59  0093   0
QSO: 21000 PH 2016-03-26 0253 9M4CKB        59  0009   BA7JA         59  0183   0
QSO: 21000 PH 2016-03-26 0255 9M4CKB        59  0010   YB3IZK        59  0042   0
QSO: 21000 PH 2016-03-26 0258 9M4CKB        59  0011   YC9GWR        59  0045   0
QSO: 21000 PH 2016-03-26 0300 9M4CKB        59  0012   VU2GRM        59  0016   0
QSO: 21000 PH 2016-03-26 0303 9M4CKB        59  0013   JH7RTQ        59  0096   0
QSO: 21000 PH 2016-03-26 0315 9M4CKB        59  0014   JI4WHS        59  0014   0
QSO: 21000 PH 2016-03-26 0321 9M4CKB        59  0015   B1W           59  0133   0
QSO: 21000 PH 2016-03-26 0324 9M4CKB        59  0016   VR2XAN        59  0299   0
QSO: 21000 PH 2016-03-26 0327 9M4CKB        59  0017   B7P           59  0185   0
QSO: 21000 PH 2016-03-26 0329 9M4CKB        59  0018   JF1ROR        59  0038   0
QSO: 21000 PH 2016-03-26 0331 9M4CKB        59  0019   JO3DDD        59  0130   0
QSO: 21000 PH 2016-03-26 0340 9M4CKB        59  0020   BY4AA         59  0072   0
QSO: 21000 PH 2016-03-26 0346 9M4CKB        59  0021   BY4CD         59  0172   0
QSO: 21000 PH 2016-03-26 0359 9M4CKB        59  0022   BH4BUI        59  0026   0
QSO: 21000 PH 2016-03-26 0403 9M4CKB        59  0023   VR2XMT        59  0372   0
