START-OF-LOG: 3.0
CALLSIGN: OE1HHB
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 663040
NAME: Harald Hofbauer
LOCATION: DX
OPERATORS: OE1HHB
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger V14.9.0
SOAPBOX: Kenwood TS570D + vertical antennas on the 6th floor balcony.
QSO:  3500 PH 2016-03-26 0320 OE1HHB        59  0001   LZ9W          59  0409
QSO:  3500 PH 2016-03-26 0321 OE1HHB        59  0002   E7DX          59  0482
QSO:  3500 PH 2016-03-26 0324 OE1HHB        59  0003   9A77A         59  0479
QSO:  3500 PH 2016-03-26 0328 OE1HHB        59  0004   HG7T          59  0359
QSO:  3500 PH 2016-03-26 0329 OE1HHB        59  0005   G2F           59  0336
QSO:  3500 PH 2016-03-26 0334 OE1HHB        59  0006   LY5Q          59  0285
QSO:  7000 PH 2016-03-26 0349 OE1HHB        59  0007   WU3A          59  0302
QSO:  7000 PH 2016-03-26 0351 OE1HHB        59  0008   RM6C          59  0325
QSO:  7000 PH 2016-03-26 0352 OE1HHB        59  0009   II9P          59  0405
QSO:  7000 PH 2016-03-26 0353 OE1HHB        59  0010   RU1A          59  0489
QSO:  7000 PH 2016-03-26 0354 OE1HHB        59  0011   EF2A          59  0343
QSO:  7000 PH 2016-03-26 0356 OE1HHB        59  0012   OG3X          59  0143
QSO:  1800 PH 2016-03-26 0358 OE1HHB        59  0013   9A77A         59  0559
QSO:  1800 PH 2016-03-26 0359 OE1HHB        59  0014   DL0NM         59  0104
QSO:  1800 PH 2016-03-26 0400 OE1HHB        59  0015   S57K          59  0310
QSO:  1800 PH 2016-03-26 0402 OE1HHB        59  0016   DQ2C          59  0435
QSO:  1800 PH 2016-03-26 0405 OE1HHB        59  0017   LZ9W          59  0182
QSO:  1800 PH 2016-03-26 0407 OE1HHB        59  0018   S53O          59  0191
QSO:  3500 PH 2016-03-26 0413 OE1HHB        59  0019   TM6M          59  0457
QSO:  3500 PH 2016-03-26 0415 OE1HHB        59  0020   OM5XX         59  0340
QSO:  3500 PH 2016-03-26 0415 OE1HHB        59  0021   S50A          59  0309
