START-OF-LOG: 3.0
CALLSIGN: N0QQQ
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 1770
NAME: Brian Wilborn
LOCATION: CO
OPERATORS: N0QQQ
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.5555.0
SOAPBOX: Date of first license 09/18/2014 under previous callsign KE0BST
QSO:  7000 PH 2016-03-26 0338 N0QQQ         59  0010   W6AFA         59  0165
QSO:  7000 PH 2016-03-26 0402 N0QQQ         59  0011   KI7Y          59  0121
QSO:  7000 PH 2016-03-26 0406 N0QQQ         59  0012   VE4VT         59  0483
QSO:  7000 PH 2016-03-26 0416 N0QQQ         59  0013   KE2VB         59  0347
QSO:  7000 PH 2016-03-26 0436 N0QQQ         59  0014   WZ7ZR         59  0364
QSO:  7000 PH 2016-03-26 0450 N0QQQ         59  0015   NE1C          59  0297
QSO:  7000 PH 2016-03-26 0453 N0QQQ         59  0016   NR6O          59  0384
QSO:  7000 PH 2016-03-26 0506 N0QQQ         59  0017   VA7ST         59  0328
QSO:  7000 PH 2016-03-26 0524 N0QQQ         59  0018   XE2S          59  0064
QSO:  7000 PH 2016-03-26 0539 N0QQQ         59  0019   N6MJ          59  0125
QSO:  7000 PH 2016-03-26 0541 N0QQQ         59  0020   NQ6N          59  0048
QSO:  7000 PH 2016-03-26 0543 N0QQQ         59  0021   N6NF          59  0338
QSO:  7000 PH 2016-03-26 0548 N0QQQ         59  0022   N6MI          59  0060
QSO:  7000 PH 2016-03-26 0555 N0QQQ         59  0023   NK7U          59  0004
QSO: 14000 PH 2016-03-27 0214 N0QQQ         59  0024   K6SCA         59  0366
QSO: 14000 PH 2016-03-27 0220 N0QQQ         59  0025   VE7NY         59  0489
QSO: 14000 PH 2016-03-27 0223 N0QQQ         59  0026   KB1EFS        59  0449
QSO: 14000 PH 2016-03-27 0229 N0QQQ         59  0027   KH6J          59  1274
QSO: 14000 PH 2016-03-27 0231 N0QQQ         59  0028   KA6BIM        59  1363
QSO: 14000 PH 2016-03-27 0236 N0QQQ         59  0029   9Y4D          59  1720
QSO: 14000 PH 2016-03-27 0239 N0QQQ         59  0030   W7PU          59  0134
QSO: 14000 PH 2016-03-27 0240 N0QQQ         59  0031   N6YG          59  0368
QSO: 14000 PH 2016-03-27 0319 N0QQQ         59  0032   AD7JP         59  1022
QSO: 14000 PH 2016-03-27 0323 N0QQQ         59  0033   FY5FY         59  3051
QSO: 14000 PH 2016-03-27 0336 N0QQQ         59  0034   KL7RA         59  2177
QSO: 14000 PH 2016-03-27 0344 N0QQQ         59  0035   N6NF          59  0452
QSO:  7000 PH 2016-03-27 0351 N0QQQ         59  0036   XL3T          59  2622
QSO:  7000 PH 2016-03-27 0353 N0QQQ         59  0037   N8BI          59  0907
QSO:  7000 PH 2016-03-27 0356 N0QQQ         59  0038   KT4RR         59  0302
QSO:  7000 PH 2016-03-27 0359 N0QQQ         59  0039   AB5ZA         59  0213
QSO:  7000 PH 2016-03-27 0403 N0QQQ         59  0040   W4ML          59  1138
QSO:  7000 PH 2016-03-27 0405 N0QQQ         59  0041   VE7GL         59  1703
QSO:  7000 PH 2016-03-27 0411 N0QQQ         59  0042   WQ6X          59  2254
QSO:  7000 PH 2016-03-27 0419 N0QQQ         59  0043   W8WOM         59  0159
QSO: 14000 PH 2016-03-27 1634 N0QQQ         59  0044   WQ6X          59  0826
QSO: 14000 PH 2016-03-27 1726 N0QQQ         59  0045   KX7M          59  1792
END-OF-LOG:
