START-OF-LOG: 3.0
CALLSIGN: HB9FBP
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 168973
NAME: Francesco Meniconzi
LOCATION: DX
OPERATORS: HB9FBP
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.5555.0
SOAPBOX: Tnx for hamspirit in the contest... 73 de HB9FBP/ Francesco
QSO: 21275 PH 2016-03-27 0732 HB9FBP        59  0001   EF8U          59  1189
QSO: 21377 PH 2016-03-27 0734 HB9FBP        59  0002   IZ1ESM        59  0216
QSO: 14318 PH 2016-03-27 0736 HB9FBP        59  0003   5D5D          59  1142
QSO: 14290 PH 2016-03-27 0737 HB9FBP        59  0004   D41CV         59  3275
QSO: 14275 PH 2016-03-27 0741 HB9FBP        59  0005   SZ3P          59  1244
QSO: 14252 PH 2016-03-27 0741 HB9FBP        59  0006   SJ2W          59  2947
QSO: 14243 PH 2016-03-27 0744 HB9FBP        59  0007   SX9C          59  1527
QSO: 14223 PH 2016-03-27 0746 HB9FBP        59  0008   UA1CEI        59  0981
QSO: 14215 PH 2016-03-27 0750 HB9FBP        59  0009   ES1O          59  1236
QSO: 14323 PH 2016-03-27 0752 HB9FBP        59  0010   SV8CRI        59  0773
QSO: 14287 PH 2016-03-27 0755 HB9FBP        59  0011   UP0L          59  0064
QSO: 14205 PH 2016-03-27 0800 HB9FBP        59  0012   TC3P          59  1429
QSO: 14185 PH 2016-03-27 0803 HB9FBP        59  0013   UW1G          59  0410
QSO: 14172 PH 2016-03-27 0804 HB9FBP        59  0014   EW6W          59  1656
QSO: 14168 PH 2016-03-27 0805 HB9FBP        59  0015   YL9T          59  1390
QSO: 14167 PH 2016-03-27 0806 HB9FBP        59  0016   EA7ATX        59  1113
QSO: 14164 PH 2016-03-27 0813 HB9FBP        59  0017   OG30OJ        59  1216
QSO: 14151 PH 2016-03-27 0813 HB9FBP        59  0018   EA9KB         59  1514
QSO: 14147 PH 2016-03-27 0814 HB9FBP        59  0019   OH8NW         59  1290
QSO: 14138 PH 2016-03-27 0814 HB9FBP        59  0020   LZ1ND         59  0227
QSO: 14132 PH 2016-03-27 0816 HB9FBP        59  0021   UZ5U          59  0777
QSO: 14159 PH 2016-03-27 0819 HB9FBP        59  0022   UT2PX         59  0420
QSO: 14189 PH 2016-03-27 0820 HB9FBP        59  0023   UV5U          59  0540
QSO: 14200 PH 2016-03-27 0821 HB9FBP        59  0024   EC5AN         59  2149
QSO: 14237 PH 2016-03-27 0823 HB9FBP        59  0025   RA3Y          59  1375
QSO: 14242 PH 2016-03-27 0823 HB9FBP        59  0026   RU1M          59  0714
QSO: 14247 PH 2016-03-27 0824 HB9FBP        59  0027   RW9USA        59  1990
QSO: 14257 PH 2016-03-27 0825 HB9FBP        59  0028   YL1ZX         59  0969
QSO: 14271 PH 2016-03-27 0827 HB9FBP        59  0029   UD1A          59  0492
QSO: 14306 PH 2016-03-27 0829 HB9FBP        59  0030   LZ9W          59  1547
QSO: 14303 PH 2016-03-27 0834 HB9FBP        59  0031   YO9HP         59  1098
QSO: 14301 PH 2016-03-27 0835 HB9FBP        59  0032   UR2Y          59  0783
QSO: 14285 PH 2016-03-27 0836 HB9FBP        59  0033   RW8T          59  0774
QSO:  7085 PH 2016-03-27 0842 HB9FBP        59  0034   S570ZRS       59  1705
QSO:  7096 PH 2016-03-27 0844 HB9FBP        59  0035   OE5T          59  0474
QSO:  7100 PH 2016-03-27 0845 HB9FBP        59  0036   S50D          59  1182
QSO:  7106 PH 2016-03-27 0846 HB9FBP        59  0037   SN1D          59  1640
QSO:  7133 PH 2016-03-27 0850 HB9FBP        59  0038   F4CRE         59  0098
QSO:  7138 PH 2016-03-27 0851 HB9FBP        59  0039   PA3T          59  0426
QSO:  7143 PH 2016-03-27 0853 HB9FBP        59  0040   G3PXT         59  0342
QSO:  7150 PH 2016-03-27 0855 HB9FBP        59  0041   IK0BAL        59  0059
QSO:  7156 PH 2016-03-27 0856 HB9FBP        59  0042   DK1QH         59  0726
QSO:  7169 PH 2016-03-27 0857 HB9FBP        59  0043   OZ5E          59  1270
QSO:  7163 PH 2016-03-27 0858 HB9FBP        59  0044   DK7CH         59  0314
QSO:  7159 PH 2016-03-27 0859 HB9FBP        59  0045   LZ9W          59  1699
QSO:  7114 PH 2016-03-27 0904 HB9FBP        59  0046   TM5A          59  0509
QSO:  7092 PH 2016-03-27 0905 HB9FBP        59  0047   ON6NL         59  1035
QSO: 14240 PH 2016-03-27 0923 HB9FBP        59  0048   YL2CI         59  0920
QSO: 14209 PH 2016-03-27 0924 HB9FBP        59  0049   LY7A          59  0935
QSO: 14190 PH 2016-03-27 0925 HB9FBP        59  0050   CR6P          59  1716
QSO: 14210 PH 2016-03-27 0934 HB9FBP        59  0051   RZ1AWT        59  0139
QSO: 14258 PH 2016-03-27 0936 HB9FBP        59  0052   GM5X          59  2868
QSO: 14293 PH 2016-03-27 0939 HB9FBP        59  0053   CN2AA         59  2334
QSO: 14299 PH 2016-03-27 0939 HB9FBP        59  0054   ED1R          59  2337
QSO: 14297 PH 2016-03-27 0940 HB9FBP        59  0055   UZ0U          59  0419
QSO: 14327 PH 2016-03-27 0941 HB9FBP        59  0056   OH6K          59  1228
QSO: 14281 PH 2016-03-27 0943 HB9FBP        59  0057   OH5C          59  0876
QSO: 14260 PH 2016-03-27 0944 HB9FBP        59  0058   EI7M          59  2168
QSO: 14249 PH 2016-03-27 0945 HB9FBP        59  0059   P33W          59  5168
QSO: 14232 PH 2016-03-27 0947 HB9FBP        59  0060   RJ4P          59  2818
QSO: 14143 PH 2016-03-27 0952 HB9FBP        59  0061   5E5E          59  1662
QSO: 21152 PH 2016-03-27 1323 HB9FBP        59  0062   PX5E          59  3404
QSO: 21172 PH 2016-03-27 1325 HB9FBP        59  0063   YV1KK         59  2805
QSO: 21176 PH 2016-03-27 1325 HB9FBP        59  0064   8P2K          59  0824
QSO: 21185 PH 2016-03-27 1326 HB9FBP        59  0065   8P5A          59  4706
QSO: 21191 PH 2016-03-27 1327 HB9FBP        59  0066   EB8AH         59  1212
QSO: 21194 PH 2016-03-27 1328 HB9FBP        59  0067   V43Z          59  2478
QSO: 21201 PH 2016-03-27 1329 HB9FBP        59  0068   VY2ZM         59  3556
QSO: 21208 PH 2016-03-27 1331 HB9FBP        59  0069   P3F           59  3278
QSO: 21237 PH 2016-03-27 1333 HB9FBP        59  0070   ZY2A          59  1220
QSO: 21252 PH 2016-03-27 1336 HB9FBP        59  0071   P45A          59  2233
QSO: 21258 PH 2016-03-27 1338 HB9FBP        59  0072   PS5A          59  1245
QSO: 14332 PH 2016-03-27 1338 HB9FBP        59  0073   OG6N          59  1874
QSO: 14345 PH 2016-03-27 1341 HB9FBP        59  0074   OH0X          59  3019
