START-OF-LOG: 3.0
CONTEST: REF-CW
CALLSIGN: EA8/HB9FIH
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLAIMED-SCORE: 15960
CREATED-BY: UcxLog 7.71
OPERATORS: HB9FIH
NAME: Erich Rieder
SOAPBOX: Nice Contest, like it. Also French OM's listend very well.
SOAPBOX: I was surprised that most active band was 15m for me
SOAPBOX: Then 40m / 20m and few 80m
SOAPBOX: TNX if ever possible see 2018
QSO:  7000 CW 2017-01-29 0611 EA8/HB9FIH    599 063    F2YT          599 62
QSO:  7000 CW 2017-01-29 0841 EA8/HB9FIH    599 064    F6KHM         599 29
QSO:  7000 CW 2017-01-29 0848 EA8/HB9FIH    599 065    F6KPQ         599 56
QSO: 14000 CW 2017-01-29 1502 EA8/HB9FIH    599 066    F6FDR         599 84
QSO: 14000 CW 2017-01-29 1507 EA8/HB9FIH    599 067    F6FET         599 53
QSO: 14000 CW 2017-01-29 1516 EA8/HB9FIH    599 068    FG4KH         599 FG
QSO: 14000 CW 2017-01-29 1520 EA8/HB9FIH    599 069    F6KAT         599 57
QSO: 14000 CW 2017-01-29 1524 EA8/HB9FIH    599 070    F5UTN         599 27
QSO: 14000 CW 2017-01-29 1526 EA8/HB9FIH    599 071    F5NKX         599 50
QSO: 14000 CW 2017-01-29 1531 EA8/HB9FIH    599 072    F4WBN         599 64
QSO: 14000 CW 2017-01-29 1536 EA8/HB9FIH    599 073    F8KHP         599 88
QSO: 14000 CW 2017-01-29 1546 EA8/HB9FIH    599 074    TM1A          599 77
QSO: 14000 CW 2017-01-29 1558 EA8/HB9FIH    599 075    F8DRE         599 28
QSO: 14000 CW 2017-01-29 1602 EA8/HB9FIH    599 076    F5KEQ         599 44
END-OF-LOG:
