START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.20.0
CONTEST: REF-CW
LOCATION: 60
CALLSIGN: F5KMB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: CLUB
CLAIMED-SCORE: 1155224
OPERATORS: F6DWG F8BRL F8FFI
NAME: radio club pierre coulon
CERTIFICATE: NO
SOAPBOX: 
RIG: IC 756 PRO II + dipole 80/40 et beam 14/21/28
QSO:  3546 CW 2017-01-28 0601 F5KMB         599 60     F6FDR         599 84    
QSO:  3546 CW 2017-01-28 0602 F5KMB         599 60     F8BDX         599 06    
QSO:  3546 CW 2017-01-28 0603 F5KMB         599 60     DL1ROT        599 001   
QSO:  3546 CW 2017-01-28 0604 F5KMB         599 60     HA5PP         599 006   
QSO:  3546 CW 2017-01-28 0608 F5KMB         599 60     OK1YR         599 003   
QSO:  3546 CW 2017-01-28 0614 F5KMB         599 60     F6GVC         599 47    
QSO:  3546 CW 2017-01-28 0616 F5KMB         599 60     HA1SN         599 004   
QSO:  3546 CW 2017-01-28 0616 F5KMB         599 60     F5IQJ         599 05    
QSO:  3546 CW 2017-01-28 0617 F5KMB         599 60     F5VHY         599 47    
QSO:  3546 CW 2017-01-28 0618 F5KMB         599 60     F6BHI         599 19    
QSO:  3546 CW 2017-01-28 0619 F5KMB         599 60     SP4AWE        599 013   
QSO:  3546 CW 2017-01-28 0623 F5KMB         599 60     F5YG          599 60    
QSO:  3546 CW 2017-01-28 0624 F5KMB         599 60     DL1NKS        599 020   
QSO:  3546 CW 2017-01-28 0627 F5KMB         599 60     F5SEP         599 65    
QSO:  3546 CW 2017-01-28 0628 F5KMB         599 60     F6KJJ         599 38    
QSO:  3546 CW 2017-01-28 0629 F5KMB         599 60     DL1LAF        599 010   
QSO:  3546 CW 2017-01-28 0630 F5KMB         599 60     CT1ELZ        599 015   
QSO:  3546 CW 2017-01-28 0631 F5KMB         599 60     DM2GG         599 001   
QSO:  3546 CW 2017-01-28 0634 F5KMB         599 60     GW5R          599 030   
QSO:  3546 CW 2017-01-28 0635 F5KMB         599 60     EA2BNU        599 022   
QSO:  3546 CW 2017-01-28 0639 F5KMB         599 60     F8DRE         599 28    
QSO:  3546 CW 2017-01-28 0641 F5KMB         599 60     F5XX          599 81    
QSO:  3546 CW 2017-01-28 0644 F5KMB         599 60     HA6NW         599 014   
QSO:  3546 CW 2017-01-28 0645 F5KMB         599 60     OK1PFM        599 006   
QSO:  3546 CW 2017-01-28 0647 F5KMB         599 60     F5NKX         599 50    
QSO:  3546 CW 2017-01-28 0647 F5KMB         599 60     F6CYT         599 44    
QSO:  3546 CW 2017-01-28 0648 F5KMB         599 60     F5LGF         599 67    
QSO:  3546 CW 2017-01-28 0649 F5KMB         599 60     F6KBF         599 78    
QSO:  3546 CW 2017-01-28 0650 F5KMB         599 60     F8CRS         599 67    
QSO:  3546 CW 2017-01-28 0653 F5KMB         599 60     F5RJW         599 71    
QSO:  3546 CW 2017-01-28 0656 F5KMB         599 60     F5KGA         599 38    
QSO:  3546 CW 2017-01-28 0656 F5KMB         599 60     TM8CIL        599 03    
QSO:  3546 CW 2017-01-28 0658 F5KMB         599 60     F5LLN         599 59    
QSO:  3546 CW 2017-01-28 0659 F5KMB         599 60     F5JDH         599 03    
QSO:  3546 CW 2017-01-28 0700 F5KMB         599 60     LY7Z          599 018   
QSO:  3546 CW 2017-01-28 0701 F5KMB         599 60     F5ICC         599 24    
QSO:  3546 CW 2017-01-28 0703 F5KMB         599 60     FY5KE         599 FY    
QSO:  3546 CW 2017-01-28 0704 F5KMB         599 60     F8KGW         599 35    
QSO:  3546 CW 2017-01-28 0705 F5KMB         599 60     F5NTZ         599 77    
QSO:  3546 CW 2017-01-28 0707 F5KMB         599 60     DL8HK         599 018   
QSO:  3546 CW 2017-01-28 0707 F5KMB         599 60     M0TDW         599 037   
QSO:  3546 CW 2017-01-28 0708 F5KMB         599 60     F6FSW         599 33    
QSO:  3546 CW 2017-01-28 0709 F5KMB         599 60     F8FUA         599 14    
QSO:  3546 CW 2017-01-28 0709 F5KMB         599 60     G3ZGC         599 037   
QSO:  3546 CW 2017-01-28 0710 F5KMB         599 60     F6BUL         599 74    
QSO:  3546 CW 2017-01-28 0711 F5KMB         599 60     F6KRK         599 78    
QSO:  3546 CW 2017-01-28 0712 F5KMB         599 60     F6FWQ         599 86    
QSO:  3546 CW 2017-01-28 0713 F5KMB         599 60     F5KCH         599 58    
QSO:  3546 CW 2017-01-28 0714 F5KMB         599 60     F5OYJ         599 44    
QSO:  3546 CW 2017-01-28 0714 F5KMB         599 60     TM5OTT        599 37    
QSO:  3546 CW 2017-01-28 0715 F5KMB         599 60     F4HFF         599 27    
QSO:  3546 CW 2017-01-28 0716 F5KMB         599 60     F5KFL         599 86    
QSO:  3546 CW 2017-01-28 0721 F5KMB         599 60     DL1ASA        599 060   
QSO:  3546 CW 2017-01-28 0722 F5KMB         599 60     F5MBF         599 77    
QSO:  3546 CW 2017-01-28 0723 F5KMB         599 60     TM1O          599 83    
QSO:  3546 CW 2017-01-28 0723 F5KMB         599 60     SE4E          599 039   
QSO:  3546 CW 2017-01-28 0725 F5KMB         599 60     F5KEQ         599 44    
QSO: 14045 CW 2017-01-28 0737 F5KMB         599 60     LZ5XQ         599 003   
QSO: 14045 CW 2017-01-28 0738 F5KMB         599 60     RT7C          599 006   
QSO: 14045 CW 2017-01-28 0739 F5KMB         599 60     RU7A          599 006   
QSO: 14045 CW 2017-01-28 0739 F5KMB         599 60     RA6CU         599 002   
