START-OF-LOG: 3.0
CREATED-BY: ua9qcq-rda-ubn-downloader
CONTEST: RDA
CALLSIGN: OK2MBP
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-ASSISTED: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: 
CATEGORY-POWER: LOW
OPERATORS: OK2MBP
QSO: 14000 CW 2018-08-18 0803 OK2MBP        599 0001   RW7F          599 ST24  
QSO: 14000 CW 2018-08-18 0808 OK2MBP        599 0002   RL3T/P        599 NN23  
QSO: 14000 CW 2018-08-18 0810 OK2MBP        599 0003   RK3T          599 NN58  
QSO: 14000 CW 2018-08-18 0815 OK2MBP        599 0004   UA4LCH        599 UL01  
QSO: 14000 CW 2018-08-18 0816 OK2MBP        599 0005   UA4WW         599 UD06  
QSO: 14000 CW 2018-08-18 0817 OK2MBP        599 0006   RN9S          599 OB02  
QSO: 14000 CW 2018-08-18 0819 OK2MBP        599 0007   RK8O/P        599 NS27  
QSO: 14000 CW 2018-08-18 0821 OK2MBP        599 0008   RC8A          599 CB27  
QSO: 14000 CW 2018-08-18 0823 OK2MBP        599 0009   RM1T          599 NV05  
QSO: 14000 CW 2018-08-18 0826 OK2MBP        599 0010   RT3N          599 KS15  
QSO: 14000 CW 2018-08-18 0827 OK2MBP        599 0011   UA5R          599 TB20  
QSO: 14000 CW 2018-08-18 0830 OK2MBP        599 0012   RC9J          599 HM11  
QSO: 14000 CW 2018-08-18 0832 OK2MBP        599 0014   RC4I/P        599 SR12  
QSO: 14000 CW 2018-08-18 0832 OK2MBP        599 0013   R3OR/P        599 BO26  
QSO: 14000 CW 2018-08-18 0833 OK2MBP        599 0015   RK3DWW/P      599 MO13  
QSO: 14000 CW 2018-08-18 0835 OK2MBP        599 0016   RW0AJ         599 KK08  
QSO: 14000 CW 2018-08-18 0836 OK2MBP        599 0018   RT5Z          599 BO27  
QSO: 14000 CW 2018-08-18 0836 OK2MBP        599 0017   RZ4A          599 VG10  
QSO: 14000 CW 2018-08-18 0838 OK2MBP        599 0019   RC6U          599 AO13  
