START-OF-LOG: 3.0
CREATED-BY: ua9qcq-rda-ubn-downloader
CONTEST: RDA
CALLSIGN: D1A
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-ASSISTED: 
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: 
CATEGORY-POWER: LOW
OPERATORS: D1A
QSO: 14010 CW 2018-08-18 0803 D1A           599 0001   RZ9SZ/3       599 MO60  
QSO: 14032 CW 2018-08-18 0807 D1A           599 0002   RK8O/P        599 NS27  
QSO: 14023 CW 2018-08-18 0808 D1A           599 0003   RN3AC/P       599 TV32  
QSO: 14017 CW 2018-08-18 0814 D1A           599 0004   R0AK          599 KK08  
QSO: 14027 CW 2018-08-18 0815 D1A           599 0006   R4LR          599 UL06  
QSO: 14021 CW 2018-08-18 0815 D1A           599 0005   RW0AJ         599 KK08  
QSO: 14025 CW 2018-08-18 0816 D1A           599 0007   RC9J          599 HM11  
QSO: 14014 CW 2018-08-18 0817 D1A           599 0008   RW1F          599 LO30  
QSO: 14011 CW 2018-08-18 0821 D1A           599 0009   RT4W          599 UD05  
QSO: 14017 CW 2018-08-18 0822 D1A           599 0010   RQ9O          599 NS21  
QSO: 14017 CW 2018-08-18 0823 D1A           599 0011   RT4M          599 UL06  
QSO: 14030 CW 2018-08-18 0824 D1A           599 0013   RD0A          599 KK49  
QSO: 14024 CW 2018-08-18 0824 D1A           599 0012   RN9C/P        599 SV17  
QSO: 14033 CW 2018-08-18 0825 D1A           599 0015   RN9S          599 OB02  
QSO: 14031 CW 2018-08-18 0825 D1A           599 0014   RC9A          599 CB27  
QSO: 14046 CW 2018-08-18 0827 D1A           599 0016   UA9LAO        599 TN03  
QSO: 14003 CW 2018-08-18 0830 D1A           599 0018   RA1AL         599 SP17  
QSO: 14007 CW 2018-08-18 0830 D1A           599 0017   UA4S          599 MR06  
QSO: 14011 CW 2018-08-18 0831 D1A           599 0019   RM7C          599 KR09  
QSO: 14015 CW 2018-08-18 0832 D1A           599 0021   RN4W          599 UD02  
QSO: 14014 CW 2018-08-18 0832 D1A           599 0020   RW0A          599 KK33  
