START-OF-LOG: 2.0
REF-SECTION: DX
CALLSIGN: YL2TB
CONTEST: REF-CW
CATEGORY: SINGLE-OP 20M LOW CW
CLAIMED-SCORE: 14960
OPERATORS: YL2TB
NAME: Victor Ivanov
CREATED-BY: N1MM Logger V11.10.2
QSO: 14027 CW 2012-01-28 0825 YL2TB         599 0001   F5KKD         599 93      
QSO: 14022 CW 2012-01-28 0827 YL2TB         599 0002   F5OHM         599 36      
QSO: 14059 CW 2012-01-28 0833 YL2TB         599 0003   F5UKL         599 64      
QSO: 14020 CW 2012-01-28 0837 YL2TB         599 0004   F5OTZ         599 83      
QSO: 14016 CW 2012-01-28 0840 YL2TB         599 0005   FK/F6KCS      599 FK      
QSO: 14023 CW 2012-01-28 0852 YL2TB         599 0006   F6GCI         599 57      
QSO: 14035 CW 2012-01-28 0855 YL2TB         599 0007   F9EW          599 77      
QSO: 14026 CW 2012-01-28 1131 YL2TB         599 0008   TM6D          599 38      
QSO: 14024 CW 2012-01-28 1132 YL2TB         599 0009   F6EJN         599 81      
QSO: 14046 CW 2012-01-28 1132 YL2TB         599 0010   F6KDL         599 68      
QSO: 14033 CW 2012-01-28 1133 YL2TB         599 0011   F6FTB         599 21      
QSO: 14023 CW 2012-01-28 1134 YL2TB         599 0012   F5VBU         599 66      
QSO: 14012 CW 2012-01-28 1135 YL2TB         599 0013   F6DYX         599 49      
QSO: 14031 CW 2012-01-28 1136 YL2TB         599 0014   F6KRK         599 78      
QSO: 14002 CW 2012-01-28 1137 YL2TB         599 0015   F5MPN         599 808     
QSO: 14027 CW 2012-01-28 1137 YL2TB         599 0016   F5JFU         599 58      
QSO: 14020 CW 2012-01-28 1138 YL2TB         599 0017   TM6GGR        599 37      
QSO: 14034 CW 2012-01-28 1139 YL2TB         599 0018   F5UFX         599 73      
QSO: 14032 CW 2012-01-28 1139 YL2TB         599 0019   F5LCH         599 85      
QSO: 14030 CW 2012-01-28 1141 YL2TB         599 0020   F6KKH         599 11      
QSO: 14011 CW 2012-01-28 1142 YL2TB         599 0021   F6FDR         599 84      
QSO: 14026 CW 2012-01-28 1143 YL2TB         599 0022   F5XX          599 81      
QSO: 14028 CW 2012-01-28 1144 YL2TB         599 0023   F5VBT         599 38      
QSO: 14018 CW 2012-01-28 1147 YL2TB         599 0024   F5LZN         599 84      
QSO: 14018 CW 2012-01-28 1148 YL2TB         599 0025   F6EDO         599 84      
QSO: 14043 CW 2012-01-28 1245 YL2TB         599 0026   TM57M         599 57      
QSO: 14024 CW 2012-01-28 1246 YL2TB         599 0027   TM2B          599 03      
QSO: 14020 CW 2012-01-28 1247 YL2TB         599 0028   F5POJ         599 02      
QSO: 14052 CW 2012-01-28 1248 YL2TB         599 0029   F8BDQ         599 18      
QSO: 14027 CW 2012-01-28 1249 YL2TB         599 0030   F5KCC         599 89      
QSO: 14039 CW 2012-01-28 1251 YL2TB         599 0031   F8FSC         599 39      
QSO: 14016 CW 2012-01-28 1252 YL2TB         599 0032   F5PTI         599 16      
QSO: 14050 CW 2012-01-28 1254 YL2TB         599 0033   F5KLP         599 49      
QSO: 14012 CW 2012-01-28 1255 YL2TB         599 0034   F6BUL         599 74      
QSO: 14035 CW 2012-01-28 1256 YL2TB         599 0035   F5MFI         599 45      
QSO: 14032 CW 2012-01-28 1256 YL2TB         599 0036   F5VHY         599 47      
QSO: 14037 CW 2012-01-28 1257 YL2TB         599 0037   F8DZY         599 47      
QSO: 14018 CW 2012-01-28 1258 YL2TB         599 0038   F5LPY         599 55      
QSO: 14025 CW 2012-01-28 1259 YL2TB         599 0039   F5KDK/P       599 83      
QSO: 14021 CW 2012-01-28 1302 YL2TB         599 0040   F5UOW         599 14      
QSO: 14026 CW 2012-01-28 1302 YL2TB         599 0041   F4EUN         599 83      
QSO: 14007 CW 2012-01-28 1303 YL2TB         599 0042   F5SGI/P       599 14      
QSO: 14021 CW 2012-01-28 1306 YL2TB         599 0043   F6APE         599 49      
QSO: 14030 CW 2012-01-28 1306 YL2TB         599 0044   F5UTN         599 27      
QSO: 14054 CW 2012-01-28 1307 YL2TB         599 0045   F3CW          599 54      
QSO: 14026 CW 2012-01-28 1308 YL2TB         599 0046   F4FDA         599 29      
QSO: 14029 CW 2012-01-28 1310 YL2TB         599 0047   F5NWG         599 11      
QSO: 14037 CW 2012-01-28 1313 YL2TB         599 0048   F6REF         599 00      
QSO: 14016 CW 2012-01-28 1320 YL2TB         599 0049   F6CYT         599 44      
QSO: 14038 CW 2012-01-28 1321 YL2TB         599 0050   F6KMB         599 59      
QSO: 14024 CW 2012-01-28 1324 YL2TB         599 0051   F4EMK         599 64      
QSO: 14023 CW 2012-01-28 1324 YL2TB         599 0052   F6KLO         599 19      
QSO: 14041 CW 2012-01-28 1325 YL2TB         599 0053   F5AIB         599 54      
QSO: 14037 CW 2012-01-28 1327 YL2TB         599 0054   F6KMX         599 94      
QSO: 14011 CW 2012-01-28 1328 YL2TB         599 0055   F6EZF         599 71      
QSO: 14040 CW 2012-01-28 1330 YL2TB         599 0056   F8KHO         599 51      
QSO: 14008 CW 2012-01-28 1335 YL2TB         599 0057   F8GGZ         599 39      
QSO: 14032 CW 2012-01-28 1336 YL2TB         599 0058   F6AXX         599 83      
QSO: 14032 CW 2012-01-28 1337 YL2TB         599 0059   F6HJO/P       599 21      
QSO: 14025 CW 2012-01-28 1337 YL2TB         599 0060   F5TFU         599 50      
QSO: 14017 CW 2012-01-28 1338 YL2TB         599 0061   F5KMB/P       599 60      
QSO: 14044 CW 2012-01-28 1339 YL2TB         599 0062   TM2T          599 69      
QSO: 14010 CW 2012-01-28 1339 YL2TB         599 0063   F8BUO         599 68      
QSO: 14030 CW 2012-01-28 1341 YL2TB         599 0064   F4KIU         599 67      
QSO: 14017 CW 2012-01-28 1344 YL2TB         599 0065   F2QH          599 95      
QSO: 14032 CW 2012-01-28 1346 YL2TB         599 0066   F5RKL         599 54      
