START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.229 [RUS]
CALLSIGN: UU4JDD
LOCATION: DX
CONTEST: REF-CW
CLAIMED-SCORE: 25986
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-TRANSMITTER: ONE
CLUB: Black Sea Contest Club
NAME: Max F. Yevsyukov
SOAPBOX: Thank's to all op's from France! It was fun! 
QSO: 14000 CW 2012-01-28 0904 UU4JDD        599 1      F8AEE         599 10           
QSO: 14000 CW 2012-01-28 0929 UU4JDD        599 2      F5KLP         599 49           
QSO: 14000 CW 2012-01-28 0932 UU4JDD        599 3      F5VBT         599 38           
QSO: 28000 CW 2012-01-28 0936 UU4JDD        599 4      F5OHM         599 36           
QSO: 28000 CW 2012-01-28 0936 UU4JDD        599 5      F5IN          599 45           
QSO: 28000 CW 2012-01-28 0941 UU4JDD        599 6      F5DM          599 78           
QSO: 28000 CW 2012-01-28 0943 UU4JDD        599 7      F8AKC         599 63           
QSO: 28000 CW 2012-01-28 1010 UU4JDD        599 8      F5MFI         599 45           
QSO: 28000 CW 2012-01-28 1011 UU4JDD        599 9      F5RAB         599 28           
QSO: 28000 CW 2012-01-28 1014 UU4JDD        599 10     F6APE         599 49           
QSO: 28000 CW 2012-01-28 1020 UU4JDD        599 11     F5VBU         599 66           
QSO: 28000 CW 2012-01-28 1021 UU4JDD        599 12     F6KLO         599 19           
QSO: 28000 CW 2012-01-28 1023 UU4JDD        599 13     F5OTZ         599 83           
QSO: 28000 CW 2012-01-28 1027 UU4JDD        599 14     TM6GGR        599 37           
QSO: 28000 CW 2012-01-28 1035 UU4JDD        599 15     F5KMB/P       599 60           
QSO: 21000 CW 2012-01-28 1036 UU4JDD        599 16     TM2B          599 03           
QSO: 14000 CW 2012-01-28 1047 UU4JDD        599 17     F2GL          599 89           
QSO: 14000 CW 2012-01-28 1100 UU4JDD        599 18     F8BDQ         599 18           
QSO: 14000 CW 2012-01-28 1102 UU4JDD        599 19     F6HKA         599 87           
QSO: 28000 CW 2012-01-28 1107 UU4JDD        599 20     F8GQO         599 81           
QSO: 28000 CW 2012-01-28 1110 UU4JDD        599 21     F8DZY         599 47           
QSO: 28000 CW 2012-01-28 1115 UU4JDD        599 22     F5UTN         599 27           
QSO: 28000 CW 2012-01-28 1117 UU4JDD        599 23     F6KMX         599 94           
QSO: 28000 CW 2012-01-28 1122 UU4JDD        599 24     F5UFX         599 73           
QSO: 28000 CW 2012-01-28 1124 UU4JDD        599 25     F6HJO/P       599 21           
QSO: 28000 CW 2012-01-28 1125 UU4JDD        599 26     F8BUO         599 68           
