START-OF-LOG: 3.0
CREATED-BY: Notepad
CATEGORY-LOCATION: DX
CONTEST: REF-CW
CALLSIGN: GM0OAA
CATEGORY: SINGLE-OP ALL CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-MODE: CW
CLAIMED-SCORE: 6808
OPERATORS: GM0OAA
NAME: Mike Wigg
SOAPBOX: TRX Ten Tec Argosy 23/30 Watts + LW Antenne
QSO:  7019 CW 2012-01-28 0732 GM0OAA        599 001    TM2OP         599 86
QSO:  7026 CW 2012-01-28 0737 GM0OAA        599 002    F6GNG         599 27
QSO:  7024 CW 2012-01-28 0738 GM0OAA        599 003    F6EZF         599 71
QSO:  7027 CW 2012-01-28 0741 GM0OAA        599 004    F5LPY         599 55
QSO:  7020 CW 2012-01-28 0744 GM0OAA        599 005    TM5FFT        599 56
QSO:  7020 CW 2012-01-28 0747 GM0OAA        599 006    F8BUO         599 68
QSO:  3529 CW 2012-01-28 0750 GM0OAA        599 007    F1AKK         599 29
QSO:  3520 CW 2012-01-28 0753 GM0OAA        599 008    TM6GGR        599 37
QSO:  3514 CW 2012-01-28 0756 GM0OAA        599 009    F6KRK         599 78
QSO:  3535 CW 2012-01-28 0758 GM0OAA        599 010    F5RAB         599 28
QSO:  3533 CW 2012-01-28 0801 GM0OAA        599 011    F5UTN         599 27
QSO:  3529 CW 2012-01-28 0804 GM0OAA        599 012    F5NKX         599 50
QSO:  7013 CW 2012-01-28 0822 GM0OAA        599 013    F5VHY         599 47
QSO:  7014 CW 2012-01-28 0830 GM0OAA        599 014    F6CXJ         599 47
QSO:  7014 CW 2012-01-28 0831 GM0OAA        599 015    F6KNB         599 33
QSO:  7015 CW 2012-01-28 0833 GM0OAA        599 016    F5KMB/P       599 60
QSO:  7017 CW 2012-01-28 0837 GM0OAA        599 017    TM2B          599 03
QSO:  7021 CW 2012-01-28 0845 GM0OAA        599 018    F6HKA         599 87
QSO:  7027 CW 2012-01-28 0852 GM0OAA        599 019    F8EMH         599 54
QSO:  7028 CW 2012-01-28 0854 GM0OAA        599 020    F6KRK         599 78
QSO:  7033 CW 2012-01-28 0855 GM0OAA        599 021    F5CQ          599 35
QSO:  7032 CW 2012-01-28 0856 GM0OAA        599 022    TM70TRS       599 63
QSO:  7031 CW 2012-01-28 0858 GM0OAA        599 023    F4KIU         599 67
QSO:  7008 CW 2012-01-28 0906 GM0OAA        599 024    F5POJ         599 02
QSO:  7009 CW 2012-01-28 0908 GM0OAA        599 025    F6KJX         599 41
QSO:  7008 CW 2012-01-28 0911 GM0OAA        599 026    F5UFX         599 73
QSO:  7013 CW 2012-01-28 0912 GM0OAA        599 027    F5UTN         599 27
QSO:  7017 CW 2012-01-28 0918 GM0OAA        599 028    F5VV          599 01
QSO:  7012 CW 2012-01-28 0930 GM0OAA        599 029    F6KMB         599 59
QSO:  7021 CW 2012-01-28 0939 GM0OAA        599 030    F8KHO         599 51
QSO:  7024 CW 2012-01-28 0940 GM0OAA        599 031    F1AKK         599 29
QSO:  7024 CW 2012-01-28 0945 GM0OAA        599 032    F8KCF         599 74
QSO:  7037 CW 2012-01-28 0947 GM0OAA        599 033    F5KKD         599 93
QSO:  7032 CW 2012-01-28 0950 GM0OAA        599 034    TM2T          599 69
QSO:  7032 CW 2012-01-28 0952 GM0OAA        599 035    TM57M         599 57
QSO: 14010 CW 2012-01-28 1100 GM0OAA        599 036    F6KNB         599 33
QSO: 14018 CW 2012-01-28 1102 GM0OAA        599 037    F/LX1NO/P     599 57
QSO: 14016 CW 2012-01-28 1105 GM0OAA        599 038    F6EPX         599 70
QSO: 14025 CW 2012-01-28 1108 GM0OAA        599 039    F5KKD         599 93
QSO: 14031 CW 2012-01-28 1109 GM0OAA        599 040    F6KUP         599 55
QSO: 14043 CW 2012-01-28 1111 GM0OAA        599 041    F6KDL         599 68
QSO: 14041 CW 2012-01-28 1113 GM0OAA        599 042    F6KRK         599 78
QSO: 14025 CW 2012-01-28 1123 GM0OAA        599 043    TM6D          599 38
QSO: 14031 CW 2012-01-28 1128 GM0OAA        599 044    F6FTB         599 21
QSO: 14032 CW 2012-01-28 1158 GM0OAA        599 045    F6UFX         599 73
QSO: 21018 CW 2012-01-28 1417 GM0OAA        599 046    F4EUN         599 83
QSO: 14025 CW 2012-01-28 1425 GM0OAA        599 047    F8DGY         599 77
