START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: GI4SJQ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: GI4SJQ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2015.
QSO:  7004 CW 2015-05-30 0652 GI4SJQ        599 WC1M          599 810
QSO:  7002 CW 2015-05-30 0656 GI4SJQ        599 002 M3W           599 0579
QSO:  7006 CW 2015-05-30 0657 GI4SJQ        599 4 VY2TT         599 862
QSO:  7006 CW 2015-05-30 0658 GI4SJQ        599 0004 DK2DQ         599 0171
QSO:  7000 CW 2015-05-30 0700 GI4SJQ        599 005 DL5AWI        599 0512
QSO:  7008 CW 2015-05-30 0702 GI4SJQ        599 006 DL5JQ         599 0107
QSO:  7009 CW 2015-05-30 0705 GI4SJQ        599 007 S59ABC        599 0639
QSO:  7012 CW 2015-05-30 0708 GI4SJQ        599 008 6Y6N          599 0836
QSO:  7015 CW 2015-05-30 0710 GI4SJQ        599 9 S56X          599 545
QSO:  7023 CW 2015-05-30 0735 GI4SJQ        599 0011 PA0VAJ        599 0187
QSO:  7024 CW 2015-05-30 0736 GI4SJQ        599 012 9A1A          599 0626
QSO:  7025 CW 2015-05-30 0736 GI4SJQ        599 13 LY7A          599 0404
QSO:  7029 CW 2015-05-30 0739 GI4SJQ        599 0014 WR1ST         599 0802
QSO:  7029 CW 2015-05-30 0802 GI4SJQ        599 0015 DF3AX         599 0430
QSO: 14001 CW 2015-05-30 0825 GI4SJQ        599 016 LY5R          599 0746
QSO: 14001 CW 2015-05-30 0827 GI4SJQ        599 0018 KP2M          599 0957
QSO: 14001 CW 2015-05-30 0827 GI4SJQ        599 017 LY4L          599 0675
QSO: 28011 CW 2015-05-30 1543 GI4SJQ        599 019 D44AC         599 1354
QSO: 28005 CW 2015-05-30 1547 GI4SJQ        599 0020 EF5R          599 0057
QSO: 28022 CW 2015-05-30 1809 GI4SJQ        599 021 EC2DX         599 0060
QSO: 28000 CW 2015-05-30 1811 GI4SJQ        599 0022 EA6VQ         599 0168
QSO: 28022 CW 2015-05-30 1812 GI4SJQ        599 0023 7Z1HL         599 0627
QSO: 21000 CW 2015-05-30 1816 GI4SJQ        599 024 NV1N          599 1428
QSO: 21001 CW 2015-05-30 1819 GI4SJQ        599 0025 NN5J          599 0957
QSO: 21002 CW 2015-05-30 1819 GI4SJQ        599 0026 ZF1A          599 2085
QSO: 21002 CW 2015-05-30 1821 GI4SJQ        599 027 CT3KN         599 1177
QSO: 21003 CW 2015-05-30 1822 GI4SJQ        599 0028 YT9A          599 0456
QSO: 21003 CW 2015-05-30 1823 GI4SJQ        599 029 VE3JM         599 1454
QSO: 21016 CW 2015-05-30 1827 GI4SJQ        599 0031 KC3R          599 1710
QSO: 21015 CW 2015-05-30 1828 GI4SJQ        599 33 UN9GD         599 1231
QSO: 21016 CW 2015-05-30 1828 GI4SJQ        599 0032 N3RR          599 1112
QSO: 21015 CW 2015-05-30 1829 GI4SJQ        599 0034 LZ5R          599 1228
QSO: 21014 CW 2015-05-30 1830 GI4SJQ        599 035 CT3EE         599 1401
QSO: 21000 CW 2015-05-30 1831 GI4SJQ        599 136 W9RE          599 1437
QSO: 21012 CW 2015-05-30 1832 GI4SJQ        599 037 KR7O          599 1414
QSO: 21011 CW 2015-05-30 1835 GI4SJQ        599 038 YT6W          599 1460
QSO: 21009 CW 2015-05-30 1836 GI4SJQ        599 039 AK6W          599 0704
QSO: 21003 CW 2015-05-30 1837 GI4SJQ        599 040 K1LZ          599 1745
QSO: 21006 CW 2015-05-30 1840 GI4SJQ        599 41 RK3FT         599 309
QSO: 21007 CW 2015-05-30 1922 GI4SJQ        599 0042 YT4T          599 0506
QSO: 21007 CW 2015-05-30 1923 GI4SJQ        599 043 K1KI          599 1361
QSO: 21011 CW 2015-05-30 1924 GI4SJQ        599 44 WU3A          599 1202
QSO: 21016 CW 2015-05-30 1925 GI4SJQ        599 45 4L8A          599 1351
QSO: 21000 CW 2015-05-30 1926 GI4SJQ        599 47 YU7EE         599 1222
QSO: 21025 CW 2015-05-30 1926 GI4SJQ        599 046 YT6A          599 1364
QSO: 21026 CW 2015-05-30 1928 GI4SJQ        599 0048 K4PV          599 0675
QSO: 21028 CW 2015-05-30 1929 GI4SJQ        599 049 E73W          599 1346
QSO: 21023 CW 2015-05-30 2149 GI4SJQ        599 0050 HK1R          599 1537
QSO: 21022 CW 2015-05-30 2210 GI4SJQ        599 0051 KU2M          599 0941
QSO: 14017 CW 2015-05-30 2214 GI4SJQ        599 0052 S51TA         599 1485
QSO: 14000 CW 2015-05-30 2225 GI4SJQ        599 053 KM3T          599 1879
QSO: 14000 CW 2015-05-30 2229 GI4SJQ        599 055 VE3JM         599 1632
QSO: 14002 CW 2015-05-30 2235 GI4SJQ        599 056 NQ4I          599 1567
QSO: 14003 CW 2015-05-30 2237 GI4SJQ        599 0057 AD4Z          599 1157
QSO: 14005 CW 2015-05-30 2240 GI4SJQ        599 0058 NR3X          599 1014
QSO: 14012 CW 2015-05-30 2249 GI4SJQ        599 0059 VC2W          599 1585
QSO: 14014 CW 2015-05-30 2249 GI4SJQ        599 0060 WX3B          599 1051
QSO: 14015 CW 2015-05-30 2250 GI4SJQ        599 061 DL0CS         599 1254
QSO: 14019 CW 2015-05-30 2253 GI4SJQ        599 063 YU7AV         599 1695
QSO: 14027 CW 2015-05-31 0655 GI4SJQ        599 065 OL4A          599 1664
QSO: 14028 CW 2015-05-31 0656 GI4SJQ        599 0066 LY4A          599 1793
QSO: 14030 CW 2015-05-31 0658 GI4SJQ        599 0067 TC3D          599 1993
QSO: 14024 CW 2015-05-31 0705 GI4SJQ        599 068 D44AC         599 3046
QSO: 21040 CW 2015-05-31 0804 GI4SJQ        599 069 RT5Z          599 1533
QSO: 21045 CW 2015-05-31 0805 GI4SJQ        599 070 ES9C          599 3878
QSO: 21038 CW 2015-05-31 0807 GI4SJQ        599 71 RA4LO         599 669
QSO: 21038 CW 2015-05-31 0808 GI4SJQ        599 074 SN8B          599 1497
QSO: 21039 CW 2015-05-31 0808 GI4SJQ        599 0073 UR7GO         599 2219
QSO: 21000 CW 2015-05-31 0809 GI4SJQ        599 75 SW8WW         599 839
QSO: 21035 CW 2015-05-31 0812 GI4SJQ        599 072 LZ1FJ         599 209
