START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: REF-CW
CALLSIGN: RO3G
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: RO3G
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for REF-CW REF/2015/CW.
QSO: 21000 CW 2015-01-25 0912 RO3G          599 001 F5MFI         599 45
QSO: 21010 CW 2015-01-25 0917 RO3G          599 003 F5VBT         599 38
QSO: 21011 CW 2015-01-25 0917 RO3G          599 004 F6KNB         599 33
QSO: 21028 CW 2015-01-25 0918 RO3G          599 005 TM1A          599 77
QSO: 21024 CW 2015-01-25 0919 RO3G          599 006 F8DGY         599 77
QSO: 21026 CW 2015-01-25 0921 RO3G          599 007 F5OWL         599 83
QSO: 28000 CW 2015-01-25 0927 RO3G          599 009 F8BUO         599 68
QSO: 28021 CW 2015-01-25 0930 RO3G          599 010 F5VHY         599 47
QSO: 28024 CW 2015-01-25 0930 RO3G          599 009 F5OWL         599 83
QSO: 28000 CW 2015-01-25 0931 RO3G          599 011 F6REF         599 00
QSO: 28016 CW 2015-01-25 0931 RO3G          599 12 F8DFP         599 63
QSO: 28019 CW 2015-01-25 0932 RO3G          599 013 F8UFT         599 51
QSO: 28011 CW 2015-01-25 0933 RO3G          599 014 F8DGY         599 77
QSO: 28012 CW 2015-01-25 0934 RO3G          599 015 F8KCF         599 74
QSO: 28028 CW 2015-01-25 0937 RO3G          599 017 TM1A          599 77
QSO: 28014 CW 2015-01-25 0938 RO3G          599 018 F8CIL         599 03
QSO: 28000 CW 2015-01-25 0939 RO3G          599 019 F5KDC         599 63
QSO: 28022 CW 2015-01-25 0939 RO3G          599 020 F5CWU         599 37
QSO: 28000 CW 2015-01-25 0941 RO3G          599 021 F5NKX         599 50
QSO: 28020 CW 2015-01-25 0942 RO3G          599 022 F5LMJ         599 67
QSO: 28020 CW 2015-01-25 0944 RO3G          599 023 F6HDI         599 57
QSO: 28000 CW 2015-01-25 0945 RO3G          599 024 F6CZQ         599 73
QSO: 28000 CW 2015-01-25 0947 RO3G          599 025 F8FSC         599 39
QSO: 21009 CW 2015-01-25 0951 RO3G          599 027 F8CMF         599 74
QSO: 21027 CW 2015-01-25 0954 RO3G          599 28 F8DFP         599 63
QSO: 21000 CW 2015-01-25 1000 RO3G          599 0030 F8DCZ         599 56
QSO: 21000 CW 2015-01-25 1002 RO3G          599 031 F6GUF         599 37
QSO: 21000 CW 2015-01-25 1006 RO3G          599 033 F4EZC         599 44
QSO: 21000 CW 2015-01-25 1008 RO3G          599 056 F6CZQ         599 73
QSO: 21000 CW 2015-01-25 1008 RO3G          599 035 F8BUO         599 68
QSO: 21000 CW 2015-01-25 1010 RO3G          599 037 F6DTZ         599 65
QSO: 21016 CW 2015-01-25 1011 RO3G          599 038 F5KMB/P       599 60
