START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: EUHFC
CALLSIGN: GM0EGI
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: GM0EGI
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for EUHFC EUHFC/2012.
QSO: 21000 PH 2012-08-04 1352 GM0EGI        59 82 S53EO         59 63
QSO: 21263 PH 2012-08-04 1356 GM0EGI        59 82 HG6V          59 97
QSO: 21288 PH 2012-08-04 1356 GM0EGI        59 82 9A5X          59 80
QSO: 21301 PH 2012-08-04 1356 GM0EGI        59 82 9A7R          59 72
QSO: 21304 PH 2012-08-04 1357 GM0EGI        59 82 OE3K          59 77
QSO: 21243 PH 2012-08-04 1401 GM0EGI        59 82 OK2ZA         59 01
QSO: 21000 PH 2012-08-04 1402 GM0EGI        59 82 YT0W          59 83
QSO: 21280 PH 2012-08-04 1405 GM0EGI        59 82 RJ6J          59 72
QSO: 21254 PH 2012-08-04 1427 GM0EGI        59 82 UI4I          59 79
QSO: 21290 PH 2012-08-04 1428 GM0EGI        59 82 UY7MM         59 64
QSO: 14171 PH 2012-08-04 1431 GM0EGI        59 82 IK3SCB        59 91
QSO: 14177 PH 2012-08-04 1431 GM0EGI        59 82 LY5W          59 81
QSO: 14010 PH 2012-08-04 1432 GM0EGI        59 82 YL1XN         59 10
QSO: 14207 PH 2012-08-04 1433 GM0EGI        59 82 ES5RY         59 79
QSO: 14000 PH 2012-08-04 1434 GM0EGI        59 82 EW8DD         59 69
QSO: 14000 PH 2012-08-04 1434 GM0EGI        59 82 IW2NRI        59 03
QSO: 14222 PH 2012-08-04 1437 GM0EGI        59 82 E7DX          59 88
QSO: 14241 PH 2012-08-04 1437 GM0EGI        59 82 YP9W          59 87
QSO: 14000 PH 2012-08-04 1438 GM0EGI        59 82 LY4AA         59 95
QSO: 14220 PH 2012-08-04 1438 GM0EGI        59 82 OK2ZA         59 01
QSO: 14252 PH 2012-08-04 1438 GM0EGI        59 82 9A5K          59 89
QSO: 14255 PH 2012-08-04 1439 GM0EGI        59 82 RW1A          59 84
QSO: 14268 PH 2012-08-04 1440 GM0EGI        59 82 YO3CZW        59 78
QSO: 14276 PH 2012-08-04 1441 GM0EGI        59 82 DJ6QT         59 60
QSO: 14279 PH 2012-08-04 1442 GM0EGI        59 82 S53MM         59 92
QSO: 14282 PH 2012-08-04 1442 GM0EGI        59 82 IT9BUN        59 97
QSO: 14000 PH 2012-08-04 1443 GM0EGI        59 82 IK2YHL        59 83
QSO: 14000 PH 2012-08-04 1444 GM0EGI        59 82 IV3KKW        59 98
QSO: 14314 PH 2012-08-04 1444 GM0EGI        59 82 OK5Z          59 94
QSO: 14000 PH 2012-08-04 1447 GM0EGI        59 82 S51NZ         59 82
QSO: 14160 PH 2012-08-04 1447 GM0EGI        59 82 LY4G          59 05
QSO: 14175 PH 2012-08-04 1448 GM0EGI        59 82 UA3BL         59 71
QSO: 14182 PH 2012-08-04 1449 GM0EGI        59 82 S51F          59 72
QSO: 14187 PH 2012-08-04 1450 GM0EGI        59 82 UI4I          59 79
QSO: 14000 PH 2012-08-04 1451 GM0EGI        59 82 LY2OU         59 58
QSO: 14198 PH 2012-08-04 1457 GM0EGI        59 82 DJ5MW         59 87
QSO: 14206 PH 2012-08-04 1458 GM0EGI        59 92 LZ9A          59 91
QSO: 14204 PH 2012-08-04 1501 GM0EGI        59 82 4O3A          59 81
QSO: 14207 PH 2012-08-04 1502 GM0EGI        59 82 TA1CR         59 04
QSO: 14187 PH 2012-08-04 1503 GM0EGI        59 82 LZ5R          59 89
QSO: 14181 PH 2012-08-04 1505 GM0EGI        59 82 DK6XZ         59 82
QSO: 14179 PH 2012-08-04 1506 GM0EGI        59 82 DD2ML         59 99
QSO: 14162 PH 2012-08-04 1507 GM0EGI        59 82 UV5U          59 72
QSO: 14223 PH 2012-08-04 1509 GM0EGI        59 82 SP9LJD        59 79
QSO: 14000 PH 2012-08-04 1510 GM0EGI        59 82 IW0HLZ        59 04
QSO: 14266 PH 2012-08-04 1510 GM0EGI        59 82 S51A          59 00
QSO: 14265 PH 2012-08-04 1535 GM0EGI        59 82 ES1LS         59 96
QSO: 14000 PH 2012-08-04 1538 GM0EGI        59 82 RZ1AU         59 69
QSO: 14157 PH 2012-08-04 1538 GM0EGI        59 82 RC5A          59 94
QSO: 14190 PH 2012-08-04 1540 GM0EGI        59 82 R3/EA8CAC     59 95
QSO: 14000 PH 2012-08-04 1541 GM0EGI        59 82 EU2MM         59 01
QSO: 14215 PH 2012-08-04 1541 GM0EGI        59 82 UT5UGR        59 85
QSO: 14271 PH 2012-08-04 1543 GM0EGI        59 82 I2WIJ         59 73
QSO: 14206 PH 2012-08-04 1544 GM0EGI        59 82 S59N          59 97
QSO: 14297 PH 2012-08-04 1544 GM0EGI        59 82 S56G          59 80
QSO: 14248 PH 2012-08-04 1545 GM0EGI        59 82 S51AF         59 99
QSO: 14194 PH 2012-08-04 1546 GM0EGI        59 82 R3BM          59 74
QSO: 14263 PH 2012-08-04 1546 GM0EGI        59 82 OH6LI         59 82
QSO: 14305 PH 2012-08-04 1638 GM0EGI        59 82 HG6V          59 97
QSO: 14000 PH 2012-08-04 1639 GM0EGI        59 82 UT7EW         59 01
QSO: 14184 PH 2012-08-04 1640 GM0EGI        59 82 EC1KR         59 04
QSO: 14000 PH 2012-08-04 1641 GM0EGI        59 82 UT4PZ         59 88
QSO: 14194 PH 2012-08-04 1641 GM0EGI        59 82 RM4HZ         59 69
QSO: 14000 PH 2012-08-04 1642 GM0EGI        59 82 LY2DX         59 83
QSO: 14201 PH 2012-08-04 1642 GM0EGI        59 82 UZ0U          59 67
QSO: 14000 PH 2012-08-04 1644 GM0EGI        59 82 LY2AE         59 67
QSO: 14298 PH 2012-08-04 1645 GM0EGI        59 82 S50XX         59 93
QSO: 14316 PH 2012-08-04 1645 GM0EGI        59 82 ES6PA         59 89
QSO: 14162 PH 2012-08-04 1647 GM0EGI        59 82 IQ3UD         59 10
QSO: 14170 PH 2012-08-04 1647 GM0EGI        59 82 YQ7M          59 06
QSO: 14170 PH 2012-08-04 1648 GM0EGI        59 82 ER4LX         59 03
