START-OF-LOG: 3.0
CREATED-BY: yota-public-qso-downloader
CONTEST: YOTA-CONTEST
CALLSIGN: HA6NL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY: Single Operator All band
CLAIMED-SCORE: 0
QSO: 14028 CW 2024-03-10 1000 HA6NL         599 74     EW8OM         599 73    
QSO: 14028 CW 2024-03-10 1001 HA6NL         599 74     HA8QZ         599 67    
QSO: 14028 CW 2024-03-10 1001 HA6NL         599 74     DF5EN         599 61    
QSO: 14028 CW 2024-03-10 1002 HA6NL         599 74     DL1ROT        599 48    
QSO: 14028 CW 2024-03-10 1002 HA6NL         599 74     YL1YF         599 65    
QSO: 14012 CW 2024-03-10 1003 HA6NL         599 74     SE4E          599 78    
QSO: 14034 CW 2024-03-10 1004 HA6NL         599 74     SF6W          599 71    
QSO: 14022 CW 2024-03-10 1004 HA6NL         599 74     HA8BE         599 68    
QSO: 14023 CW 2024-03-10 1005 HA6NL         599 74     R4BZ          599 62    
QSO: 14014 CW 2024-03-10 1005 HA6NL         599 74     E70Y          599 46    
QSO: 14029 CW 2024-03-10 1006 HA6NL         599 74     HA8TA         599 14    
QSO: 14028 CW 2024-03-10 1007 HA6NL         599 74     R9XS          599 87    
QSO: 14028 CW 2024-03-10 1007 HA6NL         599 74     PC4H          599 64    
QSO: 14028 CW 2024-03-10 1008 HA6NL         599 74     I6FDJ         599 84    
QSO: 14028 CW 2024-03-10 1008 HA6NL         599 74     RV6HV         599 74    
QSO: 14028 CW 2024-03-10 1008 HA6NL         599 74     S52W          599 57    
QSO: 14028 CW 2024-03-10 1009 HA6NL         599 74     HG6O          599 69    
QSO: 14028 CW 2024-03-10 1009 HA6NL         599 74     UY2IG         599 64    
QSO: 14028 CW 2024-03-10 1009 HA6NL         599 74     F6KRK         599 48    
QSO: 14028 CW 2024-03-10 1009 HA6NL         599 74     F5JU          599 81    
QSO: 14028 CW 2024-03-10 1010 HA6NL         599 74     YL1ZF         599 46    
QSO: 14028 CW 2024-03-10 1010 HA6NL         599 74     UC5D          599 51    
QSO: 14028 CW 2024-03-10 1010 HA6NL         599 74     IK2IKW        599 71    
QSO: 14028 CW 2024-03-10 1011 HA6NL         599 74     IU0ITX        599 58    
QSO: 14028 CW 2024-03-10 1011 HA6NL         599 74     G5C           599 89    
QSO: 14028 CW 2024-03-10 1012 HA6NL         599 74     YO5AVN        599 74    
