START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: 9A3YT
CATEGORY: SINGLE-OP ALL HIGH
CLUB: RADIO CLUB KVARNER RIJEKA
CONTEST: EA-MAJESTAD-CW
CLAIMED-SCORE: 166339
OPERATORS: 9A3YT
NAME: Darko Mijatovic
GRID-LOCATOR: JN75EJ
CREATED-BY: N1MM Logger+ 1.0.9843.0
QSO: 14024 CW 2023-05-20 1202 9A3YT         599 001    EA7A          599 SE       
QSO: 14025 CW 2023-05-20 1204 9A3YT         599 002    IT9PPG        599 3        
QSO: 14033 CW 2023-05-20 1205 9A3YT         599 003    ED8M          599 TF       
QSO: 14034 CW 2023-05-20 1207 9A3YT         599 004    EA5ITT        599 A        
QSO: 14035 CW 2023-05-20 1207 9A3YT         599 005    IT9RZU        599 8        
QSO: 14037 CW 2023-05-20 1222 9A3YT         599 006    EA8RM         599 GC       
QSO: 14016 CW 2023-05-20 1224 9A3YT         599 007    EA5M          599 MU       
QSO: 14009 CW 2023-05-20 1225 9A3YT         599 008    ON6PJ         599 9        
QSO: 14010 CW 2023-05-20 1225 9A3YT         599 009    P3X           599 66       
QSO: 14013 CW 2023-05-20 1226 9A3YT         599 010    EV1R          599 50       
QSO: 14014 CW 2023-05-20 1227 9A3YT         599 011    OY1CT         599 51       
QSO: 14015 CW 2023-05-20 1248 9A3YT         599 012    DL3KWF        599 13       
QSO: 14016 CW 2023-05-20 1249 9A3YT         599 013    LZ4R          599 81       
QSO: 14009 CW 2023-05-20 1249 9A3YT         599 014    EA1CS         599 O        
QSO: 14011 CW 2023-05-20 1253 9A3YT         599 015    DJ3XD         599 35       
QSO: 14011 CW 2023-05-20 1255 9A3YT         599 016    PE2K          599 21       
QSO: 14011 CW 2023-05-20 1256 9A3YT         599 017    LZ2CH         599 29       
QSO: 14011 CW 2023-05-20 1258 9A3YT         599 018    G3SVK         599 26       
QSO: 14011 CW 2023-05-20 1300 9A3YT         599 019    EB5BRZ        599 V        
QSO: 14011 CW 2023-05-20 1301 9A3YT         599 020    LA7SI         599 9        
QSO: 14011 CW 2023-05-20 1301 9A3YT         599 021    SP2GCE        599 21       
