START-OF-LOG: 3.0
CONTEST: EA-MAJESTAD-CW
CALLSIGN: DL3SYA
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 200184
CREATED-BY: UcxLog 8.28
OPERATORS: DL3SYA
NAME: Rainer Schulz
GRID-LOCATOR: JO53RS
QSO: 14000 CW 2023-05-20 1201 DL3SYA        599 001    II8SSC        599 001
QSO: 14000 CW 2023-05-20 1202 DL3SYA        599 002    OM2VL         599 006
QSO: 14000 CW 2023-05-20 1203 DL3SYA        599 003    P3X           599 009
QSO: 14000 CW 2023-05-20 1206 DL3SYA        599 004    EV1R          599 004
QSO: 14000 CW 2023-05-20 1206 DL3SYA        599 005    OH1NA         599 006
QSO: 14000 CW 2023-05-20 1208 DL3SYA        599 006    OH5TS         599 011
QSO: 14000 CW 2023-05-20 1209 DL3SYA        599 007    LZ4R          599 021
QSO: 14000 CW 2023-05-20 1210 DL3SYA        599 008    YO3HEX        599 011
QSO: 14000 CW 2023-05-20 1211 DL3SYA        599 009    ED1B          599 O
QSO: 14000 CW 2023-05-20 1213 DL3SYA        599 010    CT7/PA3GCU    599 005
QSO: 14000 CW 2023-05-20 1214 DL3SYA        599 011    F5VKT         599 013
QSO: 14000 CW 2023-05-20 1214 DL3SYA        599 012    LZ1DQ         599 013
QSO: 14000 CW 2023-05-20 1215 DL3SYA        599 013    EA8ZS         599 GC
QSO: 14000 CW 2023-05-20 1222 DL3SYA        599 014    LZ3QE         599 033
QSO: 14000 CW 2023-05-20 1225 DL3SYA        599 015    SV1JG         599 034
QSO: 14000 CW 2023-05-20 1226 DL3SYA        599 016    HG5D          599 053
QSO: 14000 CW 2023-05-20 1227 DL3SYA        599 017    IT9RZU        599 045
QSO: 14000 CW 2023-05-20 1228 DL3SYA        599 018    HA2KMR        599 037
QSO: 14000 CW 2023-05-20 1229 DL3SYA        599 019    EA8RM         599 GC
QSO: 14000 CW 2023-05-20 1229 DL3SYA        599 020    9A1AA         599 056
