START-OF-LOG: 2.0
CREATED-BY: QARTest 11.3.1
CONTEST: EA-RTTY
CALLSIGN: IT9CKA
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE: 9306
NAME: Serafino De Filippi
SOAPBOX: Ottimo Contest , molta presenza stazioni EA, propagazione media, solo 
SOAPBOX: 30 watt Antenna loop e Icom IC-736.
QSO: 14000 RY 2021-04-03 1850 IT9CKA        599 0001   W3FIZ         599 0131  
QSO: 14000 RY 2021-04-03 1854 IT9CKA        599 0002   EC1CTV        599 LU    
QSO: 14000 RY 2021-04-03 1857 IT9CKA        599 0003   EF1F          599 C     
QSO: 14000 RY 2021-04-03 1858 IT9CKA        599 0004   WQ5OO         599 0245  
QSO:  7000 RY 2021-04-03 1907 IT9CKA        599 0005   M0AFZ         599 0012  
QSO:  7000 RY 2021-04-03 1908 IT9CKA        599 0006   UW1M          599 0270  
QSO:  7000 RY 2021-04-03 1909 IT9CKA        599 0007   EB5F          599 A     
QSO:  7000 RY 2021-04-03 1910 IT9CKA        599 0008   IW3FVZ        599 0034  
QSO:  7000 RY 2021-04-03 1910 IT9CKA        599 0009   DJ9DZ         599 0097  
QSO:  7000 RY 2021-04-03 1911 IT9CKA        599 0010   LZ1QV         599 0054  
QSO:  7000 RY 2021-04-03 1912 IT9CKA        599 0011   OZ9GA         599 0098  
QSO:  7000 RY 2021-04-03 1913 IT9CKA        599 0012   PB7Z          599 0082  
QSO:  7000 RY 2021-04-03 1916 IT9CKA        599 0013   LZ2ZG         599 0036  
QSO:  7000 RY 2021-04-03 1917 IT9CKA        599 0014   OK1CT         599 0054  
QSO:  7000 RY 2021-04-03 1918 IT9CKA        599 0015   EA1DP         599 S     
QSO:  7000 RY 2021-04-03 1918 IT9CKA        599 0016   HB9RMM        599 0009  
QSO:  7000 RY 2021-04-03 1919 IT9CKA        599 0017   DF2SD         599 0099  
QSO:  7000 RY 2021-04-03 1920 IT9CKA        599 0018   YL3CU         599 0043  
QSO:  7000 RY 2021-04-03 1921 IT9CKA        599 0019   YO4DG         599 0018  
QSO:  7000 RY 2021-04-03 1923 IT9CKA        599 0020   SP6JZP        599 0046  
QSO:  7000 RY 2021-04-03 1924 IT9CKA        599 0021   EA4GDW        599 M     
QSO:  7000 RY 2021-04-03 1936 IT9CKA        599 0022   UA6CE         599 0117  
QSO:  7000 RY 2021-04-03 1937 IT9CKA        599 0023   PD0WR         599 0057  
QSO:  7000 RY 2021-04-03 2150 IT9CKA        599 0024   LY2F          599 0248  
QSO:  7000 RY 2021-04-03 2153 IT9CKA        599 0025   TA1NCT        599 0040  
QSO:  7000 RY 2021-04-03 2153 IT9CKA        599 0026   G4OZG         599 0052  
QSO:  7000 RY 2021-04-03 2203 IT9CKA        599 0027   RM3DA         599 0012  
QSO:  7000 RY 2021-04-03 2205 IT9CKA        599 0028   CT7AUP        599 0319  
QSO:  3500 RY 2021-04-03 2211 IT9CKA        599 0029   EA7KFX        599 CA    
QSO:  3500 RY 2021-04-03 2212 IT9CKA        599 0030   9A5Y          599 0357  
QSO:  3500 RY 2021-04-03 2212 IT9CKA        599 0031   DF2SD         599 0218  
QSO:  3500 RY 2021-04-03 2213 IT9CKA        599 0032   OK2EA         599 0149  
QSO:  7000 RY 2021-04-04 0415 IT9CKA        599 0033   N6AR          599 0212  
QSO:  7000 RY 2021-04-04 0418 IT9CKA        599 0034   OZ11A         599 0288  
QSO:  7000 RY 2021-04-04 0420 IT9CKA        599 0035   WQ5OO         599 0755  
QSO:  7000 RY 2021-04-04 0423 IT9CKA        599 0036   ON4OCW        599 0285  
QSO:  7000 RY 2021-04-04 0427 IT9CKA        599 0037   LZ9R          599 0397  
QSO:  7000 RY 2021-04-04 0427 IT9CKA        599 0038   UR7GO         599 0510  
QSO:  7000 RY 2021-04-04 0428 IT9CKA        599 0039   K9OM          599 0552  
QSO:  7000 RY 2021-04-04 0429 IT9CKA        599 0040   DH6BH         599 0093  
QSO:  7000 RY 2021-04-04 0434 IT9CKA        599 0041   RA3Y          599 0348  
QSO:  7000 RY 2021-04-04 0435 IT9CKA        599 0042   UT5EPP        599 0222  
QSO:  7000 RY 2021-04-04 0436 IT9CKA        599 0043   LZ5K          599 0333  
QSO:  7000 RY 2021-04-04 0437 IT9CKA        599 0044   LY2PDA        599 0168  
QSO:  7000 RY 2021-04-04 0441 IT9CKA        599 0045   G0HDV         599 0161  
QSO:  7000 RY 2021-04-04 0445 IT9CKA        599 0046   OL6D          599 0286  
QSO:  7000 RY 2021-04-04 0447 IT9CKA        599 0047   EA1EQ         599 PO    
