START-OF-LOG: 3.0
CONTEST: SAC-CW
CALLSIGN: ZL2AYZ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
OPERATORS: ZL2AYZ
CLAIMED-SCORE: 1311
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: NONE
CATEGORY-MODE: CW
NAME: Bill Cousins
SOAPBOX: a great way to chalk up credits toward the sral 100th anniversary
SOAPBOX: award. thanks to the many oh/of stations that took part.
QSO: 14000 CW 2021-09-18 1255 ZL2AYZ        599      1 OG3G          599    104 0
QSO: 14000 CW 2021-09-18 1308 ZL2AYZ        599      2 OH2OA         599     47 0
QSO: 14000 CW 2021-09-18 1313 ZL2AYZ        599      3 OH6OS         599    100 0
QSO: 14000 CW 2021-09-18 1328 ZL2AYZ        599      4 OF5TS         599    150 0
QSO: 14000 CW 2021-09-18 1347 ZL2AYZ        599      5 OH2XX         599    295 0
QSO: 14000 CW 2021-09-18 1513 ZL2AYZ        599      7 SM6F          599    212 0
QSO:  7000 CW 2021-09-18 1626 ZL2AYZ        599      7 OF1F          599    364 0
QSO:  7000 CW 2021-09-18 1700 ZL2AYZ        599      8 OF5Z          599     53 0
QSO:  7000 CW 2021-09-18 1720 ZL2AYZ        599      9 OG7F          599    256 0
QSO:  7000 CW 2021-09-18 1806 ZL2AYZ        599     10 OH7N          599    499 0
QSO:  7000 CW 2021-09-18 1827 ZL2AYZ        599     11 OF4X          599    663 0
QSO:  7000 CW 2021-09-18 1832 ZL2AYZ        599     12 OH0Z          599     53 0
QSO:  7000 CW 2021-09-18 1847 ZL2AYZ        599     13 OH5KW         599    234 0
QSO:  7000 CW 2021-09-18 1849 ZL2AYZ        599     14 OH2BAS        599    626 0
QSO:  7000 CW 2021-09-19 0421 ZL2AYZ        599     15 OF9W          599    758 0
QSO:  7000 CW 2021-09-19 0427 ZL2AYZ        599     16 OH3Z          599    581 0
QSO:  7000 CW 2021-09-19 0430 ZL2AYZ        599     17 OF2BS         599   1756 0
QSO:  7000 CW 2021-09-19 0438 ZL2AYZ        599     18 OH8X          599   1320 0
QSO:  7000 CW 2021-09-19 0444 ZL2AYZ        599     19 OG4X          599   1257 0
QSO:  7000 CW 2021-09-19 0448 ZL2AYZ        599     20 OG3B          599   1064 0
QSO:  7000 CW 2021-09-19 0456 ZL2AYZ        599     21 OH2BO         599    409 0
QSO:  7000 CW 2021-09-19 0503 ZL2AYZ        599     22 LN8W          599    946 0
QSO:  7000 CW 2021-09-19 0509 ZL2AYZ        599     23 OF1D          599    979 0
QSO:  7000 CW 2021-09-19 0514 ZL2AYZ        599     24 OH2PM         599   1282 0
QSO:  7000 CW 2021-09-19 0527 ZL2AYZ        599     25 OH1VR         599    786 0
QSO: 14000 CW 2021-09-19 0545 ZL2AYZ        599     26 OG7A          599   1117 0
QSO: 14000 CW 2021-09-19 0723 ZL2AYZ        599     27 OF1F          599    757 0
QSO: 14000 CW 2021-09-19 0744 ZL2AYZ        599     28 OF1D          599    119 0
QSO: 14000 CW 2021-09-19 0754 ZL2AYZ        599     29 OH8X          599   1533 0
QSO: 14000 CW 2021-09-19 0801 ZL2AYZ        599     30 SM2U          599   1303 0
QSO: 14000 CW 2021-09-19 0832 ZL2AYZ        599     31 OF8L          599    882 0
END-OF-LOG:
