START-OF-LOG: 3.0
CONTEST: SAC-CW
CALLSIGN: JA1GQC
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CLAIMED-SCORE: 819
CATEGORY-OVERLAY: NONE
CATEGORY-MODE: CW
NAME: Kazuo Takasaki
SOAPBOX: i enjoyed the contest, propagation was very nice on 20m.
QSO: 14000 CW 2021-09-18 1333 JA1GQC        599      1 OF5Z          599    253 0
QSO: 14000 CW 2021-09-18 1336 JA1GQC        599      2 OF5TS         599    169 0
QSO: 14000 CW 2021-09-18 1350 JA1GQC        599      3 OH2PM         599    198 0
QSO: 14000 CW 2021-09-18 1356 JA1GQC        599      4 OH7K          599    256 0
QSO: 14000 CW 2021-09-18 1401 JA1GQC        599      5 OF2BH         599    350 0
QSO: 14000 CW 2021-09-18 1411 JA1GQC        599      6 OF8L          599    243 0
QSO: 14000 CW 2021-09-18 1413 JA1GQC        599      7 SM2U          599    275 0
QSO: 14000 CW 2021-09-18 1424 JA1GQC        599      8 OH3Z          599    124 0
QSO: 14000 CW 2021-09-18 1431 JA1GQC        599      9 OF5LF         599    262 0
QSO: 14000 CW 2021-09-18 1456 JA1GQC        599     10 SJ2W          599    491 0
QSO:  7000 CW 2021-09-18 1525 JA1GQC        599     11 OF2BH         599    574 0
QSO:  7000 CW 2021-09-18 1533 JA1GQC        599     12 OF5LF         599    416 0
QSO: 14000 CW 2021-09-19 0628 JA1GQC        599     13 OH6OS         599    717 0
QSO: 14000 CW 2021-09-19 0630 JA1GQC        599     14 OH0T          599   1976 0
QSO: 14000 CW 2021-09-19 0634 JA1GQC        599     15 SC7DX         599    479 0
QSO: 14000 CW 2021-09-19 0916 JA1GQC        599     16 OH7R          599    560 0
QSO: 14000 CW 2021-09-19 0948 JA1GQC        599     17 OH6CT         599   1184 0
QSO: 14000 CW 2021-09-19 0952 JA1GQC        599     18 OU4N          599    718 0
QSO: 14000 CW 2021-09-19 0954 JA1GQC        599     19 OH8WW         599   1440 0
QSO: 14000 CW 2021-09-19 0957 JA1GQC        599     20 SJ3A          599    639 0
QSO: 14000 CW 2021-09-19 0958 JA1GQC        599     21 LN8W          599    787 0
QSO: 14000 CW 2021-09-19 1000 JA1GQC        599     22 SC6N          599    799 0
QSO: 14000 CW 2021-09-19 1001 JA1GQC        599     23 OZ2TF         599    927 0
QSO: 14000 CW 2021-09-19 1005 JA1GQC        599     24 SE0X          599    845 0
QSO: 14000 CW 2021-09-19 1008 JA1GQC        599     25 SM5COP        599    519 0
QSO: 14000 CW 2021-09-19 1012 JA1GQC        599     26 SB7S          599   1178 0
QSO: 14000 CW 2021-09-19 1015 JA1GQC        599     27 OF1F          599    933 0
QSO: 14000 CW 2021-09-19 1019 JA1GQC        599     28 SM3EVR        599    686 0
QSO: 14000 CW 2021-09-19 1020 JA1GQC        599     29 LA9OI         599    564 0
QSO: 14000 CW 2021-09-19 1024 JA1GQC        599     30 OG6N          599   1561 0
QSO: 14000 CW 2021-09-19 1028 JA1GQC        599     31 LA5UF         599    738 0
QSO: 14000 CW 2021-09-19 1041 JA1GQC        599     32 OF1D          599   1267 0
QSO: 14000 CW 2021-09-19 1044 JA1GQC        599     33 SM5EPO        599   1025 0
QSO: 14000 CW 2021-09-19 1051 JA1GQC        599     34 OH0Z          599   2104 0
QSO: 14000 CW 2021-09-19 1054 JA1GQC        599     35 OV2T          599   1266 0
END-OF-LOG:
