START-OF-LOG: 3.0
CONTEST: SAC-CW
CALLSIGN: M0VCP
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
OPERATORS: M0VCP
CLAIMED-SCORE: 4410
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: NONE
CATEGORY-MODE: CW
NAME: Simon Pryke
SOAPBOX: enjoyable contest, no propagation on the higher bands, most activity
QSO: 14000 CW 2021-09-18 1202 M0VCP         599      1 OH2KI         599      1 0
QSO: 14000 CW 2021-09-18 1204 M0VCP         599      2 OY1CT         599      9 0
QSO: 14000 CW 2021-09-18 1215 M0VCP         599      3 OF2CV         599     26 0
QSO: 14000 CW 2021-09-18 1223 M0VCP         599      4 OH6OS         599      5 0
QSO: 14000 CW 2021-09-18 1230 M0VCP         599      5 OH2BKX        599     13 0
QSO: 14000 CW 2021-09-18 1237 M0VCP         599      6 OH7K          599     76 0
QSO: 14000 CW 2021-09-18 1252 M0VCP         599      7 OF4UI         599     22 0
QSO: 14000 CW 2021-09-18 1258 M0VCP         599      8 OG2X          599     75 0
QSO: 14000 CW 2021-09-18 1300 M0VCP         599      9 OG4W          599     84 0
QSO: 14000 CW 2021-09-18 1303 M0VCP         599     10 LA9OI         599     86 0
QSO: 14000 CW 2021-09-18 1324 M0VCP         599     11 OF5LF         599    135 0
QSO: 14000 CW 2021-09-18 1333 M0VCP         599     12 OG5O          599     28 0
QSO: 14000 CW 2021-09-18 1353 M0VCP         599     13 OH2OA         599    109 0
QSO: 14000 CW 2021-09-18 1427 M0VCP         599     14 OH8WR         599    161 0
QSO: 14000 CW 2021-09-18 1443 M0VCP         599     15 OH2BO         599     42 0
QSO: 14000 CW 2021-09-18 1450 M0VCP         599     16 OH5KW         599    105 0
QSO: 14000 CW 2021-09-18 1507 M0VCP         599     17 OF1F          599      0 0
QSO: 14000 CW 2021-09-18 1512 M0VCP         599     18 OH2PM         599    330 0
QSO: 14000 CW 2021-09-18 1521 M0VCP         599     19 OH7R          599    315 0
QSO: 14000 CW 2021-09-18 1533 M0VCP         599     20 OH0T          599    567 0
QSO: 14000 CW 2021-09-18 1546 M0VCP         599     21 OH6TN         599     64 0
QSO: 14000 CW 2021-09-18 1552 M0VCP         599     22 OF9W          599    372 0
QSO: 14000 CW 2021-09-18 1557 M0VCP         599     23 OH1VR         599    401 0
QSO: 14000 CW 2021-09-18 1606 M0VCP         599     24 SC3A          599    337 0
QSO: 14000 CW 2021-09-18 1610 M0VCP         599     25 OH3Z          599    196 0
QSO: 14000 CW 2021-09-18 1653 M0VCP         599     26 OH3NAQ        599    167 0
QSO:  7000 CW 2021-09-18 1715 M0VCP         599     27 OG7F          599    242 0
