START-OF-LOG: 3.0
CONTEST: SAC-CW
CALLSIGN: K5ZD
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
OPERATORS: K5ZD
CLUB: YANKEE CLIPPER CONTEST CLUB
CLAIMED-SCORE: 3900
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: NONE
CATEGORY-MODE: CW
NAME: Randy Thompson
SOAPBOX: not much, but fun as always to chase scandanavian stations.
QSO:  3540 CW 2021-09-18 2232 K5ZD          599      1 SM6EAN        599    472 0
QSO:  3532 CW 2021-09-18 2237 K5ZD          599      2 7S1DX         599    431 0
QSO:  3526 CW 2021-09-18 2239 K5ZD          599      3 SC7DX         599    313 0
QSO:  3525 CW 2021-09-18 2240 K5ZD          599      4 OF9W          599    439 0
QSO:  3524 CW 2021-09-18 2241 K5ZD          599      5 SC3A          599    925 0
QSO:  3522 CW 2021-09-18 2241 K5ZD          599      6 LN8W          599    439 0
QSO:  3520 CW 2021-09-18 2242 K5ZD          599      7 SE5E          599   1263 0
QSO:  3516 CW 2021-09-18 2243 K5ZD          599      8 SJ2W          599   1405 0
QSO:  3515 CW 2021-09-18 2244 K5ZD          599      9 SM5GLC        599    234 0
QSO:  7009 CW 2021-09-18 2245 K5ZD          599     10 OH0T          599   1586 0
QSO:  7017 CW 2021-09-18 2247 K5ZD          599     11 OF1TX         599   1058 0
QSO:  7018 CW 2021-09-18 2248 K5ZD          599     12 OH2BA         599    442 0
QSO:  7019 CW 2021-09-18 2248 K5ZD          599     13 OH7N          599    738 0
QSO:  7022 CW 2021-09-18 2249 K5ZD          599     14 OZ0MF         599    871 0
QSO:  7023 CW 2021-09-18 2249 K5ZD          599     15 LA8OM         599   1110 0
QSO:  7026 CW 2021-09-18 2250 K5ZD          599     16 LB6GG         599    735 0
QSO:  7027 CW 2021-09-18 2250 K5ZD          599     17 OF1F          599    760 0
QSO:  7029 CW 2021-09-18 2251 K5ZD          599     18 OZ3SM         599    778 0
QSO:  7030 CW 2021-09-18 2252 K5ZD          599     19 LN8W          599    812 0
QSO:  7031 CW 2021-09-18 2252 K5ZD          599     20 OZ1IKY        599    899 0
QSO:  7007 CW 2021-09-19 0138 K5ZD          599     21 SK3W          599    526 0
QSO:  3520 CW 2021-09-19 0141 K5ZD          599     22 LA8OM         599   1168 0
QSO:  3522 CW 2021-09-19 0142 K5ZD          599     23 OH0T          599   1731 0
QSO:  3525 CW 2021-09-19 0142 K5ZD          599     24 OF5Z          599   1649 0
QSO:  3521 CW 2021-09-19 0155 K5ZD          599     25 LC5T          599    839 0
QSO: 14041 CW 2021-09-19 1013 K5ZD          599     26 LA5UF         599    718 0
QSO: 14034 CW 2021-09-19 1014 K5ZD          599     27 LB6GG         599    950 0
QSO: 14028 CW 2021-09-19 1015 K5ZD          599     28 SD7W          599   1012 0
QSO: 14026 CW 2021-09-19 1016 K5ZD          599     29 OZ3SM         599   1079 0
QSO: 14023 CW 2021-09-19 1017 K5ZD          599     30 OZ2TF         599    947 0
QSO: 14022 CW 2021-09-19 1018 K5ZD          599     31 OZ2U          599    749 0
QSO: 14022 CW 2021-09-19 1018 K5ZD          599     32 SK5AA         599    510 0
QSO: 14021 CW 2021-09-19 1019 K5ZD          599     33 OF1F          599    941 0
QSO: 14018 CW 2021-09-19 1020 K5ZD          599     34 LC5T          599   1097 0
QSO: 14016 CW 2021-09-19 1021 K5ZD          599     35 OH0Z          599   2051 0
QSO: 14015 CW 2021-09-19 1022 K5ZD          599     36 SC7DX         599    606 0
QSO: 14015 CW 2021-09-19 1022 K5ZD          599     37 OH2PM         599   1612 0
QSO: 14013 CW 2021-09-19 1023 K5ZD          599     38 SF1Z          599    867 0
QSO: 14012 CW 2021-09-19 1024 K5ZD          599     39 SJ2W          599   2190 0
QSO: 14011 CW 2021-09-19 1025 K5ZD          599     40 SF0A          599    548 0
QSO: 14009 CW 2021-09-19 1026 K5ZD          599     41 OH0T          599   2252 0
QSO: 14008 CW 2021-09-19 1026 K5ZD          599     42 SM5IMO        599   1209 0
QSO: 14004 CW 2021-09-19 1029 K5ZD          599     43 LA7JO         599    134 0
QSO: 14010 CW 2021-09-19 1030 K5ZD          599     44 OZ8SW         599   1029 0
QSO: 14013 CW 2021-09-19 1030 K5ZD          599     45 LA8OM         599   1609 0
QSO: 14015 CW 2021-09-19 1031 K5ZD          599     46 LN8W          599    804 0
QSO: 14019 CW 2021-09-19 1032 K5ZD          599     47 SD6M          599    921 0
QSO: 14027 CW 2021-09-19 1035 K5ZD          599     48 SM2EZT        599    688 0
QSO: 14029 CW 2021-09-19 1036 K5ZD          599     49 OF3AD         599   1003 0
QSO: 14029 CW 2021-09-19 1037 K5ZD          599     50 OH7KBF        599    877 0
END-OF-LOG:
