START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: Coupe du REF
CALLSIGN: F5CBU
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: F5CBU
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for Coupe du REF REF/2012/SSB.
QSO:  7000 PH 2012-02-25 1511 F5CBU         59 22 F5RJW         59 71
QSO:  7000 PH 2012-02-25 1517 F5CBU         59 22 F5JSQ         59 51
QSO:  7000 PH 2012-02-25 1519 F5CBU         59 22 F6DZU         59 40
QSO:  7000 PH 2012-02-25 1521 F5CBU         59 22 F6AWU         59 44
QSO:  7000 PH 2012-02-25 1523 F5CBU         59 22 F4DNK         59 76
QSO:  7000 PH 2012-02-25 1527 F5CBU         59 22 TM5KFU        59 24
QSO:  7000 PH 2012-02-25 1533 F5CBU         59 22 F6GOE         59 19
QSO:  7000 PH 2012-02-25 1534 F5CBU         59 22 F6KUC         59 16
QSO:  7000 PH 2012-02-25 1542 F5CBU         59 22 F4FJH         59 22
QSO:  7000 PH 2012-02-25 1550 F5CBU         59 22 F6CNM         59 29
QSO:  7000 PH 2012-02-25 1553 F5CBU         59 22 F6BHI         59 19
QSO:  7000 PH 2012-02-25 1555 F5CBU         59 22 F8GGZ         59 39
QSO:  7000 PH 2012-02-25 1558 F5CBU         59 22 F8AEE         59 10
QSO:  7000 PH 2012-02-25 1602 F5CBU         59 22 F1PKH         59 40
QSO:  7079 PH 2012-02-25 1603 F5CBU         59 22 F6HRL         59 86
QSO: 21000 PH 2012-02-25 1607 F5CBU         59 22 FG4NO         59 FG
QSO: 21000 PH 2012-02-25 1618 F5CBU         59 22 FM5AN         59 FM
QSO: 21241 PH 2012-02-25 1623 F5CBU         59 22 F4RST         59 22
QSO: 21000 PH 2012-02-25 1632 F5CBU         59 22 6V7A          59 466
QSO: 14149 PH 2012-02-25 1654 F5CBU         59 22 TM2B          59 03
QSO:  7000 PH 2012-02-25 1707 F5CBU         59 22 F5KKD         59 93
QSO:  7000 PH 2012-02-25 1723 F5CBU         59 22 F5KCC         59 89
QSO:  7000 PH 2012-02-25 1727 F5CBU         59 22 TM9WAP        59 42
QSO:  7000 PH 2012-02-25 1736 F5CBU         59 22 F4GLK         59 60
QSO:  7000 PH 2012-02-25 1741 F5CBU         59 22 F5PPG         59 57
QSO:  7000 PH 2012-02-25 1744 F5CBU         59 22 YO3CZW        59 05
QSO:  7146 PH 2012-02-25 1745 F5CBU         59 22 YO3CZW        59 0398
QSO:  3780 PH 2012-02-25 1942 F5CBU         59 22 F6REF         59 00
QSO:  3776 PH 2012-02-25 1943 F5CBU         59 22 F6KBF         59 78
QSO:  3500 PH 2012-02-25 1945 F5CBU         59 22 TM55M         59 55
QSO:  3500 PH 2012-02-25 1947 F5CBU         59 22 F5ADE         59 36
QSO:  3761 PH 2012-02-25 1950 F5CBU         59 22 F5OAM         59 47
QSO:  3761 PH 2012-02-25 1953 F5CBU         59 22 F5GFA         59 47
QSO:  3766 PH 2012-02-25 1957 F5CBU         59 22 F1NZC         59 63
QSO:  3500 PH 2012-02-25 1959 F5CBU         59 22 F6DRP         59 85
QSO:  3753 PH 2012-02-25 2001 F5CBU         59 22 F6KNB         59 33
QSO:  3500 PH 2012-02-25 2003 F5CBU         59 22 F4FJH         59 22
QSO:  3500 PH 2012-02-25 2009 F5CBU         59 22 F5FDC         59 82
QSO:  3500 PH 2012-02-25 2011 F5CBU         59 22 F5ISY         59 11
QSO:  3736 PH 2012-02-25 2013 F5CBU         59 22 F6KHM         59 29
QSO:  3500 PH 2012-02-25 2016 F5CBU         59 22 F5PPG         59 57
QSO:  3775 PH 2012-02-25 2020 F5CBU         59 22 F4BDV         59 82
QSO:  3724 PH 2012-02-25 2032 F5CBU         59 22 F8KCF         59 74
QSO:  3715 PH 2012-02-25 2035 F5CBU         59 22 F8DHB         59 60
QSO:  3709 PH 2012-02-25 2037 F5CBU         59 22 F1RHS         59 82
QSO:  3703 PH 2012-02-25 2038 F5CBU         59 22 TM2OP         59 86
QSO:  3500 PH 2012-02-25 2042 F5CBU         59 22 F5KKD         59 93
QSO:  3696 PH 2012-02-25 2044 F5CBU         59 22 F4EJO         59 17
QSO:  3500 PH 2012-02-25 2100 F5CBU         59 22 F5UTN         59 27
QSO:  3500 PH 2012-02-25 2102 F5CBU         59 22 F6IGS         59 33
QSO:  3608 PH 2012-02-25 2104 F5CBU         59 22 F5OWT         59 45
QSO:  3500 PH 2012-02-25 2107 F5CBU         59 22 F6KLO         59 19
QSO:  3500 PH 2012-02-25 2108 F5CBU         59 22 F5XX          59 81
QSO:  3500 PH 2012-02-25 2111 F5CBU         59 22 F6GDO         59 73
QSO:  3500 PH 2012-02-25 2114 F5CBU         59 22 F5KED/P       59 36
QSO:  7100 PH 2012-02-25 2117 F5CBU         59 22 ZW7REF        59 0376
QSO:  3500 PH 2012-02-25 2129 F5CBU         59 22 F6AWU         59 44
QSO:  3500 PH 2012-02-25 2132 F5CBU         59 22 F5JFU         59 58
QSO:  3500 PH 2012-02-25 2135 F5CBU         59 22 F5AAR         59 49
QSO:  3500 PH 2012-02-25 2138 F5CBU         59 22 TM22P         59 22
QSO:  3500 PH 2012-02-25 2146 F5CBU         59 22 F4EOH         59 84
QSO:  3500 PH 2012-02-25 2147 F5CBU         59 22 F4FGY         59 79
QSO:  3500 PH 2012-02-25 2151 F5CBU         59 22 F4GCU         59 66
QSO:  7000 PH 2012-02-26 0714 F5CBU         59 22 F6DXY         59 13
QSO:  3500 PH 2012-02-26 0717 F5CBU         59 22 F5OEQ/P       59 49
QSO:  3500 PH 2012-02-26 0719 F5CBU         59 22 F8BPN         59 19
QSO:  3500 PH 2012-02-26 0724 F5CBU         59 22 F2QH          59 95
QSO:  3500 PH 2012-02-26 0727 F5CBU         59 22 F4GGQ         59 29
QSO:  3500 PH 2012-02-26 0730 F5CBU         59 22 F8KOU/P       59 23
QSO:  3720 PH 2012-02-26 0733 F5CBU         59 22 F4ENJ         59 53
QSO:  3500 PH 2012-02-26 0739 F5CBU         59 22 F4EQH         59 85
QSO:  3500 PH 2012-02-26 0741 F5CBU         59 22 F5JSQ         59 51
QSO:  3500 PH 2012-02-26 0742 F5CBU         59 22 F3YP          59 27
QSO:  3500 PH 2012-02-26 0748 F5CBU         59 22 F4EUG         59 22
QSO:  3500 PH 2012-02-26 0752 F5CBU         59 22 F6KUC         59 16
QSO:  7167 PH 2012-02-26 0754 F5CBU         59 22 TM2B          59 03
QSO:  7000 PH 2012-02-26 0756 F5CBU         59 22 F6APE         59 49
QSO:  7000 PH 2012-02-26 0757 F5CBU         59 22 F5JFU         59 58
QSO:  7000 PH 2012-02-26 0800 F5CBU         59 22 F4KIO         59 35
QSO:  7125 PH 2012-02-26 0811 F5CBU         59 22 TM6GGR        59 37
QSO:  3500 PH 2012-02-26 0831 F5CBU         59 22 F4GER         59 35
QSO:  7099 PH 2012-02-26 0850 F5CBU         59 22 F8KCF         59 74
QSO:  7095 PH 2012-02-26 0852 F5CBU         59 22 TM5FFT        59 56
QSO:  7000 PH 2012-02-26 0855 F5CBU         59 22 F5POJ         59 02
QSO:  7000 PH 2012-02-26 0905 F5CBU         59 22 F4GGQ         59 29
QSO:  7000 PH 2012-02-26 0909 F5CBU         59 22 F8EMH         59 54
QSO:  7162 PH 2012-02-26 0911 F5CBU         59 22 F5OWT         59 45
QSO: 21216 PH 2012-02-26 0914 F5CBU         59 22 LZ2JA         59 0156
QSO: 21000 PH 2012-02-26 0916 F5CBU         59 22 OH4BNP        59 0072
QSO: 21000 PH 2012-02-26 0918 F5CBU         59 22 YP3A          59 346
QSO: 21000 PH 2012-02-26 0922 F5CBU         59 22 UA6AGE        59 213
QSO:  7000 PH 2012-02-26 0935 F5CBU         59 22 F4GRL         59 31
QSO:  7191 PH 2012-02-26 0940 F5CBU         59 22 TM2OP         59 86
QSO:  7000 PH 2012-02-26 1010 F5CBU         59 22 F6AXN         59 28
QSO:  7164 PH 2012-02-26 1014 F5CBU         59 22 TM2T          59 13
QSO: 21200 PH 2012-02-26 1052 F5CBU         59 22 CN8PA         59 0213
QSO: 21214 PH 2012-02-26 1052 F5CBU         59 22 OM0DX         59 0226
QSO: 14000 PH 2012-02-26 1100 F5CBU         59 22 IZ5MMB        59 180
QSO: 14158 PH 2012-02-26 1108 F5CBU         59 22 TK5KP         59 2A
QSO:  7000 PH 2012-02-26 1116 F5CBU         59 22 F5RXL         59 33
QSO:  7000 PH 2012-02-26 1117 F5CBU         59 22 F8DRE         59 28
QSO:  7000 PH 2012-02-26 1120 F5CBU         59 22 F5SUL         59 44
QSO:  7000 PH 2012-02-26 1123 F5CBU         59 22 F4EAT         59 77
QSO:  7000 PH 2012-02-26 1124 F5CBU         59 22 F6KCI         59 37
QSO:  7118 PH 2012-02-26 1136 F5CBU         59 22 F4GTD         59 45
QSO: 21284 PH 2012-02-26 1253 F5CBU         59 22 SE5S          59 0236
QSO: 21000 PH 2012-02-26 1258 F5CBU         59 22 F4FJH         59 22
QSO:  7000 PH 2012-02-26 1302 F5CBU         59 22 F5ISY         59 11
QSO:  7000 PH 2012-02-26 1306 F5CBU         59 22 F4FTV         59 63
QSO:  7155 PH 2012-02-26 1319 F5CBU         59 22 F4GNS         59 72
QSO:  7102 PH 2012-02-26 1322 F5CBU         59 22 F4FFH         59 50
QSO: 14118 PH 2012-02-26 1345 F5CBU         59 22 RU3FN         59 224
QSO: 14000 PH 2012-02-26 1348 F5CBU         59 22 UT8UF         59 164
QSO:  7194 PH 2012-02-26 1353 F5CBU         59 22 F4EJO         59 17
QSO:  7000 PH 2012-02-26 1516 F5CBU         59 22 F4EUG         59 22
QSO:  7000 PH 2012-02-26 1517 F5CBU         59 22 F1TZM         59 72
QSO: 14000 PH 2012-02-26 1540 F5CBU         59 22 OK1KZ         59 099
QSO: 14118 PH 2012-02-26 1542 F5CBU         59 22 CN8SG         59 0376
END-OF-LOG:
