START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: Coupe du REF
CALLSIGN: DO8ABS
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DO8ABS
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for Coupe du REF REF/2012/SSB.
QSO: 21000 PH 2012-02-25 1546 DO8ABS        59 001 FM5AN         59 FM
QSO:  3709 PH 2012-02-25 1703 DO8ABS        59 002 F1RHS         59 82
QSO:  3500 PH 2012-02-25 1707 DO8ABS        59 003 F5JSQ         59 51
QSO:  3500 PH 2012-02-25 1711 DO8ABS        59 004 F5KOU         59 80
QSO:  3500 PH 2012-02-25 1720 DO8ABS        59 006 F8BUO         59 68
QSO:  3753 PH 2012-02-25 1838 DO8ABS        59 007 F6KNB         59 33
QSO:  3500 PH 2012-02-25 1853 DO8ABS        59 008 F8KHP         59 88
QSO:  3500 PH 2012-02-25 1856 DO8ABS        59 009 F8AEE         59 10
QSO:  3606 PH 2012-02-25 1900 DO8ABS        59 010 F6KRK         59 78
QSO:  3500 PH 2012-02-25 1903 DO8ABS        59 011 F6GDO         59 73
QSO:  3500 PH 2012-02-25 1917 DO8ABS        59 012 F6KJU         59 59
QSO:  3500 PH 2012-02-25 1919 DO8ABS        59 013 F6CLQ         59 89
QSO:  3500 PH 2012-02-25 2058 DO8ABS        59 014 TM9FL         59 86
QSO:  3633 PH 2012-02-25 2104 DO8ABS        59 015 TM6GGR        59 37
QSO:  3664 PH 2012-02-25 2110 DO8ABS        59 016 TM2B          59 03
QSO:  3500 PH 2012-02-25 2300 DO8ABS        59 0017 F6KMB         59 59
QSO:  3500 PH 2012-02-25 2305 DO8ABS        59 018 TM57M         59 57
QSO:  3709 PH 2012-02-25 2308 DO8ABS        59 019 F8UNF         59 57
QSO:  3500 PH 2012-02-25 2314 DO8ABS        59 020 F6IGS         59 33
QSO:  3703 PH 2012-02-25 2323 DO8ABS        59 021 TM2OP         59 86
END-OF-LOG:
