START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: Coupe du REF
CALLSIGN: F1AGR
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: F1AGR
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for Coupe du REF REF/2012/SSB.
QSO:  3500 PH 2012-02-25 0611 F1AGR         59 78 F4FGY         59 79
QSO:  3500 PH 2012-02-25 0616 F1AGR         59 78 F6KCI         59 37
QSO:  3500 PH 2012-02-25 0617 F1AGR         59 78 TM1T          59 44
QSO:  3649 PH 2012-02-25 0618 F1AGR         59 78 F6CXJ         59 47
QSO:  3682 PH 2012-02-25 0628 F1AGR         59 78 F5KMB/P       59 60
QSO:  3500 PH 2012-02-25 0713 F1AGR         59 78 F6KJX         59 41
QSO:  7000 PH 2012-02-25 0854 F1AGR         59 78 F4FGB         59 73
QSO:  7000 PH 2012-02-25 0908 F1AGR         59 78 F5PGI         59 60
QSO:  7000 PH 2012-02-25 0917 F1AGR         59 78 F8GGZ         59 39
QSO:  7000 PH 2012-02-25 0926 F1AGR         59 78 F5IF          59 66
QSO:  7000 PH 2012-02-25 0936 F1AGR         59 78 F5PPG         59 57
QSO:  7000 PH 2012-02-25 0948 F1AGR         59 78 F5KDY/P       59 28
QSO:  7000 PH 2012-02-25 1006 F1AGR         59 78 F4KIU         59 67
QSO:  7000 PH 2012-02-25 1034 F1AGR         59 78 F4FFS         59 45
QSO: 14000 PH 2012-02-25 1109 F1AGR         59 78 6V7A          59 199
QSO: 14200 PH 2012-02-25 1116 F1AGR         59 78 LY2BIS        59 047
QSO: 14156 PH 2012-02-25 1120 F1AGR         59 78 HG8C          59 0041
QSO:  7000 PH 2012-02-25 1245 F1AGR         59 78 F6GED         59 76
QSO:  7000 PH 2012-02-25 1247 F1AGR         59 40 F1SOU         59 47
QSO:  7000 PH 2012-02-25 1301 F1AGR         59 78 F4DDX         59 13
QSO:  7000 PH 2012-02-25 1309 F1AGR         59 78 F6KOT/P       59 82
QSO:  7163 PH 2012-02-25 1324 F1AGR         59 78 PA3ELQ        59 0016
QSO:  7000 PH 2012-02-25 1344 F1AGR         59 78 F6HZS         59 34
QSO: 21000 PH 2012-02-25 1628 F1AGR         59 78 6V7A          59 463
QSO: 14136 PH 2012-02-25 1652 F1AGR         59 78 OM0DX         59 0131
QSO: 14130 PH 2012-02-25 1655 F1AGR         59 78 TM2T          59 13
QSO: 21244 PH 2012-02-25 1737 F1AGR         59 78 TM1T          59 44
QSO:  7000 PH 2012-02-25 1808 F1AGR         59 78 F5ISY         59 11
QSO:  7146 PH 2012-02-25 1828 F1AGR         59 78 YO3CZW        59 0461
QSO:  3669 PH 2012-02-25 2001 F1AGR         59 78 F4CGJ         59 72
QSO:  3723 PH 2012-02-25 2004 F1AGR         59 78 F8KCF         59 74
QSO:  3500 PH 2012-02-25 2009 F1AGR         59 78 F5FDC         59 82
QSO:  3500 PH 2012-02-25 2017 F1AGR         59 78 F5AUB         59 81
QSO:  3786 PH 2012-02-25 2046 F1AGR         59 78 PA7BAS        59 0058
QSO:  3500 PH 2012-02-25 2054 F1AGR         59 78 F6GCI         59 57
QSO:  3500 PH 2012-02-25 2105 F1AGR         59 78 SP6OPZ        59 38
QSO:  3500 PH 2012-02-25 2122 F1AGR         59 78 F6DEO         59 95
QSO:  7000 PH 2012-02-25 2157 F1AGR         59 78 LA6KOA        59 184
QSO:  7000 PH 2012-02-25 2201 F1AGR         59 78 SP4CUF        59 044
QSO:  7100 PH 2012-02-26 1320 F1AGR         59 78 F6KDU/P       59 64
QSO:  7000 PH 2012-02-26 1341 F1AGR         59 78 F4EIK         59 52
QSO:  7000 PH 2012-02-26 1345 F1AGR         59 78 F5XX          59 81
QSO:  7000 PH 2012-02-26 1349 F1AGR         59 78 F6KEH         59 34
END-OF-LOG:
