START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: Coupe du REF
CALLSIGN: K2MFY
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K2MFY
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for Coupe du REF REF/2012/SSB.
QSO: 14000 PH 2012-02-25 1750 K2MFY         59 001 F5KLP         59 49
QSO: 14000 PH 2012-02-25 1752 K2MFY         59 003 F6DRP         59 85
QSO: 14197 PH 2012-02-25 1752 K2MFY         59 002 F6KHM         59 29
QSO: 14000 PH 2012-02-25 1754 K2MFY         59 005 F5UTN         59 27
QSO: 14000 PH 2012-02-25 1754 K2MFY         59 006 F8DRE         59 28
QSO: 14154 PH 2012-02-25 1755 K2MFY         59 007 TM6GGR        59 37
QSO: 14000 PH 2012-02-25 1756 K2MFY         59 008 F6KLO         59 19
QSO: 14000 PH 2012-02-25 1757 K2MFY         59 009 F4KIO         59 35
QSO: 14000 PH 2012-02-25 1801 K2MFY         59 010 F6KGL         59 93
QSO: 14186 PH 2012-02-25 1802 K2MFY         59 011 TM2OP         59 86
QSO: 14182 PH 2012-02-25 1803 K2MFY         59 012 TM1T          59 44
QSO: 14162 PH 2012-02-25 1808 K2MFY         59 013 TM7X          59 12
QSO: 14165 PH 2012-02-25 1813 K2MFY         59 014 TM2B          59 03
QSO: 14000 PH 2012-02-25 1815 K2MFY         59 015 F6BXD         59 59
QSO: 14000 PH 2012-02-25 1817 K2MFY         59 016 TM0L          59 46
QSO: 14000 PH 2012-02-25 1901 K2MFY         59 017 F4KIP         59 57
QSO: 14176 PH 2012-02-25 1915 K2MFY         59 017 TK5KP         59 2A
QSO: 14000 PH 2012-02-25 1942 K2MFY         59 018 FM5AN         59 FM
QSO:  7159 PH 2012-02-26 0053 K2MFY         59 018 TM2T          59 13
QSO:  7151 PH 2012-02-26 0058 K2MFY         55 019 TM6GGR        59 37
QSO:  7144 PH 2012-02-26 0105 K2MFY         59 020 TM1T          59 44
QSO:  7168 PH 2012-02-26 0116 K2MFY         59 021 F6KNB         59 33
QSO:  7000 PH 2012-02-26 0120 K2MFY         59 022 F5JFU         59 58
QSO:  7000 PH 2012-02-26 0121 K2MFY         59 023 F6KLO         59 19
QSO: 21257 PH 2012-02-26 0841 K2MFY         59 046 F4FEP         59 29
QSO: 21000 PH 2012-02-26 1435 K2MFY         59 024 F5JFU         59 58
QSO: 21000 PH 2012-02-26 1440 K2MFY         59 025 F6KJX         59 41
QSO: 21000 PH 2012-02-26 1442 K2MFY         59 026 TM57M         59 57
QSO: 21000 PH 2012-02-26 1443 K2MFY         59 027 F8ATM         59 81
QSO: 21243 PH 2012-02-26 1453 K2MFY         59 028 TM1T          59 44
QSO: 21000 PH 2012-02-26 1455 K2MFY         59 029 F6IPQ         59 47
QSO: 21204 PH 2012-02-26 1458 K2MFY         59 030 F6KNB         59 33
QSO: 21205 PH 2012-02-26 1459 K2MFY         59 031 TM2B          59 03
QSO: 21241 PH 2012-02-26 1503 K2MFY         59 033 F8KCF         59 74
QSO: 21000 PH 2012-02-26 1505 K2MFY         59 034 FM5AN         59 FM
QSO: 21000 PH 2012-02-26 1629 K2MFY         59 035 F6KEH         59 34
QSO: 28503 PH 2012-02-26 1631 K2MFY         59 036 F5VNB         59 47
QSO: 21000 PH 2012-02-26 1641 K2MFY         59 037 F6APE         59 49
QSO: 14000 PH 2012-02-26 1643 K2MFY         59 038 F6CLQ         59 89
QSO: 14000 PH 2012-02-26 1650 K2MFY         59 040 TM55M         59 55
QSO: 21000 PH 2012-02-26 1716 K2MFY         59 041 F4GGQ         59 29
QSO: 21000 PH 2012-02-26 1721 K2MFY         59 042 FY5PO         59 FY
QSO: 21250 PH 2012-02-26 1723 K2MFY         59 043 TM2OP         59 86
QSO: 21000 PH 2012-02-26 1724 K2MFY         59 044 F5UTN         59 27
QSO: 21363 PH 2012-02-26 1728 K2MFY         59 045 F5VNB         59 47
END-OF-LOG:
