START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: Coupe du REF
CALLSIGN: DJ4WM
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DJ4WM
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for Coupe du REF REF/2012/SSB.
QSO:  3500 PH 2012-02-26 0441 DJ4WM         59 001 TM57M         59 57
QSO:  3500 PH 2012-02-26 0446 DJ4WM         59 002 F5KCC         59 89
QSO:  3712 PH 2012-02-26 0449 DJ4WM         59 003 TM2B          59 03
QSO:  3717 PH 2012-02-26 0450 DJ4WM         59 004 F6KRK         59 78
QSO:  3500 PH 2012-02-26 0454 DJ4WM         59 005 F5ADE         59 36
QSO:  3500 PH 2012-02-26 0457 DJ4WM         59 006 F6IGS         59 33
QSO:  3500 PH 2012-02-26 0458 DJ4WM         59 006 F8KHP         59 88
QSO:  7000 PH 2012-02-26 0705 DJ4WM         59 009 F6GDO         59 73
QSO:  7084 PH 2012-02-26 0709 DJ4WM         59 010 F5OWT         59 45
QSO:  7093 PH 2012-02-26 0712 DJ4WM         59 011 F8UNF         59 57
QSO:  7000 PH 2012-02-26 0714 DJ4WM         59 012 F5RXL         59 33
QSO:  7155 PH 2012-02-26 0717 DJ4WM         59 013 F5RAB         59 28
QSO:  7147 PH 2012-02-26 0725 DJ4WM         59 014 F4FFH         59 50
QSO:  7000 PH 2012-02-26 0727 DJ4WM         59 015 F6APE         59 49
QSO:  7000 PH 2012-02-26 0806 DJ4WM         59 017 F4FJH         59 22
QSO:  7000 PH 2012-02-26 0808 DJ4WM         59 018 F6EQZ         59 51
QSO:  7074 PH 2012-02-26 0822 DJ4WM         59 020 F6KBF         59 78
QSO:  7000 PH 2012-02-26 0924 DJ4WM         59 021 F4CVA/P       59 76
QSO: 14160 PH 2012-02-26 0933 DJ4WM         59 022 F5OAM         59 47
QSO: 14000 PH 2012-02-26 0935 DJ4WM         59 023 F5XX          59 81
QSO: 14000 PH 2012-02-26 0938 DJ4WM         59 024 TM22P         59 22
QSO: 14000 PH 2012-02-26 0942 DJ4WM         59 025 F5FDC         59 82
QSO: 14000 PH 2012-02-26 0959 DJ4WM         59 026 F5KHP         59 32
QSO: 14000 PH 2012-02-26 1003 DJ4WM         59 027 F4FGY         59 79
QSO: 14000 PH 2012-02-26 1004 DJ4WM         59 028 F8CNX         59 85
QSO: 14000 PH 2012-02-26 1008 DJ4WM         59 0029 F6DZU         59 40
QSO: 14000 PH 2012-02-26 1016 DJ4WM         59 030 F5BOY         59 73
QSO: 14000 PH 2012-02-26 1309 DJ4WM         59 031 F4FSV         59 64
END-OF-LOG:
