START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: Coupe du REF
CALLSIGN: PA4J
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PA4J
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for Coupe du REF REF/2012/SSB.
QSO: 14000 PH 2012-02-25 1339 PA4J          59 002 F6APE         59 49
QSO:  7000 PH 2012-02-25 1340 PA4J          59 003 F8AEE         59 10
QSO:  7000 PH 2012-02-25 1341 PA4J          59 004 F6KEX         59 38
QSO:  7047 PH 2012-02-25 1341 PA4J          59 5 F4FSY         59 69
QSO:  7000 PH 2012-02-25 1351 PA4J          59 0007 F4FGJ         59 89
QSO:  7000 PH 2012-02-25 1351 PA4J          59 006 F8FSC         59 39
QSO:  7000 PH 2012-02-25 1353 PA4J          59 008 F4FRQ         59 90
QSO:  7000 PH 2012-02-25 1358 PA4J          59 010 F6DRP         59 85
QSO:  7000 PH 2012-02-25 1359 PA4J          59 009 F4GLJ         59 95
QSO:  7000 PH 2012-02-25 1400 PA4J          59 012 F4BYB         59 02
QSO:  7000 PH 2012-02-25 1400 PA4J          59 011 F4EAT         59 77
QSO:  7000 PH 2012-02-25 1405 PA4J          59 013 F8CNX         59 85
QSO:  7112 PH 2012-02-25 1411 PA4J          59 014 F5CCX         59 91
QSO:  7000 PH 2012-02-25 1414 PA4J          59 015 F5JSQ         59 51
QSO:  7000 PH 2012-02-25 1418 PA4J          59 016 F4EOH         59 84
QSO:  7141 PH 2012-02-25 1420 PA4J          59 017 F6BZQ         59 84
QSO:  7000 PH 2012-02-25 1421 PA4J          59 016 F6AWU         59 44
QSO:  7000 PH 2012-02-25 1425 PA4J          59 019 F4CUI         59 43
QSO:  7000 PH 2012-02-25 1426 PA4J          59 020 F6ETI         59 19
QSO:  7163 PH 2012-02-25 1427 PA4J          59 021 F6FDR         59 84
QSO:  7000 PH 2012-02-25 1430 PA4J          59 022 F4DNK         59 76
QSO:  7000 PH 2012-02-25 1430 PA4J          59 023 F6KJU         59 59
QSO:  7000 PH 2012-02-25 1432 PA4J          59 024 F4FTV         59 63
QSO:  7000 PH 2012-02-25 1434 PA4J          59 025 F4GLK         59 60
QSO:  7000 PH 2012-02-25 1436 PA4J          59 026 F6GOE         59 19
