START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: Coupe du REF
CALLSIGN: PD2JAM
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PD2JAM
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for Coupe du REF REF/2012/SSB.
QSO:  7000 PH 2012-02-25 1124 PD2JAM        59 120 F1ELA         59 59
QSO: 14171 PH 2012-02-25 1137 PD2JAM        59 001 F5KDK/P       59 11
QSO: 14151 PH 2012-02-25 1139 PD2JAM        59 002 TM2T          59 13
QSO: 14126 PH 2012-02-25 1155 PD2JAM        59 003 TK5KP         59 2A
QSO: 28000 PH 2012-02-25 1201 PD2JAM        59 004 F5JFU         59 58
QSO: 14135 PH 2012-02-25 1208 PD2JAM        59 005 TM7X          59 12
QSO:  7000 PH 2012-02-25 1218 PD2JAM        59 006 F4EAT         59 77
QSO:  7000 PH 2012-02-25 1228 PD2JAM        59 008 F6APE         59 49
QSO:  7056 PH 2012-02-25 1339 PD2JAM        59 009 TM5FFT        59 56
QSO:  7000 PH 2012-02-25 1341 PD2JAM        59 0010 F4FGJ         59 89
QSO:  7000 PH 2012-02-25 1344 PD2JAM        59 011 F8FSC         59 39
QSO:  7000 PH 2012-02-25 1402 PD2JAM        59 0012 F4DPW         59 95
QSO:  7000 PH 2012-02-25 1404 PD2JAM        59 013 F8CNX         59 85
QSO:  7000 PH 2012-02-25 1409 PD2JAM        59 0014 F5LMG         59 27
QSO:  7000 PH 2012-02-25 1410 PD2JAM        59 015 F4BYB         59 02
QSO:  7000 PH 2012-02-25 1412 PD2JAM        59 016 F4GLJ         59 95
QSO:  7000 PH 2012-02-25 1415 PD2JAM        59 017 F4EIK         59 52
QSO: 14000 PH 2012-02-25 1418 PD2JAM        59 019 F1MOZ         59 40
QSO: 14000 PH 2012-02-25 1418 PD2JAM        59 018 F4GCU         59 66
QSO: 14176 PH 2012-02-25 1419 PD2JAM        59 020 F8KGH         59 83
QSO:  7094 PH 2012-02-25 1812 PD2JAM        59 021 F6KHM         59 29
QSO:  7070 PH 2012-02-25 1816 PD2JAM        59 023 F8KCF         59 74
QSO:  7058 PH 2012-02-25 1817 PD2JAM        59 024 F4GNS         59 72
QSO:  7000 PH 2012-02-25 1820 PD2JAM        59 025 TM9FL         59 86
QSO:  7000 PH 2012-02-25 1834 PD2JAM        59 026 F8BSE         59 47
QSO:  7000 PH 2012-02-25 1840 PD2JAM        59 027 F4GIB         59 85
QSO: 14000 PH 2012-02-26 1154 PD2JAM        59 028 F5KKD         59 93
QSO:  7000 PH 2012-02-26 1155 PD2JAM        59 029 F6EQZ         59 51
QSO:  7082 PH 2012-02-26 1158 PD2JAM        59 030 F6HRL         59 86
QSO:  7098 PH 2012-02-26 1201 PD2JAM        59 031 F1UIJ/P       59 91
QSO: 14000 PH 2012-02-26 1205 PD2JAM        59 032 F1RCH         59 13
QSO: 14200 PH 2012-02-26 1209 PD2JAM        59 033 F4BDV         59 82
QSO: 14000 PH 2012-02-26 1214 PD2JAM        59 034 F5FDC         59 82
QSO: 14000 PH 2012-02-26 1217 PD2JAM        59 035 F5XX          59 81
QSO: 14000 PH 2012-02-26 1225 PD2JAM        59 036 F4FSV         59 64
QSO: 14000 PH 2012-02-26 1449 PD2JAM        59 037 F6KEH         59 34
QSO: 14000 PH 2012-02-26 1451 PD2JAM        59 038 F6GPT         59 33
QSO:  7000 PH 2012-02-26 1507 PD2JAM        59 039 F6AXN         59 28
QSO:  7000 PH 2012-02-26 1508 PD2JAM        59 040 F8DRE         59 28
QSO:  7000 PH 2012-02-26 1511 PD2JAM        59 041 F8KHO         59 51
QSO:  7000 PH 2012-02-26 1513 PD2JAM        59 042 F5AAR         59 49
QSO:  7000 PH 2012-02-26 1518 PD2JAM        59 043 F5RJW         59 71
QSO:  7000 PH 2012-02-26 1522 PD2JAM        59 0044 F6IRM         59 52
QSO:  7079 PH 2012-02-26 1527 PD2JAM        59 045 F6REF         59 00
QSO:  7000 PH 2012-02-26 1546 PD2JAM        59 046 F6KJU         59 59
QSO:  7100 PH 2012-02-26 1548 PD2JAM        59 047 F4EEI         59 52
QSO:  7118 PH 2012-02-26 1554 PD2JAM        59 048 F4EJO         59 17
QSO: 14000 PH 2012-02-26 1605 PD2JAM        59 049 TM55M         59 55
QSO: 14181 PH 2012-02-26 1606 PD2JAM        59 050 F6KHM         59 29
END-OF-LOG:
