START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: Coupe du REF
CALLSIGN: PD0JMH
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PD0JMH
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for Coupe du REF REF/2012/SSB.
QSO: 14000 PH 2012-02-25 1030 PD0JMH        59 001 F6KEH         59 34
QSO: 14158 PH 2012-02-25 1032 PD0JMH        59 002 TM7X          59 12
QSO: 14171 PH 2012-02-25 1139 PD0JMH        59 003 F5KDK/P       59 11
QSO: 14151 PH 2012-02-25 1140 PD0JMH        59 004 TM2T          59 13
QSO: 14126 PH 2012-02-25 1159 PD0JMH        59 005 TK5KP         59 2A
QSO: 14000 PH 2012-02-25 1322 PD0JMH        59 006 F5XX          59 81
QSO: 14123 PH 2012-02-25 1405 PD0JMH        59 007 F6KNB         59 33
QSO: 14000 PH 2012-02-25 1407 PD0JMH        59 0008 F6DZU         59 40
QSO: 14000 PH 2012-02-25 1425 PD0JMH        59 009 F1MOZ         59 40
QSO: 14000 PH 2012-02-25 1427 PD0JMH        59 010 F4GCU         59 66
QSO: 14000 PH 2012-02-25 1654 PD0JMH        59 012 TK5XN         59 2A
QSO:  7079 PH 2012-02-26 0734 PD0JMH        59 013 F6KHM         59 29
QSO:  7000 PH 2012-02-26 0741 PD0JMH        59 014 F8EMH         59 54
QSO:  7091 PH 2012-02-26 0802 PD0JMH        59 015 F8UNF         59 57
QSO:  7000 PH 2012-02-26 0841 PD0JMH        59 017 F5POJ         59 02
QSO: 14000 PH 2012-02-26 0943 PD0JMH        59 018 F5MMF         59 24
QSO: 14000 PH 2012-02-26 0948 PD0JMH        59 019 F5KHP         59 32
QSO: 14000 PH 2012-02-26 0952 PD0JMH        59 020 F4FJH         59 22
QSO: 14000 PH 2012-02-26 0954 PD0JMH        59 021 TM22P         59 22
QSO: 14000 PH 2012-02-26 1017 PD0JMH        59 023 F6DRP         59 85
QSO: 14114 PH 2012-02-26 1019 PD0JMH        59 024 TM5FFT        59 56
QSO: 14000 PH 2012-02-26 1111 PD0JMH        59 025 F4GGQ         59 29
END-OF-LOG:
