START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: K0BJ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K0BJ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2021.
QSO: 28007 CW 2021-12-11 1710 K0BJ          599 KS KP2M          599 312
QSO: 28000 CW 2021-12-11 1712 K0BJ          599 KS HC2GRC        599 157
QSO: 28020 CW 2021-12-11 1713 K0BJ          599 KS K5NZ          599 TX
QSO: 28026 CW 2021-12-11 1803 K0BJ          599 KS K5NA          599 TX
QSO: 28027 CW 2021-12-11 2051 K0BJ          599 KS PY5AMF        599 417
QSO: 28012 CW 2021-12-11 2056 K0BJ          599 KS LU6D          599 0084
QSO: 28022 CW 2021-12-11 2057 K0BJ          599 KS LR1E          599 382
QSO: 28023 CW 2021-12-11 2057 K0BJ          599 KS LW5HR         599 240
QSO: 28028 CW 2021-12-11 2059 K0BJ          599 KS PY2MC         599 223
QSO: 28057 CW 2021-12-11 2102 K0BJ          599 KS PY3YD         599 332
QSO: 28000 CW 2021-12-11 2111 K0BJ          599 KS LV4V          599 143
QSO: 28053 CW 2021-12-11 2112 K0BJ          599 KS LU8DPM        599 0589
QSO: 28063 CW 2021-12-11 2113 K0BJ          599 KS CX2AQ         599 310
QSO: 28000 CW 2021-12-11 2115 K0BJ          599 KS LW7DX         599 560
QSO: 28015 CW 2021-12-11 2116 K0BJ          599 KS LS2D          599 0376
QSO: 28014 CW 2021-12-11 2119 K0BJ          599 KS PP5AX         599 176
QSO: 28000 CW 2021-12-11 2224 K0BJ          599 KS PY5ZHP        599 660
QSO: 28012 CW 2021-12-11 2334 K0BJ          599 KS WW4LL         599 GA
QSO: 28012 CW 2021-12-11 2335 K0BJ          599 KS PX5M          599 398
QSO: 28000 CW 2021-12-11 2353 K0BJ          599 KS W4SKB         599 GA
QSO: 28044 CW 2021-12-11 2353 K0BJ          599 KS WB4TDH        599 FL
QSO: 28000 CW 2021-12-11 2354 K0BJ          599 KS W4JKC         599 SC
QSO: 28044 CW 2021-12-11 2354 K0BJ          599 KS K2PS          599 FL
QSO: 28042 CW 2021-12-11 2357 K0BJ          599 KS NN7CW         599 FL
QSO: 28038 CW 2021-12-11 2359 K0BJ          599 KS N4EK          599 FL
QSO: 28033 CW 2021-12-12 0000 K0BJ          599 KS N4UU          599 FL
QSO: 28027 CW 2021-12-12 0001 K0BJ          599 KS K3MM          599 MD
QSO: 28000 CW 2021-12-12 0003 K0BJ          599 KS K3ZO          599 MD
QSO: 28024 CW 2021-12-12 0003 K0BJ          599 KS K3UA          599 PA
QSO: 28000 CW 2021-12-12 0004 K0BJ          599 KS K3TW          599 FL
QSO: 28011 CW 2021-12-12 0005 K0BJ          599 KS N4XD          599 NC
QSO: 28009 CW 2021-12-12 0006 K0BJ          599 KS AD4ES         599 FL
QSO: 28005 CW 2021-12-12 0007 K0BJ          599 KS KU8E          599 GA
QSO: 28022 CW 2021-12-12 0011 K0BJ          599 KS NR4M          599 VA
QSO: 28023 CW 2021-12-12 0012 K0BJ          599 KS K3IE          599 TN
QSO: 28000 CW 2021-12-12 0013 K0BJ          599 KS W4YE          599 VA
QSO: 28037 CW 2021-12-12 0014 K0BJ          599 KS WO4O          599 FL
QSO: 28038 CW 2021-12-12 0015 K0BJ          599 KS N4SS          599 KY
QSO: 28027 CW 2021-12-12 0017 K0BJ          599 KS W8MJ          599 MI
QSO: 28023 CW 2021-12-12 0018 K0BJ          599 KS K8JQ          599 WV
QSO: 28026 CW 2021-12-12 0018 K0BJ          599 KS K4NMR         599 FL
QSO: 28046 CW 2021-12-12 0021 K0BJ          599 KS K4BAI         599 GA
QSO: 28049 CW 2021-12-12 0021 K0BJ          599 KS N3UA          599 VA
QSO: 28048 CW 2021-12-12 0031 K0BJ          599 KS N2MM          599 NJ
QSO: 28041 CW 2021-12-12 0033 K0BJ          599 KS WX3M          599 VA
QSO: 28037 CW 2021-12-12 0035 K0BJ          599 KS N2YO          599 VA
QSO: 28035 CW 2021-12-12 0036 K0BJ          599 KS WA8KAN        599 WV
QSO: 28040 CW 2021-12-12 0036 K0BJ          599 KS KT0K          599 NE
QSO: 28034 CW 2021-12-12 0038 K0BJ          599 KS W1KM          599 MA
QSO: 28029 CW 2021-12-12 0039 K0BJ          599 KS N4RV          599 VA
QSO: 28021 CW 2021-12-12 0042 K0BJ          599 KS W3IP          599 VA
QSO: 28021 CW 2021-12-12 0042 K0BJ          599 KS W4UT          599 TN
QSO: 28008 CW 2021-12-12 0046 K0BJ          599 KS K8PK          599 OH
QSO: 28009 CW 2021-12-12 0046 K0BJ          599 KS K4QPL         599 NC
QSO: 28000 CW 2021-12-12 0050 K0BJ          599 KS N4IJ          599 NC
QSO: 28055 CW 2021-12-12 0051 K0BJ          599 KS K3OO          599 PA
QSO: 28055 CW 2021-12-12 0052 K0BJ          599 KS N4OX          599 FL
QSO: 28057 CW 2021-12-12 0052 K0BJ          599 KS WQ5L          599 MS
QSO: 28048 CW 2021-12-12 0054 K0BJ          599 KS N8BJQ         599 OH
QSO: 28049 CW 2021-12-12 0054 K0BJ          599 KS WA1FCN        599 AL
QSO: 28000 CW 2021-12-12 0055 K0BJ          599 KS W4DAN         599 TN
QSO: 28042 CW 2021-12-12 0057 K0BJ          599 KS N4YDU         599 NC
QSO: 28000 CW 2021-12-12 0059 K0BJ          599 KS W8MET         599 OH
QSO: 28037 CW 2021-12-12 0059 K0BJ          599 KS WB9Z          599 IL
QSO: 28035 CW 2021-12-12 0100 K0BJ          599 KS AA5JF         599 GA
QSO: 28037 CW 2021-12-12 0100 K0BJ          599 KS N3XF          599 PA
QSO: 28033 CW 2021-12-12 0102 K0BJ          599 KS K8MM          599 MI
QSO: 28028 CW 2021-12-12 0104 K0BJ          599 KS K3CCR         599 MD
QSO: 28026 CW 2021-12-12 0105 K0BJ          599 KS K4SO          599 VA
QSO: 28019 CW 2021-12-12 0106 K0BJ          599 KS NS4X          599 TN
QSO: 28013 CW 2021-12-12 0107 K0BJ          599 KS K4ZW          599 VA
QSO: 28016 CW 2021-12-12 0107 K0BJ          599 KS K4XL          599 VA
QSO: 28013 CW 2021-12-12 0108 K0BJ          599 KS K3AJ          599 MD
QSO: 28008 CW 2021-12-12 0110 K0BJ          599 KS K4QS          599 VA
QSO: 28000 CW 2021-12-12 0112 K0BJ          599 KS KB5IXI        599 MS
QSO: 28040 CW 2021-12-12 0114 K0BJ          599 KS K8MP          599 OH
QSO: 28033 CW 2021-12-12 0115 K0BJ          599 KS W3TB          599 TN
QSO: 28029 CW 2021-12-12 0116 K0BJ          599 KS N2YB          599 NY
QSO: 28026 CW 2021-12-12 0118 K0BJ          599 KS K4YJ          599 OH
QSO: 28029 CW 2021-12-12 0228 K0BJ          599 KS K2SX          599 SC
QSO: 28032 CW 2021-12-12 0229 K0BJ          599 KS K3EST         599 CA
QSO: 28035 CW 2021-12-12 0229 K0BJ          599 KS W5LA          599 LA
QSO: 28037 CW 2021-12-12 0230 K0BJ          599 KS N5RZ          599 TX
QSO: 28047 CW 2021-12-12 0232 K0BJ          599 KS WJ9B          599 ID
QSO: 28049 CW 2021-12-12 0233 K0BJ          599 KS AA6AA         599 NV
QSO: 28034 CW 2021-12-12 0234 K0BJ          599 KS W1RH          599 CA
QSO: 28031 CW 2021-12-12 0235 K0BJ          599 KS K5PI          599 TX
QSO: 28026 CW 2021-12-12 0236 K0BJ          599 KS W0UA          599 CO
QSO: 28024 CW 2021-12-12 0237 K0BJ          599 KS K6KM          599 CA
QSO: 28020 CW 2021-12-12 0252 K0BJ          599 KS K9YC          599 CA
QSO: 28029 CW 2021-12-12 0253 K0BJ          599 KS W1SRD         599 CA
QSO: 28034 CW 2021-12-12 0254 K0BJ          599 KS N7GP          599 AZ
QSO: 28038 CW 2021-12-12 0255 K0BJ          599 KS N6WM          599 CA
QSO: 28052 CW 2021-12-12 0307 K0BJ          599 KS KY7M          599 AZ
QSO: 28031 CW 2021-12-12 0310 K0BJ          599 KS KR4F          599 AL
QSO: 28000 CW 2021-12-12 0311 K0BJ          599 KS N4KS          599 FL
QSO: 28030 CW 2021-12-12 0311 K0BJ          599 KS W5KU          599 TX
QSO: 28038 CW 2021-12-12 0330 K0BJ          599 KS N1TO          599 FL
QSO: 28005 CW 2021-12-12 0332 K0BJ          599 KS WA8ZBT        599 TX
QSO: 28000 CW 2021-12-12 0333 K0BJ          599 KS K0HX          599 MO
QSO: 28009 CW 2021-12-12 0333 K0BJ          599 KS AJ6T          599 TN
QSO: 28028 CW 2021-12-12 0337 K0BJ          599 KS NT6X          599 CA
QSO: 28029 CW 2021-12-12 0337 K0BJ          599 KS WQ6X          599 CA
QSO: 28030 CW 2021-12-12 0338 K0BJ          599 KS N7VM          599 CA
QSO: 28000 CW 2021-12-12 0340 K0BJ          599 KS N6AA          599 CA
QSO: 28037 CW 2021-12-12 0340 K0BJ          599 KS AA7V          599 AZ
QSO: 28048 CW 2021-12-12 0352 K0BJ          599 KS N3ZZ          599 CA
QSO: 28000 CW 2021-12-12 0356 K0BJ          599 KS N4JRG         599 KY
QSO: 28000 CW 2021-12-12 0357 K0BJ          599 KS KB6A          599 CA
QSO: 28025 CW 2021-12-12 0359 K0BJ          599 KS W6YX          599 CA
END-OF-LOG:
