START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: AC7GG
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: AC7GG
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2021.
QSO: 28022 CW 2021-12-11 1358 AC7GG         599 SC PJ2T          599 225
QSO: 28026 CW 2021-12-11 1401 AC7GG         599 SC NP2X          599 156
QSO: 28006 CW 2021-12-11 1613 AC7GG         599 SC ZF5T          599 259
QSO: 28035 CW 2021-12-11 1700 AC7GG         599 SC ZF2WF         599 0181
QSO: 28045 CW 2021-12-11 1743 AC7GG         599 SC VE6BBP        599 AB
QSO: 28020 CW 2021-12-11 1749 AC7GG         599 SC AA1JD         599 MA
QSO: 28044 CW 2021-12-11 1812 AC7GG         599 SC W0PR          599 MN
QSO: 28032 CW 2021-12-11 1819 AC7GG         599 SC K7ZS          599 OR
QSO: 28034 CW 2021-12-11 1838 AC7GG         599 SC W7YAQ         599 OR
QSO: 28027 CW 2021-12-11 1840 AC7GG         599 SC NG7M          599 UT
QSO: 28039 CW 2021-12-11 1844 AC7GG         599 NC K3EST         599 CA
QSO: 28038 CW 2021-12-11 1849 AC7GG         599 SC AA6AA         599 NV
QSO: 28040 CW 2021-12-11 1850 AC7GG         599 SC K6RC          599 CA
QSO: 28046 CW 2021-12-11 1851 AC7GG         599 SC N6US          599 CA
QSO: 28032 CW 2021-12-11 1955 AC7GG         599 SC WN4AFP        599 SC
QSO: 28054 CW 2021-12-11 2031 AC7GG         599 SC WQ5L          599 MS
QSO: 28038 CW 2021-12-11 2032 AC7GG         599 SC W5UE          599 MS
QSO: 28033 CW 2021-12-11 2044 AC7GG         599 SC NN4SS         599 SC
QSO: 28000 CW 2021-12-11 2059 AC7GG         599 SC N4KS          599 FL
QSO: 28007 CW 2021-12-11 2100 AC7GG         599 SC WX4G          599 FL
QSO: 28000 CW 2021-12-11 2102 AC7GG         599 SC KZ5J          599 TX
QSO: 28042 CW 2021-12-11 2104 AC7GG         599 SC NN7CW         599 FL
QSO: 28000 CW 2021-12-11 2106 AC7GG         599 SC K3TW          599 FL
QSO: 28001 CW 2021-12-11 2108 AC7GG         599 SC K1TO          599 FL
QSO: 28029 CW 2021-12-11 2112 AC7GG         599 SC K5KG          599 FL
QSO: 28036 CW 2021-12-11 2113 AC7GG         599 SC N4AO          599 FL
QSO: 28490 PH 2021-12-11 2117 AC7GG         59 SC NX5M          59 TX
QSO: 28000 CW 2021-12-11 2121 AC7GG         599 SC K5TS          599 LA
QSO: 28031 CW 2021-12-11 2122 AC7GG         599 SC K5PI          599 TX
QSO: 28026 CW 2021-12-11 2123 AC7GG         599 SC N5KWN         599 TX
QSO: 28000 CW 2021-12-11 2130 AC7GG         599 SC K4FU          599 FL
QSO: 28000 PH 2021-12-11 2144 AC7GG         59 SC N5QJ          59 AR
QSO: 28036 CW 2021-12-11 2148 AC7GG         599 SC N5VR          599 TX
QSO: 28058 CW 2021-12-11 2242 AC7GG         599 SC WT9Q          599 WI
QSO: 28038 CW 2021-12-11 2246 AC7GG         599 SC W1AN          599 CT
QSO: 28006 CW 2021-12-11 2249 AC7GG         599 SC N5EE          599 AR
QSO: 28033 CW 2021-12-11 2251 AC7GG         599 SC W1QK          599 CT
QSO: 28044 CW 2021-12-11 2256 AC7GG         599 SC W1KM          599 MA
QSO: 28053 CW 2021-12-11 2308 AC7GG         599 SC NU4E          599 SC
QSO: 28048 CW 2021-12-11 2310 AC7GG         599 SC KB1W          599 MA
QSO: 28021 CW 2021-12-11 2318 AC7GG         599 SC KT0K          599 NE
QSO: 28030 CW 2021-12-11 2318 AC7GG         599 SC K4YYL         599 SC
QSO: 28033 CW 2021-12-11 2322 AC7GG         599 SC N0AV          599 IA
QSO: 28050 CW 2021-12-11 2326 AC7GG         599 SC N0XR          599 IA
QSO: 28022 CW 2021-12-11 2328 AC7GG         599 SC K0RC          599 MN
QSO: 28002 CW 2021-12-11 2329 AC7GG         599 SC NE9U          599 WI
QSO: 28055 CW 2021-12-11 2332 AC7GG         599 SC NN1N          599 IL
QSO: 28004 CW 2021-12-11 2342 AC7GG         599 SC WA1T          599 ME
QSO: 28032 CW 2021-12-12 0017 AC7GG         599 SC AI6O          599 MO
QSO: 28020 CW 2021-12-12 0028 AC7GG         599 SC VE3DZ         599 ON
QSO: 28053 CW 2021-12-12 0032 AC7GG         599 SC NU0Q          599 IA
QSO: 28024 CW 2021-12-12 0035 AC7GG         599 SC K3UA          599 PA
QSO: 28029 CW 2021-12-12 0041 AC7GG         599 SC N2YB          599 NY
QSO: 28020 CW 2021-12-12 0042 AC7GG         599 SC N2EM          599 PA
QSO: 28044 CW 2021-12-12 0056 AC7GG         599 SC K8JQ          599 WV
QSO: 28040 CW 2021-12-12 0101 AC7GG         599 SC K8MP          599 OH
QSO: 28034 CW 2021-12-12 0106 AC7GG         599 SC WK2G          599 PA
QSO: 28013 CW 2021-12-12 0109 AC7GG         599 SC K4ZW          599 VA
QSO: 28022 CW 2021-12-12 0116 AC7GG         599 SC W5ZZ          599 LA
QSO: 28026 CW 2021-12-12 0119 AC7GG         599 SC W0UA          599 CO
QSO: 28005 CW 2021-12-12 0155 AC7GG         599 SC KU8E          599 GA
QSO: 28056 CW 2021-12-12 0225 AC7GG         599 SC N4OX          599 FL
QSO: 28029 CW 2021-12-12 0228 AC7GG         599 SC K2SX          599 SC
QSO: 28022 CW 2021-12-12 0303 AC7GG         599 SC NN4X          599 FL
QSO: 28031 CW 2021-12-12 0304 AC7GG         599 SC WO4O          599 FL
QSO: 28035 CW 2021-12-12 0304 AC7GG         599 SC WA1F          599 FL
QSO: 28033 CW 2021-12-12 0356 AC7GG         599 SC W5KU          599 TX
END-OF-LOG:
