START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: GM2T
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: TWO
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: 
GRID-LOCATOR: IO85SX
CLAIMED-SCORE: 4905120
NAME: Bob Glasgow
OPERATORS: GM4UYZ MM0DXC MM0VPR MM0CCC MM5AHO M0RNR MM0NBW 2M0EGH M0THL GM4GZW
OPERATORS: MM0XAB 2M0ILZ 2M0PGO
CLUB: COCKENZIE AND PORT SETON ARC
CREATED-BY: Win-Test 4.47.0
SOAPBOX: Another fantastic contest enjoyed by all. The weather from start to finish
SOAPBOX: was a howling gale and torrential rain.
SOAPBOX: We also got the chance to introduce two people to contesting, father and
SOAPBOX: son (13 years old). They are both recently licensed and took to operating
SOAPBOX: like ducks to water. Great additions to our contest team
QSO:  3682 PH 2023-10-28 0028 GM2T   59   14 EA2W   59   14 0
QSO:  1893 PH 2023-10-28 0028 GM2T   59   14 SP3GTS 59   15 1
QSO:  3666 PH 2023-10-28 0029 GM2T   59   14 UY7C   59   16 0
QSO:  1893 PH 2023-10-28 0029 GM2T   59   14 OL7K   59   15 1
QSO:  3655 PH 2023-10-28 0030 GM2T   59   14 M1U    59   14 0
QSO:  3613 PH 2023-10-28 0031 GM2T   59   14 YO4NF  59   20 0
QSO:  3615 PH 2023-10-28 0031 GM2T   59   14 YU5R   59   15 0
QSO:  1878 PH 2023-10-28 0031 GM2T   59   14 EI5GUB 59   14 1
QSO:  3621 PH 2023-10-28 0032 GM2T   59   14 EI1E   59   14 0
QSO:  3628 PH 2023-10-28 0032 GM2T   59   14 OT1X   59   14 0
QSO:  3611 PH 2023-10-28 0033 GM2T   59   14 DC4A   59   14 0
QSO:  3631 PH 2023-10-28 0033 GM2T   59   14 SK7K   59   14 0
QSO:  3637 PH 2023-10-28 0034 GM2T   59   14 HB9TOC 59   14 0
QSO:  3618 PH 2023-10-28 0034 GM2T   59   14 M0PLX/M 59   14 0
QSO:  3633 PH 2023-10-28 0034 GM2T   59   14 YP8T   59   20 0
QSO:  3640 PH 2023-10-28 0035 GM2T   59   14 LX8M   59   14 0
QSO:  3643 PH 2023-10-28 0035 GM2T   59   14 OL8R   59   15 0
QSO:  3646 PH 2023-10-28 0036 GM2T   59   14 HG7T   59   15 0
QSO:  1893 PH 2023-10-28 0036 GM2T   59   14 DR4A   59   14 1
QSO:  3656 PH 2023-10-28 0036 GM2T   59   14 SP4AWE 59   15 0
QSO:  1893 PH 2023-10-28 0036 GM2T   59   14 DP9A   59   14 1
QSO:  1893 PH 2023-10-28 0036 GM2T   59   14 GW2X   59   14 1
QSO:  3658 PH 2023-10-28 0036 GM2T   59   14 TM1Q   59   14 0
QSO:  3665 PH 2023-10-28 0037 GM2T   59   14 SK6D   59   14 0
QSO:  1893 PH 2023-10-28 0038 GM2T   59   14 DP7R   59   14 1
QSO:  3660 PH 2023-10-28 0038 GM2T   59   14 OT5A   59   14 0
QSO:  3671 PH 2023-10-28 0038 GM2T   59   14 IR2M   59   15 0
QSO:  3676 PH 2023-10-28 0038 GM2T   59   14 OM7K   59   15 0
QSO:  3683 PH 2023-10-28 0040 GM2T   59   14 DA0RR  59   14 0
QSO:  1891 PH 2023-10-28 0040 GM2T   59   14 LA4C   59   14 1
QSO:  1897 PH 2023-10-28 0041 GM2T   59   14 RM4F   59   16 1
QSO:  3750 PH 2023-10-28 0042 GM2T   59   14 IW1FRU 59   15 0
