START-OF-LOG: 3.0
CONTEST: ARRL-10-GHZ
LOCATION: SJV
CALLSIGN: K6ML
CATEGORY-BAND: ALL
OPERATORS: K6ML
CATEGORY-ASSISTED: ASSISTED
CATEGORY-MODE: MIXED
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-STATION: ROVER
CATEGORY-TIME: 24-HOURS
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY: CLASSIC
CLUB: THE 50MHZ AND UP GROUP OF NORTHERN CALIFORNIA
CREATED-BY: N9JIM 0.41
HQ-CATEGORY: 10 GHz and Up
QSO: 10G PH 2023-08-19 1558 K6ML CM97IO K6MG CM89PK
QSO: 24G PH 2023-08-19 1601 K6ML CM97IO K6MG CM89PK
QSO: 10G PH 2023-08-19 1607 K6ML CM97IO W6QIW DM04MS
QSO: 10G PH 2023-08-19 1608 K6ML CM97IO N6VI DM04MS
QSO: 10G PH 2023-08-19 1628 K6ML CM97IO KB6BA CM97EI
QSO: 10G PH 2023-08-19 1639 K6ML CM97IO AG6KG CM97KH
QSO: 10G PH 2023-08-19 1640 K6ML CM97IO N9JIM CM97KH
QSO: 24G PH 2023-08-19 1644 K6ML CM97IO N9JIM CM97KH
QSO: 10G PH 2023-08-19 1647 K6ML CM97IO AA6XA CM88WJ
QSO: 10G PH 2023-08-19 1745 K6ML CM97KM K6MG CM89PK
QSO: 10G PH 2023-08-19 1753 K6ML CM97KM AA6XA CM88WJ
QSO: 10G PH 2023-08-19 1805 K6ML CM97KM W6QIW DM04MS
QSO: 10G PH 2023-08-19 1805 K6ML CM97KM N6VI DM04MS
QSO: 10G PH 2023-08-19 1815 K6ML CM97KM KB6BA CM97EI
QSO: 10G PH 2023-08-19 1820 K6ML CM97KM N9JIM CM97KH
QSO: 10G PH 2023-08-19 1821 K6ML CM97KM AG6KG CM97KH
QSO: 24G PH 2023-08-19 1824 K6ML CM97KM N9JIM CM97KH
QSO: 10G PH 2023-08-19 1921 K6ML CM97ML K6MG CM89PK
QSO: 10G PH 2023-08-19 1928 K6ML CM97ML AA6XA CM88WJ
QSO: 10G PH 2023-08-19 1934 K6ML CM97ML KB6BA CM97EI
QSO: 10G PH 2023-08-19 1942 K6ML CM97ML W6QIW DM04MS
QSO: 10G PH 2023-08-19 2046 K6ML CM97OH N6VI DM04MS
QSO: 10G PH 2023-08-19 2047 K6ML CM97OH W6QIW DM04MS
QSO: 10G PH 2023-08-19 2053 K6ML CM97OH AA6XA CM88WJ
QSO: 10G PH 2023-08-19 2100 K6ML CM97OH K6MG CM89PK
QSO: 10G PH 2023-08-19 2115 K6ML CM97OH KB6BA CM97EI
QSO: 10G PH 2023-08-19 2123 K6ML CM97OH N9JIM CM97MB
QSO: 10G PH 2023-08-19 2126 K6ML CM97OH AG6KG CM97MB
QSO: 10G CW 2023-08-19 2204 K6ML CM97OH WA6CDR DM13CO
QSO: 10G CW 2023-08-19 2231 K6ML CM97OH W6DL DM13CO
QSO: 10G PH 2023-08-19 2329 K6ML CM97RG W6QIW DM04MS
QSO: 10G PH 2023-08-19 2330 K6ML CM97RG N6VI DM04MS
QSO: 10G PH 2023-08-19 2334 K6ML CM97RG WA6QDP CM97AV
QSO: 10G PH 2023-08-19 2343 K6ML CM97RG N6CA DM03UT
QSO: 10G PH 2023-08-19 2352 K6ML CM97RG WA6CDR DM13CO
QSO: 10G PH 2023-08-19 2353 K6ML CM97RG W6DL DM13CO
QSO: 10G PH 2023-08-19 2354 K6ML CM97RG KK6MXP DM13CO
QSO: 10G PH 2023-08-20 0007 K6ML CM97RG N6VHF DM13AP
QSO: 10G PH 2023-08-20 0048 K6ML CM97TE W6QIW DM04MS
QSO: 10G PH 2023-08-20 0058 K6ML CM97TE K6MG CM89PK
QSO: 10G PH 2023-08-20 0107 K6ML CM97TE WA6QDP CM97AV
