START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: EA3BES
CLUB: 
CONTEST: EA-CNCW
CATEGORY: SINGLE-OP ALL QRP
CLAIMED-SCORE: 10686
OPERATORS: 
NAME: José Alonso Tobeña
SOAPBOX: Tras un ar de años de sequia, otro año más, QTH nuevo,equipo nuevo y antena de
SOAPBOX: compromiso. Y los compañeros de la CW que no han fallado. Me he divertido muchisimo y
SOAPBOX: como siempre en QRP. Este concurso engancha de lo mas
SOAPBOX: Unafectuoso 73
SOAPBOX: Josep.
SOAPBOX: EA3BES
CREATED-BY: WinURECon 3.12 (Windows 7)
QSO:  7000 CW 2020-07-18 1401 EA3BES        599 B      EA1G          599 O
QSO:  7000 CW 2020-07-18 1403 EA3BES        599 B      EA1WX         599 O
QSO:  7000 CW 2020-07-18 1407 EA3BES        599 B      EA4OR         599 M
QSO:  7000 CW 2020-07-18 1409 EA3BES        599 B      EA7A          599 SE
QSO:  7000 CW 2020-07-18 1410 EA3BES        599 B      EA4GOY        599 TO
QSO:  7000 CW 2020-07-18 1412 EA3BES        599 B      EA2KV         599 Z
QSO:  7000 CW 2020-07-18 1415 EA3BES        599 B      EA1CIG        599 S
QSO:  7000 CW 2020-07-18 1418 EA3BES        599 B      EA4ADT        599 M
QSO:  7000 CW 2020-07-18 1420 EA3BES        599 B      EA2BNU        599 SS
QSO:  7000 CW 2020-07-18 1423 EA3BES        599 B      EA2RX         599 O
QSO: 14000 CW 2020-07-18 1430 EA3BES        599 B      EA4URE/HQ     599 HQ
QSO: 14000 CW 2020-07-18 1433 EA3BES        599 B      EA8BS         599 GC
QSO:  7000 CW 2020-07-18 1436 EA3BES        599 B      EF5U          599 A
QSO:  7000 CW 2020-07-18 1441 EA3BES        599 B      EA4S          599 CU
QSO:  7000 CW 2020-07-18 1446 EA3BES        599 B      EC4C          599 M
QSO:  7000 CW 2020-07-18 1449 EA3BES        599 B      EA5IAT        599 A
QSO:  7000 CW 2020-07-18 1452 EA3BES        599 B      EA5O          599 V
QSO:  7000 CW 2020-07-18 1455 EA3BES        599 B      EA3PP         599 B
QSO:  7000 CW 2020-07-18 1458 EA3BES        599 B      EA5OT         599 V
QSO:  7000 CW 2020-07-18 1502 EA3BES        599 B      EA5DCL        599 MU
QSO:  7000 CW 2020-07-18 1503 EA3BES        599 B      EA5GX         599 CS
QSO:  7000 CW 2020-07-18 1505 EA3BES        599 B      EA4R          599 TO
QSO:  7000 CW 2020-07-18 1514 EA3BES        599 B      EA2IF         599 NA
QSO:  7000 CW 2020-07-18 1521 EA3BES        599 B      EA5JX         599 A
QSO:  7000 CW 2020-07-18 1523 EA3BES        599 B      EA7AFO        599 J
QSO: 14000 CW 2020-07-18 1529 EA3BES        599 B      EA8QP         599 TF
QSO:  7000 CW 2020-07-18 1533 EA3BES        599 B      EC5K          599 V
QSO:  7000 CW 2020-07-18 1534 EA3BES        599 B      EB7KA         599 AL
QSO:  7000 CW 2020-07-18 1539 EA3BES        599 B      EA5JU         599 MU
QSO:  7000 CW 2020-07-18 1540 EA3BES        599 B      EA1WH         599 S
QSO:  7000 CW 2020-07-18 1543 EA3BES        599 B      EC5A          599 V
QSO:  7000 CW 2020-07-18 1545 EA3BES        599 B      EA5FID        599 A
QSO:  7000 CW 2020-07-18 1551 EA3BES        599 B      EC7C          599 CA
QSO:  7000 CW 2020-07-18 1553 EA3BES        599 B      EB5A          599 A
QSO:  7000 CW 2020-07-18 1555 EA3BES        599 B      EA4AE         599 TO
QSO:  7000 CW 2020-07-18 1558 EA3BES        599 B      EA5DD         599 A
QSO:  7000 CW 2020-07-18 1603 EA3BES        599 B      EA5EC         599 A
QSO:  7000 CW 2020-07-18 1608 EA3BES        599 B      ED7N          599 CO
QSO:  7000 CW 2020-07-18 1613 EA3BES        599 B      EA1X          599 BU
QSO:  7000 CW 2020-07-18 1617 EA3BES        599 B      EA7KD         599 SE
QSO:  7000 CW 2020-07-18 1621 EA3BES        599 B      EA4MZ         599 M
QSO: 14000 CW 2020-07-18 1626 EA3BES        599 B      EC7C          599 CA
QSO: 14000 CW 2020-07-18 1629 EA3BES        599 B      EA7A          599 SE
QSO: 14000 CW 2020-07-18 1631 EA3BES        599 B      EA3PW         599 B
QSO: 14000 CW 2020-07-18 1632 EA3BES        599 B      EA7Q          599 H
QSO:  7000 CW 2020-07-18 1638 EA3BES        599 B      EA5HRP        599 V
QSO:  7000 CW 2020-07-18 1640 EA3BES        599 B      EA5EY         599 A
QSO:  7000 CW 2020-07-18 1642 EA3BES        599 B      EA5PA         599 MU
QSO:  7000 CW 2020-07-18 1643 EA3BES        599 B      EA1MX         599 S
QSO:  7000 CW 2020-07-18 1646 EA3BES        599 B      EA2KX         599 Z
QSO:  7000 CW 2020-07-18 1648 EA3BES        599 B      EC7AMY        599 SE
QSO:  7000 CW 2020-07-18 1655 EA3BES        599 B      EA7T          599 AL
QSO:  7000 CW 2020-07-18 1657 EA3BES        599 B      EA4IE         599 TO
QSO:  7000 CW 2020-07-18 1658 EA3BES        599 B      EA3X          599 B
QSO:  7000 CW 2020-07-18 1705 EA3BES        599 B      EA3IN         599 B
QSO:  7000 CW 2020-07-18 1707 EA3BES        599 B      EA4URQ        599 CR
QSO: 14000 CW 2020-07-18 1717 EA3BES        599 B      EC7K          599 CA
QSO: 14000 CW 2020-07-18 1721 EA3BES        599 B      EA7ZA         599 CA
QSO: 14000 CW 2020-07-18 1723 EA3BES        599 B      EA1X          599 BU
QSO: 14000 CW 2020-07-18 1730 EA3BES        599 B      EC4C          599 M
QSO: 14000 CW 2020-07-18 1736 EA3BES        599 B      EC7D          599 MA
QSO:  7000 CW 2020-07-18 1739 EA3BES        599 B      EA2DK         599 SS
QSO:  7000 CW 2020-07-18 1741 EA3BES        599 B      EA5HT         599 V
QSO:  7000 CW 2020-07-18 1743 EA3BES        599 B      EA5L          599 V
QSO:  7000 CW 2020-07-18 1750 EA3BES        599 B      EA1FBU        599 PO
QSO:  7000 CW 2020-07-18 1754 EA3BES        599 B      EA5WU         599 CS
QSO:  7000 CW 2020-07-18 1758 EA3BES        599 B      EA1AUR        599 SA
QSO:  7000 CW 2020-07-18 1759 EA3BES        599 B      EA2GP         599 TE
QSO:  7000 CW 2020-07-18 1800 EA3BES        599 B      EA2DDE        599 NA
QSO:  7000 CW 2020-07-18 1801 EA3BES        599 B      EA7OY         599 J
QSO:  7000 CW 2020-07-18 1807 EA3BES        599 B      EA4URE        599 HQ
QSO:  7000 CW 2020-07-18 1809 EA3BES        599 B      EA5BY         599 A
QSO:  7000 CW 2020-07-18 1810 EA3BES        599 B      EA7TG         599 GR
QSO:  7000 CW 2020-07-18 1811 EA3BES        599 B      EA8QP         599 TF
QSO:  7000 CW 2020-07-18 1814 EA3BES        599 B      EA7BT         599 AL
QSO:  7000 CW 2020-07-18 1818 EA3BES        599 B      EA7GV         599 GR
QSO:  7000 CW 2020-07-18 1818 EA3BES        599 B      EA5JA         599 MU
QSO:  7000 CW 2020-07-18 1820 EA3BES        599 B      EA4ER         599 M
QSO:  7000 CW 2020-07-18 1825 EA3BES        599 B      EB5F          599 A
QSO:  7000 CW 2020-07-18 1833 EA3BES        599 B      EA5WA         599 V
QSO:  3500 CW 2020-07-18 1850 EA3BES        599 B      EA5O          599 V
QSO:  3500 CW 2020-07-18 1852 EA3BES        599 B      EA3CUU        599 GI
QSO:  7000 CW 2020-07-18 1856 EA3BES        599 B      EA2NN         599 CC
QSO: 14000 CW 2020-07-18 1907 EA3BES        599 B      EA8SR         599 TF
QSO: 14000 CW 2020-07-18 1908 EA3BES        599 B      EA5YU         599 MU
QSO: 14000 CW 2020-07-18 1910 EA3BES        599 B      EA7GV         599 GR
QSO: 14000 CW 2020-07-18 1911 EA3BES        599 B      EA7JQA        599 J
QSO: 14000 CW 2020-07-18 1913 EA3BES        599 B      EA1R          599 O
QSO:  7000 CW 2020-07-18 1918 EA3BES        599 B      EC5Y          599 V
QSO:  7000 CW 2020-07-18 1924 EA3BES        599 B      EA8A          599 TF
QSO:  7000 CW 2020-07-18 1926 EA3BES        599 B      EA5LN         599 V
QSO:  7000 CW 2020-07-18 1935 EA3BES        599 B      EA1AOC        599 AV
QSO:  7000 CW 2020-07-18 1939 EA3BES        599 B      EA1MXE        599 S
QSO:  7000 CW 2020-07-18 1941 EA3BES        599 B      EA5XA         599 V
QSO:  7000 CW 2020-07-18 1943 EA3BES        599 B      EC7CT         599 MA
QSO:  7000 CW 2020-07-18 1945 EA3BES        599 B      EA1ARW        599 BU
QSO:  7000 CW 2020-07-18 1948 EA3BES        599 B      EA4KG         599 M
QSO:  7000 CW 2020-07-18 1958 EA3BES        599 B      EA6ZS         599 IB
QSO:  7000 CW 2020-07-18 2001 EA3BES        599 B      EA4ATG        599 CU
QSO:  3500 CW 2020-07-18 2009 EA3BES        599 B      EA3O          599 B
QSO:  3500 CW 2020-07-18 2013 EA3BES        599 B      EA4DB         599 LE
