START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: REF-SSB
CALLSIGN: YO9XC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: YO9XC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for REF-SSB REF/2014/SSB.
QSO: 14000 PH 2014-02-22 0930 YO9XC         59 001 F1ISM         59 60
QSO: 14000 PH 2014-02-22 0942 YO9XC         59 002 F5MUX         59 29
QSO: 14000 PH 2014-02-22 0947 YO9XC         59 003 F6AXN         59 28
QSO: 14000 PH 2014-02-22 1012 YO9XC         59 004 F6FTB         59 21
QSO: 14122 PH 2014-02-22 1023 YO9XC         59 006 F6DEV         59 09
QSO: 14142 PH 2014-02-22 1025 YO9XC         59 007 TM1O          59 83
QSO: 14000 PH 2014-02-22 1029 YO9XC         59 008 F6APE         59 49
QSO: 14149 PH 2014-02-22 1031 YO9XC         59 009 TM5OTT        59 37
QSO: 14147 PH 2014-02-22 1032 YO9XC         59 010 F6KNB         59 33
QSO: 14000 PH 2014-02-22 1033 YO9XC         59 011 F6KUJ         59 34
QSO: 14000 PH 2014-02-22 1034 YO9XC         59 012 F6KQV         59 67
QSO: 14168 PH 2014-02-22 1037 YO9XC         59 013 F8KHF         59 03
QSO: 14000 PH 2014-02-22 1041 YO9XC         59 014 F5CDE         59 78
QSO: 14000 PH 2014-02-22 1051 YO9XC         59 015 F6CZQ         59 73
QSO: 14000 PH 2014-02-22 1100 YO9XC         59 016 F1OKV         59 19
QSO: 14000 PH 2014-02-22 1101 YO9XC         59 017 F5LZN         59 84
QSO: 14000 PH 2014-02-22 1104 YO9XC         59 019 TM5CD         59 59
QSO: 14000 PH 2014-02-22 1105 YO9XC         59 018 F5BBD         59 02
QSO: 14000 PH 2014-02-22 1107 YO9XC         59 020 F4FUL         59 74
QSO: 14000 PH 2014-02-22 1109 YO9XC         59 021 F5LBL         59 30
QSO: 14133 PH 2014-02-22 1113 YO9XC         59 022 F5KEQ         59 44
QSO: 14137 PH 2014-02-22 1117 YO9XC         59 023 TK5KP         59 2A
QSO: 14130 PH 2014-02-22 1130 YO9XC         59 025 F4FCC         59 83
QSO: 14000 PH 2014-02-22 1131 YO9XC         59 026 F6KGL         59 93
QSO: 14000 PH 2014-02-22 1132 YO9XC         59 034 F5KDJ         59 45
QSO: 14168 PH 2014-02-22 1200 YO9XC         59 028 F4GGQ         59 29
QSO: 14151 PH 2014-02-22 1203 YO9XC         59 029 F5KOK         59 86
QSO: 14000 PH 2014-02-22 1207 YO9XC         59 031 F6GPT         59 33
QSO: 14155 PH 2014-02-22 1207 YO9XC         59 030 F5KDK/P       59 24
QSO: 14000 PH 2014-02-22 1211 YO9XC         59 032 F4KJB/P       59 79
QSO: 14000 PH 2014-02-22 1500 YO9XC         59 033 TM5PU         59 81
QSO: 14000 PH 2014-02-22 1505 YO9XC         59 034 F4GTT         59 02
