START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: F6KPQ/P
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: F6KPQ/P
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2009.
QSO:  7000 PH 2009-03-28 0639 F6KPQ/P       59 LY3V          59 225
QSO:  7067 PH 2009-03-28 0645 F6KPQ/P       59 0003 DJ6KS         59 0201
QSO:  7200 PH 2009-03-28 0650 F6KPQ/P       59 005 IN3ZNR        59 221
QSO:  7000 PH 2009-03-28 0652 F6KPQ/P       59 006 DK5DQ         59 0175
QSO:  7000 PH 2009-03-28 0703 F6KPQ/P       59 008 HB9WDY        59 006
QSO: 14226 PH 2009-03-28 0705 F6KPQ/P       59 010 UU7J          59 0239
QSO: 14000 PH 2009-03-28 0708 F6KPQ/P       59 10 UP2L          59 577
QSO: 14243 PH 2009-03-28 0711 F6KPQ/P       59 12 RM3Q          59 443
QSO: 14273 PH 2009-03-28 0719 F6KPQ/P       59 13 UA9CLB        59 579
QSO: 14289 PH 2009-03-28 0722 F6KPQ/P       59 14 S50K          59 180
QSO: 14218 PH 2009-03-28 0726 F6KPQ/P       59 015 EF8R          59 0129
QSO: 14000 PH 2009-03-28 0739 F6KPQ/P       59 017 UR4Z          59 464
QSO: 14000 PH 2009-03-28 0747 F6KPQ/P       59 19 EX2X          59 285
QSO: 14346 PH 2009-03-28 0747 F6KPQ/P       59 0020 RA9USU/3      59 0115
QSO: 14195 PH 2009-03-28 0749 F6KPQ/P       59 021 CQ3T          59 0058
QSO: 14000 PH 2009-03-28 0750 F6KPQ/P       59 022 RZ9UI         59 486
QSO: 14329 PH 2009-03-28 0758 F6KPQ/P       59 024 P33W          59 0552
QSO: 14320 PH 2009-03-28 0801 F6KPQ/P       59 0026 RA3CM         59 0126
QSO: 14200 PH 2009-03-28 0802 F6KPQ/P       59 0027 YT2T          59 0191
QSO: 14308 PH 2009-03-28 0804 F6KPQ/P       59 0028 OH4A          59 0621
QSO: 14296 PH 2009-03-28 0807 F6KPQ/P       59 29 RO4W          59 499
QSO: 14280 PH 2009-03-28 0811 F6KPQ/P       59 031 SX1L          59 0206
QSO: 14000 PH 2009-03-28 0824 F6KPQ/P       59 33 4Z4OQ         59 451
QSO: 14268 PH 2009-03-28 0824 F6KPQ/P       59 032 ED8R          59 0098
QSO: 14000 PH 2009-03-28 0829 F6KPQ/P       59 35 YT1BB         59 202
QSO: 14246 PH 2009-03-28 0830 F6KPQ/P       59 036 RA1AGL        59 0264
QSO: 14000 PH 2009-03-28 0832 F6KPQ/P       59 0037 RN3ZC         59 0471
QSO: 14000 PH 2009-03-28 0835 F6KPQ/P       59 038 YU/HB9EDB     59 0128
QSO: 14211 PH 2009-03-28 0839 F6KPQ/P       59 040 4O3A          59 0102
QSO: 14214 PH 2009-03-28 0839 F6KPQ/P       59 39 RC9O          59 828
QSO: 14253 PH 2009-03-28 0840 F6KPQ/P       59 041 YT0A          59 0158
QSO: 14195 PH 2009-03-28 0845 F6KPQ/P       59 0044 EO5M          59 0972
QSO: 14176 PH 2009-03-28 0848 F6KPQ/P       59 046 CT9M          59 0184
QSO: 14175 PH 2009-03-28 0850 F6KPQ/P       59 0047 RG9A          59 0660
QSO: 14167 PH 2009-03-28 0853 F6KPQ/P       59 048 OG8X          59 0363
QSO: 14155 PH 2009-03-28 0855 F6KPQ/P       59 049 RK3DZB        59 0214
QSO: 14142 PH 2009-03-28 0858 F6KPQ/P       59 052 YL2BJ         59 0176
QSO: 14148 PH 2009-03-28 0858 F6KPQ/P       59 51 5B4AII        59 837
QSO: 14152 PH 2009-03-28 0859 F6KPQ/P       59 0050 OH4MDY        59 0228
QSO: 14133 PH 2009-03-28 0901 F6KPQ/P       59 054 ES5RW         59 0244
QSO: 14000 PH 2009-03-28 0902 F6KPQ/P       59 55 E74AA         59 98
QSO: 14200 PH 2009-03-28 0903 F6KPQ/P       59 0056 UR7R          59 0060
QSO: 14121 PH 2009-03-28 0904 F6KPQ/P       59 057 OG1M          59 0156
QSO: 14000 PH 2009-03-28 0910 F6KPQ/P       59 059 ES7GM         59 31
QSO: 14324 PH 2009-03-28 0915 F6KPQ/P       59 60 UP0L          59 912
QSO: 14307 PH 2009-03-28 0916 F6KPQ/P       59 62 UR6F          59 456
QSO: 14301 PH 2009-03-28 0917 F6KPQ/P       59 63 S50A          59 321
QSO: 14288 PH 2009-03-28 0918 F6KPQ/P       59 064 E7DX          59 0241
QSO: 14283 PH 2009-03-28 0920 F6KPQ/P       59 065 SF6D          59 0022
QSO: 14000 PH 2009-03-28 0924 F6KPQ/P       59 66 LY7A          59 164
QSO: 14000 PH 2009-03-28 0924 F6KPQ/P       59 67 UP2L          59 959
QSO: 14000 PH 2009-03-28 0927 F6KPQ/P       59 68 E73ESP        59 365
QSO: 14000 PH 2009-03-28 0937 F6KPQ/P       59 070 YO2MHD        59 003
QSO: 14000 PH 2009-03-28 0938 F6KPQ/P       59 071 UA1CEI        59 241
QSO: 14000 PH 2009-03-28 0940 F6KPQ/P       59 074 IZ0PSC        59 068
QSO: 14200 PH 2009-03-28 0940 F6KPQ/P       59 0075 SP4LVK        59 0093
QSO: 14200 PH 2009-03-28 0943 F6KPQ/P       59 0076 YT2ACA        59 0030
QSO: 14000 PH 2009-03-28 0944 F6KPQ/P       59 77 S56P          59 75
QSO: 14000 PH 2009-03-28 0950 F6KPQ/P       59 78 LY5W          59 78
QSO: 14000 PH 2009-03-28 0952 F6KPQ/P       59 079 U1BD          59 120
QSO: 14000 PH 2009-03-28 0958 F6KPQ/P       59 80 RU9CK         59 716
QSO: 14304 PH 2009-03-28 1000 F6KPQ/P       59 081 LY9Y          59 0237
QSO: 14234 PH 2009-03-28 1001 F6KPQ/P       59 082 9A5W          59 399
QSO: 14219 PH 2009-03-28 1002 F6KPQ/P       59 0083 YR1C          59 0202
QSO: 14200 PH 2009-03-28 1003 F6KPQ/P       59 84 UZ4E          59 811
QSO: 14282 PH 2009-03-28 1005 F6KPQ/P       59 0085 6W1SJ         59 0332
