START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: PA3N
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PA3N
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2016.
QSO: 21172 PH 2016-03-26 1329 PA3N          59 R6FDD         59 224
QSO: 21000 PH 2016-03-26 1330 PA3N          59 0003 VA3SWG        59 0292
QSO: 21179 PH 2016-03-26 1330 PA3N          59 2 XL3T          59 894
QSO: 21172 PH 2016-03-26 1331 PA3N          59 004 VE3EJ         59 1124
QSO: 21185 PH 2016-03-26 1333 PA3N          59 005 P3F           59 1530
QSO: 21192 PH 2016-03-26 1334 PA3N          59 006 A73A          59 0763
QSO: 21200 PH 2016-03-26 1336 PA3N          59 7 KQ2M          59 896
QSO: 21215 PH 2016-03-26 1340 PA3N          59 0009 KU2M          59 0382
QSO: 21217 PH 2016-03-26 1341 PA3N          59 010 K3UA          59 0363
QSO: 21225 PH 2016-03-26 1342 PA3N          59 0011 KC3R          59 0752
QSO: 21272 PH 2016-03-26 1342 PA3N          59 008 K3RA          59 0410
QSO: 21000 PH 2016-03-26 1344 PA3N          59 12 K3ZO          59 850
QSO: 21245 PH 2016-03-26 1351 PA3N          59 0013 N3XF          59 0299
QSO: 14111 PH 2016-03-26 1359 PA3N          59 014 YL2CI         59 542
QSO: 14113 PH 2016-03-26 1359 PA3N          59 015 EW8AX         59 265
QSO: 14116 PH 2016-03-26 1400 PA3N          59 0016 Z61DX         59 0107
QSO: 14119 PH 2016-03-26 1401 PA3N          59 0017 UG3G          59 0046
QSO: 14120 PH 2016-03-26 1404 PA3N          59 018 OH2KM         59 0182
QSO: 14122 PH 2016-03-26 1405 PA3N          59 19 UP0L          59 1542
QSO: 14131 PH 2016-03-26 1407 PA3N          59 0021 YL5X          59 0050
QSO: 14138 PH 2016-03-26 1409 PA3N          59 0023 OH8NW         59 0683
QSO: 14153 PH 2016-03-26 1415 PA3N          59 0025 WX3B          59 0508
QSO: 14161 PH 2016-03-26 1418 PA3N          59 026 ES1LS         59 0311
QSO: 14000 PH 2016-03-26 1420 PA3N          59 027 KV0Q          59 690
QSO: 14172 PH 2016-03-26 1421 PA3N          59 0028 SP8N          59 0177
QSO: 14181 PH 2016-03-26 1423 PA3N          59 029 EW6W          59 941
QSO: 14187 PH 2016-03-26 1425 PA3N          59 0030 VE4VT         59 0806
QSO: 14188 PH 2016-03-26 1426 PA3N          59 0031 UR2Y          59 0485
QSO: 21140 PH 2016-03-27 1057 PA3N          59 032 BA7JA         59 1386
QSO: 21000 PH 2016-03-27 1058 PA3N          59 033 UY1IP         59 658
QSO: 21148 PH 2016-03-27 1059 PA3N          59 034 UA6LCN        59 631
QSO: 21157 PH 2016-03-27 1103 PA3N          59 0035 AT5R          59 0580
QSO: 21160 PH 2016-03-27 1105 PA3N          59 36 RZ8U          59 556
QSO: 21164 PH 2016-03-27 1105 PA3N          59 37 UF4M          59 240
QSO: 21166 PH 2016-03-27 1106 PA3N          59 38 RG5A          59 330
QSO: 21177 PH 2016-03-27 1109 PA3N          59 40 RV9UP         59 1136
QSO: 21189 PH 2016-03-27 1111 PA3N          59 0041 UA9XL         59 1144
QSO: 21188 PH 2016-03-27 1112 PA3N          59 42 R3ZV          59 542
QSO: 21194 PH 2016-03-27 1113 PA3N          59 0044 4X7R          59 3153
QSO: 21211 PH 2016-03-27 1123 PA3N          59 046 JR5YCE        59 1563
QSO: 21212 PH 2016-03-27 1124 PA3N          59 047 RZ9U          59 1184
QSO: 21222 PH 2016-03-27 1132 PA3N          59 0048 BY5CD         59 1839
QSO: 21233 PH 2016-03-27 1139 PA3N          59 50 RA9V          59 1254
QSO: 21000 PH 2016-03-27 1140 PA3N          59 051 US4IQS        59 089
QSO: 21000 PH 2016-03-27 1142 PA3N          59 0049 TC4A          59 0805
QSO: 21257 PH 2016-03-27 1142 PA3N          59 52 UA1ORK        59 648
QSO: 21261 PH 2016-03-27 1144 PA3N          59 0053 VU2RCT        59 0634
QSO: 21272 PH 2016-03-27 1145 PA3N          59 54 JH4UYB        59 2078
QSO: 14107 PH 2016-03-27 1915 PA3N          59 0055 CT1BXT        59 1077
QSO: 14109 PH 2016-03-27 1916 PA3N          59 0056 PJ4DX         59 3384
QSO: 14111 PH 2016-03-27 1917 PA3N          59 0057 VE9CB         59 3458
QSO: 14117 PH 2016-03-27 1918 PA3N          59 58 8P5A          59 5655
QSO: 14133 PH 2016-03-27 1919 PA3N          59 59 R7CA          59 870
QSO: 14000 PH 2016-03-27 1925 PA3N          59 61 7R7W          59 576
QSO: 14143 PH 2016-03-27 1930 PA3N          59 0062 VE3MIS        59 0639
QSO: 14147 PH 2016-03-27 1931 PA3N          59 0063 CR6P          59 2334
QSO: 14153 PH 2016-03-27 1933 PA3N          59 064 PS2T          59 1577
QSO: 14155 PH 2016-03-27 1935 PA3N          59 65 KQ2M          59 4006
QSO: 14157 PH 2016-03-27 1937 PA3N          59 066 PX5E          59 3903
QSO: 14168 PH 2016-03-27 1942 PA3N          59 067 K1LZ          59 3948
QSO: 14173 PH 2016-03-27 1946 PA3N          59 0069 KB3WD         59 2977
QSO: 14172 PH 2016-03-27 1948 PA3N          59 068 PX2B          59 1848
QSO: 14179 PH 2016-03-27 1950 PA3N          59 0070 LZ3ZZ         59 0918
QSO: 14180 PH 2016-03-27 1953 PA3N          59 071 PP5XX         59 1053
QSO: 14182 PH 2016-03-27 1953 PA3N          59 0072 NZ3D          59 2810
QSO: 14000 PH 2016-03-27 1954 PA3N          59 073 IT9SSI        59 774
QSO: 14134 PH 2016-03-27 1956 PA3N          59 0060 VO1DJT        59 0240
QSO: 14188 PH 2016-03-27 1956 PA3N          59 074 EC5EA         59 557
QSO: 14200 PH 2016-03-27 1958 PA3N          59 75 LZ73TRC       59 380
QSO: 14201 PH 2016-03-27 1959 PA3N          59 0076 PD9Z          59 1071
QSO: 14208 PH 2016-03-27 2000 PA3N          59 077 RV3FF         59 2420
QSO: 14270 PH 2016-03-27 2002 PA3N          59 0076 D41CV         59 3976
QSO: 14219 PH 2016-03-27 2003 PA3N          59 0079 NR3X          59 2593
QSO: 14221 PH 2016-03-27 2004 PA3N          59 0080 N3KS          59 3719
QSO: 14222 PH 2016-03-27 2006 PA3N          59 0081 VA2EN         59 1151
QSO: 14237 PH 2016-03-27 2008 PA3N          59 082 TC2MK         59 2054
QSO: 14238 PH 2016-03-27 2009 PA3N          59 0083 EC1DD         59 1062
QSO: 14238 PH 2016-03-27 2010 PA3N          59 0084 YO3APJ        59 0717
QSO: 14247 PH 2016-03-27 2014 PA3N          59 0085 OG73X         59 2217
QSO: 14266 PH 2016-03-27 2019 PA3N          59 86 WU3A          59 3104
QSO: 14000 PH 2016-03-27 2020 PA3N          59 087 9A77A         59 4149
QSO: 14277 PH 2016-03-27 2021 PA3N          59 0088 IO2X          59 3105
QSO: 14289 PH 2016-03-27 2039 PA3N          59 089 ED1R          59 3361
QSO: 14319 PH 2016-03-27 2043 PA3N          59 0091 SJ2W          59 3932
QSO: 14325 PH 2016-03-27 2044 PA3N          59 0092 4U1WB         59 0221
QSO: 14333 PH 2016-03-27 2045 PA3N          59 0093 NQ2F          59 1772
QSO: 14336 PH 2016-03-27 2046 PA3N          59 094 CQ9T          59 1595
QSO: 14342 PH 2016-03-27 2050 PA3N          59 0095 HC0E          59 0873
QSO:  7074 PH 2016-03-27 2056 PA3N          59 97 EU5C          59 930
QSO:  7076 PH 2016-03-27 2056 PA3N          59 096 RU1A          59 5222
QSO:  7000 PH 2016-03-27 2057 PA3N          59 098 M0MCV         59 0830
QSO:  7068 PH 2016-03-27 2059 PA3N          59 099 DR7B          59 1070
QSO:  7065 PH 2016-03-27 2100 PA3N          59 100 ES5TV         59 4539
QSO:  7000 PH 2016-03-27 2102 PA3N          59 101 SP7SEW        59 607
QSO:  7060 PH 2016-03-27 2103 PA3N          59 0102 EV1R          59 2029
QSO:  7055 PH 2016-03-27 2105 PA3N          59 104 RC7KY         59 917
QSO:  7000 PH 2016-03-27 2106 PA3N          59 105 IZ1DGG        59 645
QSO:  7050 PH 2016-03-27 2106 PA3N          59 106 LY2RJ         59 218
QSO:  7046 PH 2016-03-27 2108 PA3N          59 0107 LY5W          59 1125
QSO:  7072 PH 2016-03-27 2111 PA3N          59 108 OZ5E          59 1639
QSO:  7082 PH 2016-03-27 2112 PA3N          59 109 OM7RU         59 1628
QSO:  7085 PH 2016-03-27 2113 PA3N          59 110 RC9O          59 3474
QSO:  7090 PH 2016-03-27 2116 PA3N          59 0111 S55T          59 2913
QSO:  7091 PH 2016-03-27 2117 PA3N          59 0112 M0OSH         59 0361
QSO:  7092 PH 2016-03-27 2118 PA3N          59 0113 S51F          59 1698
QSO:  7095 PH 2016-03-27 2119 PA3N          59 0114 OG3MS         59 1750
QSO:  7103 PH 2016-03-27 2121 PA3N          59 115 CN2AA         59 2507
QSO:  7107 PH 2016-03-27 2122 PA3N          59 0116 OK1WCF        59 1586
QSO:  7111 PH 2016-03-27 2122 PA3N          59 117 EC2DX         59 2334
QSO:  7115 PH 2016-03-27 2124 PA3N          59 0118 TM7F          59 2600
QSO:  7117 PH 2016-03-27 2124 PA3N          59 119 HG8R          59 2073
QSO:  7121 PH 2016-03-27 2125 PA3N          59 120 S51CK         59 1392
QSO:  7000 PH 2016-03-27 2128 PA3N          59 122 IR2R          59 1678
QSO:  7128 PH 2016-03-27 2129 PA3N          59 121 9A6A          59 0970
QSO:  7137 PH 2016-03-27 2129 PA3N          59 0123 LZ5K          59 1396
QSO:  7146 PH 2016-03-27 2134 PA3N          59 0125 SN1D          59 2287
QSO:  7147 PH 2016-03-27 2135 PA3N          59 126 OK4K          59 1145
QSO:  7149 PH 2016-03-27 2136 PA3N          59 0127 S50G          59 4304
QSO:  7157 PH 2016-03-27 2139 PA3N          59 128 S56X          59 1798
QSO:  7000 PH 2016-03-27 2140 PA3N          59 129 IK1HZZ        59 567
QSO:  7161 PH 2016-03-27 2141 PA3N          59 130 LZ9W          59 2015
QSO:  7000 PH 2016-03-27 2142 PA3N          59 131 IK3UNA/1      59 1470
END-OF-LOG:
