START-OF-LOG: 3.0
LOCATION: ON
CALLSIGN: VE3BK
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: TWO
CLAIMED-SCORE: 1211760
CLUB: CONTEST CLUB ONTARIO
CONTEST: CQ-WPX-SSB
CREATED-BY: WriteLog V10.84D
NAME: Rick Danby VE3BK
OPERATORS: VE3BK  VE3WBT
SOAPBOX: First time Jack and I tried this contest as a M2.
SOAPBOX: Only 2 of us but we each ran our own radios and had
SOAPBOX: fun doing it.  We probably would have done a lot
SOAPBOX: better with more help but we wanted to do it on our
SOAPBOX: own and operate as much as we could.  This was
SOAPBOX: a great fun contest, we really enjoyed ourselves
SOAPBOX: and was surprised at just how well we did with
SOAPBOX: super band conditions.  Thanks to all that worked
SOAPBOX: us at VE3BK and hopefully we will do it again next
SOAPBOX: year.              73  Rick  VE3BK
SOAPBOX:
QSO: 21306 PH 2011-03-26 0000 VE3BK          59    1 NH6P           59 01    0
QSO: 14206 PH 2011-03-26 0002 VE3BK          59    2 TF3CW          59 009   1
QSO: 14181 PH 2011-03-26 0004 VE3BK          59    3 NN5Z           59 007   1
QSO: 21312 PH 2011-03-26 0004 VE3BK          59    4 LP1H           59 21    0
QSO: 14220 PH 2011-03-26 0005 VE3BK          59    4 HK1X           59 017   1
QSO: 14193 PH 2011-03-26 0006 VE3BK          59    5 P40M           59 032   1
QSO: 21331 PH 2011-03-26 0006 VE3BK          59    6 HK3JJH         59 06    0
QSO: 14255 PH 2011-03-26 0008 VE3BK          59    7 8P5A           59 40    1
QSO: 21335 PH 2011-03-26 0013 VE3BK          59   10 KW7D           59 13    0
QSO: 21326 PH 2011-03-26 0016 VE3BK          59   11 LW6DG          59 28    0
QSO: 14183 PH 2011-03-26 0017 VE3BK          59   11 WC6H           59 055   1
QSO: 14198 PH 2011-03-26 0020 VE3BK          59   12 PV2P           59 50    1
QSO: 21287 PH 2011-03-26 0020 VE3BK          59   13 XR5N           59 79    0
QSO: 14165 PH 2011-03-26 0020 VE3BK          59   14 VQ51V          59 077   1
QSO: 21242 PH 2011-03-26 0021 VE3BK          59   14 LU5FF          59 47    0
QSO: 14151 PH 2011-03-26 0021 VE3BK          59   15 KU1CW          59 042   1
