START-OF-LOG: 3.0
CALLSIGN: WA3YTI
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 784
CLUB: None
LOCATION: SDG
CREATED-BY: Manually
NAME: Martin Leblang
OPERATORS: WA3YTI
SOAPBOX: Frequencies entered are only to show the band of operation.
QSO: 14200 PH 2011-03-27 0040 WA3YTI 59 1 D4C 59 1596
QSO: 14200 PH 2011-03-27 0045 WA3YTI 59 2 EB8AH 59 976
QSO: 14200 PH 2011-03-27 0052 WA3YTI 59 3 VC6X 59 1400
QSO: 14200 PH 2011-03-27 0100 WA3YTI 59 4 WM5R 59 2031
QSO: 14200 PH 2011-03-27 0110 WA3YTI 59 5 NB7V 59 555
QSO: 14200 PH 2011-03-27 0111 WA3YTI 59 6 KK9A 59 1771
QSO: 21300 PH 2011-03-27 0131 WA3YTI 59 7 N0MA 59 420
QSO: 21300 PH 2011-03-27 0142 WA3YTI 59 8 VK4KW 59 1206
QSO: 21300 PH 2011-03-27 0147 WA3YTI 59 9 JQ1QKK 59 335
QSO: 21300 PH 2011-03-27 0149 WA3YTI 59 10 RA0QD 59 357
QSO: 28500 PH 2011-03-27 0154 WA3YTI 59 11 LU1HF 59 2010
QSO: 28500 PH 2011-03-27 0156 WA3YTI 59 12 AH7NA 59 986
QSO: 28500 PH 2011-03-27 0158 WA3YTI 59 13 LR2F 59 1638
QSO: 28500 PH 2011-03-27 0200 WA3YTI 59 14 ZL3IQ 59 313
QSO: 28500 PH 2011-03-27 0204 WA3YTI 59 15 LU7MSE 59 134
QSO: 28500 PH 2011-03-27 0208 WA3YTI 59 16 AY5F 59 1835
QSO: 28500 PH 2011-03-27 0210 WA3YTI 59 17 LP1H 59 1843
QSO: 21300 PH 2011-03-27 0229 WA3YTI 59 18 KH6MB 59 500
QSO: 21300 PH 2011-03-27 0232 WA3YTI 59 19 UB0A 59 849
QSO: 21300 PH 2011-03-27 0240 WA3YTI 59 20 PQ5B 59 2363
QSO: 14200 PH 2011-03-27 0242 WA3YTI 59 21 VE6PR 59 1059
QSO: 14200 PH 2011-03-27 0310 WA3YTI 59 22 KH7X 59 3221
END-OF-LOG:
