START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.44.0
CONTEST: REF-SSB
LOCATION: 19
GRID-LOCATOR: JN05RE
CALLSIGN: F8BPN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 255806
OPERATORS: 
NAME: MAURICETTE MARTIN
CERTIFICATE: NO
SOAPBOX: 
RIG: TS-850 + PA +  inv V 40-80m + X7 20-15-10m
QSO:  3775 PH 2024-02-24 0913 F8BPN         59  19     F8KOU/P       59  23    
QSO:  3775 PH 2024-02-24 0915 F8BPN         59  19     F1RHS         59  82    
QSO:  3775 PH 2024-02-24 0916 F8BPN         59  19     F8GQO         59  81    
QSO:  3775 PH 2024-02-24 0917 F8BPN         59  19     F1RYW         59  32    
QSO:  3775 PH 2024-02-24 0921 F8BPN         59  19     F4EYL         59  46    
QSO:  7080 PH 2024-02-24 0925 F8BPN         59  19     F6GDO         59  73    
QSO:  7080 PH 2024-02-24 0928 F8BPN         59  19     F4ENJ/P       59  15    
QSO:  7080 PH 2024-02-24 0929 F8BPN         59  19     F4EQA         59  34    
QSO:  7080 PH 2024-02-24 0930 F8BPN         59  19     TM5G          59  35    
QSO:  7080 PH 2024-02-24 0931 F8BPN         59  19     F4EPM         59  54    
QSO:  7080 PH 2024-02-24 0931 F8BPN         59  19     F5KSE         59  31    
QSO:  7080 PH 2024-02-24 0933 F8BPN         59  19     F5OAM         59  47    
QSO:  7080 PH 2024-02-24 0935 F8BPN         59  19     F6KJX         59  41    
QSO:  7080 PH 2024-02-24 0935 F8BPN         59  19     TM6Y          59  46    
QSO:  7080 PH 2024-02-24 0937 F8BPN         59  19     F6APE         59  49    
QSO:  7080 PH 2024-02-24 0939 F8BPN         59  19     F6AXN         59  28    
QSO:  7080 PH 2024-02-24 0940 F8BPN         59  19     F4HYT         59  19    
QSO:  7080 PH 2024-02-24 0941 F8BPN         59  19     TM5W          59  63    
QSO:  7080 PH 2024-02-24 0943 F8BPN         59  19     F4KKV         59  53    
QSO:  7080 PH 2024-02-24 0944 F8BPN         59  19     F5KIA         59  45    
QSO:  7080 PH 2024-02-24 0944 F8BPN         59  19     TM1HR         59  68    
QSO:  7080 PH 2024-02-24 0947 F8BPN         59  19     F4FOM         59  11    
QSO:  7080 PH 2024-02-24 0948 F8BPN         59  19     F8CHM         59  37    
QSO:  7080 PH 2024-02-24 0949 F8BPN         59  19     F1RYW         59  32    
QSO:  7080 PH 2024-02-24 0950 F8BPN         59  19     F6KNB         59  33    
QSO:  7080 PH 2024-02-24 0952 F8BPN         59  19     F4CTJ         59  76    
QSO:  7080 PH 2024-02-24 0954 F8BPN         59  19     F4IWO         59  01    
QSO:  7080 PH 2024-02-24 0956 F8BPN         59  19     F6DZU         59  40    
QSO:  7080 PH 2024-02-24 0956 F8BPN         59  19     F8EMH         59  54    
QSO:  7080 PH 2024-02-24 0957 F8BPN         59  19     F6HQP         59  73    
QSO:  7080 PH 2024-02-24 0958 F8BPN         59  19     IK3UNA        59  137   
QSO: 14200 PH 2024-02-24 1002 F8BPN         59  19     EA8TH         59  075   
QSO: 14200 PH 2024-02-24 1003 F8BPN         59  19     2E0INN        59  040   
QSO: 14200 PH 2024-02-24 1004 F8BPN         59  19     TK4TH         59  2B    
QSO: 14200 PH 2024-02-24 1006 F8BPN         59  19     F5NKX         59  50    
QSO: 14200 PH 2024-02-24 1007 F8BPN         59  19     F8ADY         59  87    
QSO: 14200 PH 2024-02-24 1009 F8BPN         59  19     HA5PHK        59  156   
QSO: 14200 PH 2024-02-24 1010 F8BPN         59  19     FY5KE         59  FY    
QSO: 14200 PH 2024-02-24 1013 F8BPN         59  19     ON4KGA        59  020   
QSO: 14200 PH 2024-02-24 1014 F8BPN         59  19     PA2VS         59  022   
QSO: 14200 PH 2024-02-24 1015 F8BPN         59  19     DC5CH         59  046   
QSO: 14200 PH 2024-02-24 1016 F8BPN         59  19     F5IRP         59  85    
QSO: 14200 PH 2024-02-24 1016 F8BPN         59  19     R6DIR         59  020   
QSO: 14200 PH 2024-02-24 1017 F8BPN         59  19     DF6QB         59  006   
QSO: 14200 PH 2024-02-24 1019 F8BPN         59  19     ON3GEO        59  028   
QSO: 14200 PH 2024-02-24 1021 F8BPN         59  19     F5TVG         59  77    
QSO: 14200 PH 2024-02-24 1022 F8BPN         59  19     F6BBO         59  78    
QSO: 14200 PH 2024-02-24 1022 F8BPN         59  19     DL1ROT        59  053   
QSO: 14200 PH 2024-02-24 1023 F8BPN         59  19     MM7EKP/QRP    59  016   
QSO: 14200 PH 2024-02-24 1024 F8BPN         59  19     F1OKV         59  19    
QSO: 14200 PH 2024-02-24 1025 F8BPN         59  19     I6KYL         59  006   
QSO: 14200 PH 2024-02-24 1026 F8BPN         59  19     TK4KN         59  2A    
QSO: 14200 PH 2024-02-24 1029 F8BPN         59  19     F6REF         59  00    
QSO: 14200 PH 2024-02-24 1032 F8BPN         59  19     FM8QR         59  FM    
QSO: 14200 PH 2024-02-24 1034 F8BPN         59  19     F6GOE         59  19    
QSO: 14200 PH 2024-02-24 1035 F8BPN         59  19     UR2Y          59  054   
QSO: 14200 PH 2024-02-24 1037 F8BPN         59  19     DD0VE         59  031   
QSO: 14200 PH 2024-02-24 1037 F8BPN         59  19     ON6EC         59  008   
QSO: 14200 PH 2024-02-24 1037 F8BPN         59  19     F4AIF         59  01    
QSO: 14200 PH 2024-02-24 1038 F8BPN         59  19     2E0KKH        59  001   
QSO: 14200 PH 2024-02-24 1039 F8BPN         59  19     G4IBN         59  001   
QSO: 14200 PH 2024-02-24 1039 F8BPN         59  19     F1MCO         59  19    
QSO: 14200 PH 2024-02-24 1040 F8BPN         59  19     PA6Q          59  008   
QSO: 14200 PH 2024-02-24 1040 F8BPN         59  19     OE8MGK        59  015   
QSO: 14200 PH 2024-02-24 1041 F8BPN         59  19     DB8APG        59  001   
QSO: 14200 PH 2024-02-24 1041 F8BPN         59  19     PH4E          59  004   
QSO: 14200 PH 2024-02-24 1042 F8BPN         59  19     DL1IJU        59  028   
