START-OF-LOG: 2.0
REF-SECTION: 76
CALLSIGN: F1CBC
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE:  378138
CONTEST: REF-SSB
CREATED-BY: WINREF-HF V9.7.18
NAME: PHILIPPE CHAMBRELAN
OFFTIME: 2024-02-24 2103 2024-02-25 0354
OFFTIME: 2024-02-24 1120 2024-02-24 1602
OFFTIME: 2024-02-25 1210 2024-02-25 1600
OFFTIME: 2024-02-24 1805 2024-02-24 2028
OFFTIME: 2024-02-24 0600 2024-02-24 0756
OFFTIME: 2024-02-25 1620 2024-02-25 1800
RIG: FT847
RIG: FT847
RIG: DIPOLES / G5RV
RIG: 80
SOAPBOX: Quelques heures de trafic pour donner des points aux copains, 
SOAPBOX: QRV toute bandes 80W +Dipole / G5RV . 
SOAPBOX: Merci pour les QSO et au plaisir de se retrouver sur les bandes plus hautes en Juin.
QSO: 3500  PH 2024-02-24 0756 F1CBC         59  76     F5KAR         59  76   
QSO: 3500  PH 2024-02-24 0758 F1CBC         59  76     F4KIR         59  35   
QSO: 3500  PH 2024-02-24 0759 F1CBC         59  76     F4HEC         59  37   
QSO: 3500  PH 2024-02-24 0800 F1CBC         59  76     F8FUA         59  46   
QSO: 3500  PH 2024-02-24 0802 F1CBC         59  76     F6KLO         59  19   
QSO: 3500  PH 2024-02-24 0803 F1CBC         59  76     F8KHN         59  76   
QSO: 3500  PH 2024-02-24 0805 F1CBC         59  76     F6REF         59  00   
QSO: 3500  PH 2024-02-24 0807 F1CBC         59  76     F4DNK         59  76   
QSO: 3500  PH 2024-02-24 0809 F1CBC         59  76     F5SOI         59  24   
QSO: 3500  PH 2024-02-24 0810 F1CBC         59  76     F5NIB         59  36   
QSO: 3500  PH 2024-02-24 0811 F1CBC         59  76     F4DVO         59  45   
QSO: 3500  PH 2024-02-24 0812 F1CBC         59  76     F6BSZ         59  14   
QSO: 3500  PH 2024-02-24 0816 F1CBC         59  76     F4DPW         59  95   
QSO: 3500  PH 2024-02-24 0819 F1CBC         59  76     F4JJS         59  02   
QSO: 3500  PH 2024-02-24 0820 F1CBC         59  76     F5PHW         59  56   
QSO: 3500  PH 2024-02-24 0821 F1CBC         59  76     F5KKD         59  93   
QSO: 3500  PH 2024-02-24 0822 F1CBC         59  76     F4IIQ         59  23   
QSO: 3500  PH 2024-02-24 0824 F1CBC         59  76     F4JUQ         59  28   
QSO: 3500  PH 2024-02-24 0825 F1CBC         59  76     F1RHS         59  82   
QSO: 7000  PH 2024-02-24 0835 F1CBC         59  76     TM5TT         59  41   
QSO: 7000  PH 2024-02-24 0836 F1CBC         59  76     TM72G         59  72   
QSO: 7000  PH 2024-02-24 0837 F1CBC         59  76     F5IRP         59  85   
QSO: 7000  PH 2024-02-24 0838 F1CBC         59  76     PB6W          59  005  
QSO: 7000  PH 2024-02-24 0838 F1CBC         59  76     F5KCK         59  78   
QSO: 7000  PH 2024-02-24 0840 F1CBC         59  76     F4IWO         59  01   
QSO: 7000  PH 2024-02-24 0841 F1CBC         59  76     F4CWN         59  32   
QSO: 7000  PH 2024-02-24 0842 F1CBC         59  76     F6APE         59  49   
QSO: 7000  PH 2024-02-24 0843 F1CBC         59  76     F6FJE         59  77   
QSO: 7000  PH 2024-02-24 0845 F1CBC         59  76     F6KLO         59  19   
