START-OF-LOG: 2.0
REF-SECTION: 28
CALLSIGN: F1GFK
CATEGORY: SINGLE-OP ALL HIGH
CLAIMED-SCORE: 32604
CONTEST: REF-SSB
CREATED-BY: LIBRE-OFFICE-CALC
NAME: JEAN-LUC SUCHAIL
         -----debut----- ------fin------
OFFTIME: date      heure date      heure 
OFFTIME: yyyy-mm-dd hhmm yyyy-mm-dd hhmm
OFFTIME: 2024-02-24 1842 2024-02-24 1948
OFFTIME: 2024-02-24 2045 2024-02-25 0740
OFFTIME: 2024-02-25 1150 2024-02-25 1310

RIG: IC7300 SDR TRANSCEIVER
RIG: LK550 AMPLIFIER
RIG: MULTIDIPOLE 80-40-20 AND MATCHBOX DU3000TD FOR 15-10
RIG: POWER 300W MAX

SOAPBOX: ORAGE VIOLENT SAMEDI APRES MIDI SUR GOMMERVILLE 28
SOAPBOX: 3 EOLIENNES QRT DEPUIS
SOAPBOX: ARRET TEMPORAIRE DE LA STATION SAFETY FIRST
SOAPBOX: MAX TX POWER 300W LINEARITE DE L EMISSION AVANT TOUT
SOAPBOX: MERCI A TOUTES ET A TOUS - JEAN-LUC F1GFK

QSO:  3799 PH 2024-02-24 0708 F1GFK         59  28     F6IIT         59  86
QSO:  3797 PH 2024-02-24 0710 F1GFK         59  28     F6KEH         59  34
QSO:  3793 PH 2024-02-24 0713 F1GFK         59  28     F4KJK         59  08
QSO:  3790 PH 2024-02-24 0714 F1GFK         59  28     F4DVO         59  45
QSO:  3784 PH 2024-02-24 0716 F1GFK         59  28     F4JUQ         59  28
QSO:  3780 PH 2024-02-24 0721 F1GFK         59  28     TM50KRK       59  78
QSO:  3775 PH 2024-02-24 0722 F1GFK         59  28     F5NKX         59  50
QSO:  3773 PH 2024-02-24 0725 F1GFK         59  28     TM1HR         59  68
QSO:  3768 PH 2024-02-24 0727 F1GFK         59  28     F6KJX         59  41
QSO:  3763 PH 2024-02-24 0729 F1GFK         59  28     F5MNC         59  41
QSO:  3757 PH 2024-02-24 0731 F1GFK         59  28     F6KMX         59  94
QSO:  3754 PH 2024-02-24 0733 F1GFK         59  28     F4ENJ/P       59  15
QSO:  3750 PH 2024-02-24 0735 F1GFK         59  28     F5ASD         59  77
QSO:  3748 PH 2024-02-24 0737 F1GFK         59  28     F8TMG         59  32
QSO:  3741 PH 2024-02-24 0740 F1GFK         59  28     TM5TT         59  41
QSO:  3738 PH 2024-02-24 0742 F1GFK         59  28     F8KCF         59  74
QSO:  3735 PH 2024-02-24 0744 F1GFK         59  28     F6KFI         59  72
QSO:  3727 PH 2024-02-24 0747 F1GFK         59  28     F6KOP         59  77
QSO:  3724 PH 2024-02-24 0750 F1GFK         59  28     F8IDR         59  81
QSO:  3721 PH 2024-02-24 0754 F1GFK         59  28     F8GQO         59  81
QSO:  3718 PH 2024-02-24 0756 F1GFK         59  28     F4HYT         59  19
QSO:  3713 PH 2024-02-24 0757 F1GFK         59  28     F5PHW         59  56
QSO:  3695 PH 2024-02-24 0805 F1GFK         59  28     F4DNK         59  76
QSO:  3690 PH 2024-02-24 0810 F1GFK         59  28     F6BSZ         59  14
QSO:  3684 PH 2024-02-24 0815 F1GFK         59  28     F5KAR         59  76
QSO:  3682 PH 2024-02-24 0820 F1GFK         59  28     F4JJS         59  02
QSO:  3680 PH 2024-02-24 0821 F1GFK         59  28     F6REF         59  00
QSO:  3676 PH 2024-02-24 0824 F1GFK         59  28     F5KIA         59  45
QSO:  3665 PH 2024-02-24 0829 F1GFK         59  28     F6CQU         59  19
QSO:  3650 PH 2024-02-24 0832 F1GFK         59  28     F6KJS         59  71
QSO:  3647 PH 2024-02-24 0834 F1GFK         59  28     F1NZC         59  53
QSO:  3643 PH 2024-02-24 0836 F1GFK         59  28     F1RHS         59  82
QSO:  3637 PH 2024-02-24 0839 F1GFK         59  28     F6FTB         59  21
QSO:  3623 PH 2024-02-24 0843 F1GFK         59  28     F5AUZ         59  87
QSO:  3610 PH 2024-02-24 0846 F1GFK         59  28     F6GOE         59  19
QSO:  3612 PH 2024-02-24 0848 F1GFK         59  28     F5PSS         59  19
QSO:  3789 PH 2024-02-24 0850 F1GFK         59  28     TM87C         59  87
QSO:  3734 PH 2024-02-24 0856 F1GFK         59  28     F8KOU/P       59  23
QSO:  3712 PH 2024-02-24 0901 F1GFK         59  28     F6FWQ         59  86
QSO:  3705 PH 2024-02-24 0905 F1GFK         59  28     F4HGF         59  89
QSO:  3670 PH 2024-02-24 0908 F1GFK         59  28     F6KFV         59  78
QSO:  7062 PH 2024-02-24 0914 F1GFK         59  28     F5NKX         59  50
QSO:  7066 PH 2024-02-24 0920 F1GFK         59  28     F6GCT         59  77
QSO:  7070 PH 2024-02-24 0924 F1GFK         59  28     F4KNL         59  89
QSO:  7072 PH 2024-02-24 0926 F1GFK         59  28     F6KLO         59  19
QSO:  7129 PH 2024-02-24 0939 F1GFK         59  28     F4HYT         59  19
QSO:  7137 PH 2024-02-24 0941 F1GFK         59  28     F4KKV         59  53
QSO:  7145 PH 2024-02-24 0945 F1GFK         59  28     TM1HR         59  68
QSO:  7158 PH 2024-02-24 0949 F1GFK         59  28     F8CHM         59  37
QSO:  7170 PH 2024-02-24 0954 F1GFK         59  28     F4CTJ         59  76
QSO: 14126 PH 2024-02-24 1000 F1GFK         59  28     F4CWN         59  32
QSO: 14145 PH 2024-02-24 1007 F1GFK         59  28     CT2GSN        59 034
QSO: 14194 PH 2024-02-24 1013 F1GFK         59  28     TK4TH         59  2B
QSO:  7189 PH 2024-02-24 1135 F1GFK         59  28     F6KMX         59  94
