START-OF-LOG: 2.0
CATEGORY: Portable, multi operator, low power, assisted
CONTEST: FD SSB
SPECIFIC: C25
CREATED-BY: Win-Test 4.24.0, modified by DXHF upload.
CALLSIGN: DK0ED/P
CLAIMED-SCORE: 376839
OPERATORS: DC2CL DF4MAA DG5LW DG8MG DJ8OG DK5MB DK6SP DL1MAJ DL3BY DL5MAE
CLUB: Bavarian Contest Club
QSO: 14320 PH 2017-09-02 1301 DK0ED/P       59  0001   A61M          59  040
QSO: 14269 PH 2017-09-02 1302 DK0ED/P       59  0002   R9PA          59  012
QSO: 14248 PH 2017-09-02 1303 DK0ED/P       59  0003   JE6RPM        59  051
QSO: 14243 PH 2017-09-02 1304 DK0ED/P       59  0004   RZ9JZ         59  057
QSO: 14242 PH 2017-09-02 1304 DK0ED/P       59  0005   RU9I          59  042
QSO: 14234 PH 2017-09-02 1306 DK0ED/P       59  0006   OH1VR         59  001
QSO: 14310 PH 2017-09-02 1307 DK0ED/P       59  0007   SV1PMQ/P      59  002
QSO: 14288 PH 2017-09-02 1308 DK0ED/P       59  0008   EW6F          59  004
QSO: 14252 PH 2017-09-02 1309 DK0ED/P       59  0009   LA4C/P        59  008
QSO: 14245 PH 2017-09-02 1310 DK0ED/P       59  0010   EI1E/P        59  009
QSO:  7112 PH 2017-09-02 1313 DK0ED/P       59  0011   DL0IL/P       59  012
QSO:  7137 PH 2017-09-02 1314 DK0ED/P       59  0012   DL0LA/P       59  020
QSO:  7143 PH 2017-09-02 1315 DK0ED/P       59  0013   DF0HO/P       59  006
QSO:  7154 PH 2017-09-02 1316 DK0ED/P       59  0014   DL0VE/P       59  007
QSO:  7170 PH 2017-09-02 1317 DK0ED/P       59  0015   PI4ZI/P       59  028
QSO:  7172 PH 2017-09-02 1317 DK0ED/P       59  0016   DF5A/P        59  006
QSO:  7174 PH 2017-09-02 1318 DK0ED/P       59  0017   OZ2AR/P       59  027
QSO:  7145 PH 2017-09-02 1319 DK0ED/P       59  0018   OP6A/P        59  024
QSO: 21252 PH 2017-09-02 1320 DK0ED/P       59  0019   DR1K/P        59  003
QSO: 28444 PH 2017-09-02 1321 DK0ED/P       59  0020   DK0MN/P       59  013
QSO: 28444 PH 2017-09-02 1321 DK0ED/P       59  0021   DR1K/P        59  004
QSO: 21220 PH 2017-09-02 1324 DK0ED/P       59  0022   HZ1FS/P       59  018
QSO: 28444 PH 2017-09-02 1325 DK0ED/P       59  0023   HZ1FS/P       59  020
QSO: 14344 PH 2017-09-02 1326 DK0ED/P       59  0024   HZ1FS/P       59  021
QSO: 21268 PH 2017-09-02 1330 DK0ED/P       59  0025   LA4TTA/P      59  002
QSO: 21230 PH 2017-09-02 1331 DK0ED/P       59  0026   FR8QN         59  007
QSO: 14212 PH 2017-09-02 1338 DK0ED/P       59  0027   UN0LM         59  047
QSO: 14277 PH 2017-09-02 1339 DK0ED/P       59  0028   LA1K/P        59  075
QSO: 14280 PH 2017-09-02 1340 DK0ED/P       59  0029   JT5DX         59  061
QSO:  7156 PH 2017-09-02 1341 DK0ED/P       59  0030   SN7X/P        59  033
QSO:  7153 PH 2017-09-02 1342 DK0ED/P       59  0031   ON4RCN/P      59  012
QSO: 28400 PH 2017-09-02 1342 DK0ED/P       59  0032   DL0LA/P       59  041
QSO: 21210 PH 2017-09-02 1342 DK0ED/P       59  0033   DL0LA/P       59  042
QSO: 14272 PH 2017-09-02 1343 DK0ED/P       59  0034   DL0LA/P       59  043
QSO:  3640 PH 2017-09-02 1343 DK0ED/P       59  0035   DL0LA/P       59  044
QSO:  7153 PH 2017-09-02 1343 DK0ED/P       59  0036   PI4VAD/P      59  013
QSO:  7153 PH 2017-09-02 1344 DK0ED/P       59  0037   PE1LTY        59  002
QSO:  7153 PH 2017-09-02 1345 DK0ED/P       59  0038   DL0EO/P       59  013
QSO:  7153 PH 2017-09-02 1345 DK0ED/P       59  0039   PI4ASV/P      59  017
QSO:  7153 PH 2017-09-02 1346 DK0ED/P       59  0040   ON4LDL        59  006
QSO:  7153 PH 2017-09-02 1346 DK0ED/P       59  0041   G2DX/P        59  030
QSO:  7153 PH 2017-09-02 1347 DK0ED/P       59  0042   DL0BR/P       59  011
QSO:  7153 PH 2017-09-02 1348 DK0ED/P       59  0043   LA1ARG/P      59  008
QSO:  7153 PH 2017-09-02 1348 DK0ED/P       59  0044   ON6LL/P       59  020
QSO:  7153 PH 2017-09-02 1349 DK0ED/P       59  0045   PA1DI/QRP/P   59  001
QSO:  7153 PH 2017-09-02 1349 DK0ED/P       59  0046   DL0FA/P       59  009
QSO:  7153 PH 2017-09-02 1352 DK0ED/P       59  0047   DK0RU/P       59  021
QSO:  7153 PH 2017-09-02 1352 DK0ED/P       59  0048   ON4RAT/P      59  039
QSO:  7153 PH 2017-09-02 1352 DK0ED/P       59  0049   DL1RNN        59  003
QSO: 21236 PH 2017-09-02 1354 DK0ED/P       59  0050   LA1FDG/P      59  011
QSO: 21288 PH 2017-09-02 1357 DK0ED/P       59  0051   DL0FU/P       59  014
QSO: 28444 PH 2017-09-02 1358 DK0ED/P       59  0052   DL0FU/P       59  015
QSO: 14344 PH 2017-09-02 1358 DK0ED/P       59  0053   DL0FU/P       59  016
QSO: 14292 PH 2017-09-02 1401 DK0ED/P       59  0054   LZ100SK       59  000
QSO: 14183 PH 2017-09-02 1404 DK0ED/P       59  0055   EI1C/P        59  069
QSO: 14189 PH 2017-09-02 1406 DK0ED/P       59  0056   7Z1IS         59  055
QSO: 14283 PH 2017-09-02 1413 DK0ED/P       59  0057   OH5B/P        59  070
QSO:  7153 PH 2017-09-02 1416 DK0ED/P       59  0058   OZ5LKO/P      59  026
QSO:  7153 PH 2017-09-02 1417 DK0ED/P       59  0059   DP4L/P        59  023
QSO:  7153 PH 2017-09-02 1417 DK0ED/P       59  0060   DF0WZ/P       59  065
QSO:  7153 PH 2017-09-02 1419 DK0ED/P       59  0061   LA2AB/P       59  010
QSO:  7153 PH 2017-09-02 1420 DK0ED/P       59  0062   OZ8SOR/P      59  007
QSO:  7153 PH 2017-09-02 1420 DK0ED/P       59  0063   PA3JQD        59  007
QSO:  7153 PH 2017-09-02 1421 DK0ED/P       59  0064   ON6CK/P       59  092
QSO:  7153 PH 2017-09-02 1422 DK0ED/P       59  0065   DL0SWG/P      59  020
QSO:  7153 PH 2017-09-02 1423 DK0ED/P       59  0066   DL0CS/P       59  090
QSO: 14155 PH 2017-09-02 1426 DK0ED/P       59  0067   JH4UYB        59  014
QSO: 14176 PH 2017-09-02 1429 DK0ED/P       59  0068   7Z1SJ         59  004
QSO: 14213 PH 2017-09-02 1430 DK0ED/P       59  0069   R3KBO/P       59  122
QSO: 14216 PH 2017-09-02 1431 DK0ED/P       59  0070   LZ1ZF         59  195
QSO: 14191 PH 2017-09-02 1435 DK0ED/P       59  0071   EI7GY/P       59  041
QSO:  7182 PH 2017-09-02 1439 DK0ED/P       59  0072   PA2GRU        59  006
QSO:  7182 PH 2017-09-02 1440 DK0ED/P       59  0073   5P8Y/P        59  024
QSO:  7182 PH 2017-09-02 1440 DK0ED/P       59  0074   G4FNL/P       59  126
QSO:  7182 PH 2017-09-02 1441 DK0ED/P       59  0075   DL7X          59  017
QSO:  7083 PH 2017-09-02 1444 DK0ED/P       59  0076   DF0TX/P       59  035
QSO:  7091 PH 2017-09-02 1445 DK0ED/P       59  0077   ON4RSX/P      59  059
QSO:  7097 PH 2017-09-02 1445 DK0ED/P       59  0078   ON6SI/P       59  043
QSO:  7104 PH 2017-09-02 1446 DK0ED/P       59  0079   OO6P/P        59  048
QSO:  7107 PH 2017-09-02 1446 DK0ED/P       59  0080   DK0HB/P       59  011
QSO:  7122 PH 2017-09-02 1447 DK0ED/P       59  0081   LX/OO7W       59  042
QSO:  7125 PH 2017-09-02 1448 DK0ED/P       59  0082   ON4IPR/P      59  041
QSO:  7128 PH 2017-09-02 1448 DK0ED/P       59  0083   DL0MSE/P      59  083
QSO:  7145 PH 2017-09-02 1450 DK0ED/P       59  0084   ON4PHI/P      59  023
QSO:  7151 PH 2017-09-02 1450 DK0ED/P       59  0085   DL0BUX/P      59  034
QSO:  7160 PH 2017-09-02 1451 DK0ED/P       59  0086   OR4D/P        59  029
QSO:  7163 PH 2017-09-02 1452 DK0ED/P       59  0087   ON6ARA/P      59  159
QSO:  7172 PH 2017-09-02 1453 DK0ED/P       59  0088   PI4AMF/P      59  047
QSO:  7174 PH 2017-09-02 1453 DK0ED/P       59  0089   DK0FL/P       59  022
QSO:  7177 PH 2017-09-02 1454 DK0ED/P       59  0090   DL0GC/P       59  100
QSO: 21232 PH 2017-09-02 1455 DK0ED/P       59  0091   PY5QW         59  000
QSO: 21270 PH 2017-09-02 1457 DK0ED/P       59  0092   CX8TC         53  001
QSO: 14257 PH 2017-09-02 1503 DK0ED/P       59  0093   UX3IT         59  041
QSO:  7075 PH 2017-09-02 1507 DK0ED/P       59  0094   ON7SA/P       59  073
QSO:  7097 PH 2017-09-02 1509 DK0ED/P       59  0095   OT2L/P        59  049
QSO:  7093 PH 2017-09-02 1510 DK0ED/P       59  0096   ON6WL/P       59  095
QSO:  7133 PH 2017-09-02 1512 DK0ED/P       59  0097   IQ0PG/P       59  059
QSO:  7168 PH 2017-09-02 1513 DK0ED/P       59  0098   DK0FRI/P      59  065
QSO:  7176 PH 2017-09-02 1515 DK0ED/P       59  0099   PI4OSS/P      59  034
QSO: 14237 PH 2017-09-02 1522 DK0ED/P       59  0100   RV9UP         59  055
QSO: 14229 PH 2017-09-02 1523 DK0ED/P       59  0101   RZ9U          59  045
QSO: 14266 PH 2017-09-02 1528 DK0ED/P       59  0102   UA3A/P        59  039
QSO: 14268 PH 2017-09-02 1529 DK0ED/P       59  0103   R9YU          59  055
QSO: 14271 PH 2017-09-02 1534 DK0ED/P       59  0104   4Z5LY         59  054
QSO: 14287 PH 2017-09-02 1535 DK0ED/P       59  0105   UA3VFS        59  050
QSO: 14210 PH 2017-09-02 1536 DK0ED/P       59  0106   ER3CT         59  046
