START-OF-LOG: 3.0
CATEGORY: Portable, multi operator, low power, non-assisted
CONTEST: FD SSB
SPECIFIC: I18
CALLSIGN: DK0FC/P
LOCATION: I18
CLAIMED-SCORE: 115752
CREATED-BY: UcxLog 7.53, modified by DXHF upload.
OPERATORS: DB1BAC DC4BA DF7BN DG1BM DG9BFP DK1IJ DL9BCP DM1JS DO1KF DO2IH
QSO: 28000 PH 2017-09-02 1300 DK0FC/P       59  001    DK0FRI/P      59  001
QSO: 14000 PH 2017-09-02 1312 DK0FC/P       59  002    G4SJM/P       59  011
QSO: 14000 PH 2017-09-02 1313 DK0FC/P       59  003    S52WW         59  011
QSO: 14000 PH 2017-09-02 1319 DK0FC/P       59  004    YL1S          59  034
QSO: 14000 PH 2017-09-02 1321 DK0FC/P       59  005    RN4SC         59  007
QSO: 14000 PH 2017-09-02 1322 DK0FC/P       59  006    G3Q           59  020
QSO: 14000 PH 2017-09-02 1325 DK0FC/P       59  007    G3ZTT/P       59  001
QSO: 14000 PH 2017-09-02 1325 DK0FC/P       59  008    G4HBI/P       59  004
QSO: 14000 PH 2017-09-02 1326 DK0FC/P       59  009    R3KBO/P       59  036
QSO: 14000 PH 2017-09-02 1328 DK0FC/P       59  010    LZ1ZF         59  053
QSO: 14000 PH 2017-09-02 1331 DK0FC/P       59  011    EI1E/P        59  025
QSO: 14000 PH 2017-09-02 1332 DK0FC/P       59  012    DK0FRI/P      59  018
QSO: 14000 PH 2017-09-02 1334 DK0FC/P       59  013    ON4TWS/P      59  034
QSO: 14000 PH 2017-09-02 1335 DK0FC/P       59  014    LA1K/P        59  068
QSO: 14000 PH 2017-09-02 1336 DK0FC/P       59  015    OH5B/P        59  024
QSO: 21000 PH 2017-09-02 1337 DK0FC/P       59  016    ES7GM         59  020
QSO: 14000 PH 2017-09-02 1343 DK0FC/P       59  017    M0RIA/P       59  011
QSO: 14000 PH 2017-09-02 1348 DK0FC/P       59  018    MI5JYK        59  018
QSO: 14000 PH 2017-09-02 1350 DK0FC/P       59  019    M3PIL         59  006
QSO: 14000 PH 2017-09-02 1352 DK0FC/P       59  020    UX3IT         59  018
QSO: 14000 PH 2017-09-02 1353 DK0FC/P       59  021    GM3PIL        59  008
QSO: 14000 PH 2017-09-02 1355 DK0FC/P       59  022    LZ5QZ/P       59  003
QSO: 14000 PH 2017-09-02 1400 DK0FC/P       59  023    EK0W/P        59  037
QSO: 14000 PH 2017-09-02 1401 DK0FC/P       59  024    RV3NJ/P       59  061
QSO: 14000 PH 2017-09-02 1403 DK0FC/P       59  025    EI1C/P        59  065
QSO: 14000 PH 2017-09-02 1407 DK0FC/P       59  026    A92AA         59  000
QSO: 14000 PH 2017-09-02 1408 DK0FC/P       59  027    SZ4KRD/P      59  026
QSO: 14000 PH 2017-09-02 1410 DK0FC/P       59  028    RU9I          59  000
QSO: 14000 PH 2017-09-02 1412 DK0FC/P       59  029    R9YU          59  000
QSO: 14000 PH 2017-09-02 1422 DK0FC/P       59  030    JE6RPM        59  000
QSO: 14000 PH 2017-09-02 1431 DK0FC/P       59  031    RV9UP         59  000
QSO: 14000 PH 2017-09-02 1439 DK0FC/P       59  032    CR6L          59  034
QSO: 14000 PH 2017-09-02 1440 DK0FC/P       59  033    RA3VX         59  028
QSO: 21000 PH 2017-09-02 1448 DK0FC/P       59  034    PY5QW         59  000
QSO: 21000 PH 2017-09-02 1450 DK0FC/P       59  035    4X6FR         59  000
QSO: 14000 PH 2017-09-02 1456 DK0FC/P       59  036    BG7BSE        59  000
QSO: 14000 PH 2017-09-02 1457 DK0FC/P       59  037    IZ7FLP        59  130
QSO: 14000 PH 2017-09-02 1459 DK0FC/P       59  038    LZ7M/P        59  113
QSO: 14000 PH 2017-09-02 1500 DK0FC/P       59  039    7Z1IS         59  000
