START-OF-LOG: 3.0
CATEGORY: Portable, multi operator, low power, non-assisted
CONTEST: FD SSB
SPECIFIC: I20
CALLSIGN: DL0VE/P
CLAIMED-SCORE: 87246
CREATED-BY: UcxLog 7.76, modified by DXHF upload.
OPERATORS: DD8BA DF1BT DG9BBC DG9BJA DH1BBH DH6MP DL5BCQ DL6YDF DL8BBC DO6PS
QSO:  7000 PH 2017-09-02 1302 DL0VE/P       59  001    ON7TR/P       59  006
QSO:  7000 PH 2017-09-02 1305 DL0VE/P       59  002    OZ2EDR/P      59  004
QSO:  7000 PH 2017-09-02 1309 DL0VE/P       59  003    DL0LA/P       59  007
QSO:  7000 PH 2017-09-02 1311 DL0VE/P       59  004    MX0SKR/P      59  010
QSO:  7000 PH 2017-09-02 1312 DL0VE/P       59  005    GM7A/P        59  005
QSO:  7000 PH 2017-09-02 1314 DL0VE/P       59  006    OP6A/P        59  017
QSO:  7000 PH 2017-09-02 1316 DL0VE/P       59  007    DK0ED/P       59  014
QSO:  7000 PH 2017-09-02 1317 DL0VE/P       59  008    DK9CL/P       59  006
QSO:  7000 PH 2017-09-02 1319 DL0VE/P       59  009    OE6XRG/P      59  004
QSO:  7000 PH 2017-09-02 1320 DL0VE/P       59  010    OZ7KJ/P       59  009
QSO: 14000 PH 2017-09-02 1323 DL0VE/P       59  011    YL1S          59  043
QSO: 14000 PH 2017-09-02 1325 DL0VE/P       59  012    SZ4KRD/P      59  004
QSO: 14000 PH 2017-09-02 1330 DL0VE/P       59  013    CR6L          59  011
QSO: 14000 PH 2017-09-02 1332 DL0VE/P       59  014    EI1C/P        59  017
QSO: 14000 PH 2017-09-02 1334 DL0VE/P       59  015    R3KBO/P       59  047
QSO: 14000 PH 2017-09-02 1337 DL0VE/P       59  016    LA1ARG/P      59  018
QSO: 14000 PH 2017-09-02 1344 DL0VE/P       59  017    OH5B/P        59  031
QSO: 14000 PH 2017-09-02 1345 DL0VE/P       59  018    RX9WN         59  059
QSO:  7000 PH 2017-09-02 1348 DL0VE/P       59  019    G4FNL/P       59  059
QSO:  7000 PH 2017-09-02 1350 DL0VE/P       59  020    OZ2AR/P       59  078
QSO:  7000 PH 2017-09-02 1358 DL0VE/P       59  021    LA1T/P        59  003
QSO:  7000 PH 2017-09-02 1400 DL0VE/P       59  022    SN7X/P        59  058
QSO:  7000 PH 2017-09-02 1400 DL0VE/P       59  023    DK0MN/P       59  057
QSO:  7000 PH 2017-09-02 1402 DL0VE/P       59  024    HB9BC/P       59  008
QSO:  7000 PH 2017-09-02 1402 DL0VE/P       59  025    DF0WA/P       59  034
QSO:  7000 PH 2017-09-02 1403 DL0VE/P       59  026    HB9FXL        59  003
QSO:  7000 PH 2017-09-02 1404 DL0VE/P       59  027    LA1FDG/P      59  013
QSO:  7000 PH 2017-09-02 1405 DL0VE/P       59  028    SQ5CZP/P      59  015
QSO:  7000 PH 2017-09-02 1405 DL0VE/P       59  029    HB9CIC        59  011
QSO:  7000 PH 2017-09-02 1407 DL0VE/P       59  030    2E0MRZ/P      59  004
QSO:  7000 PH 2017-09-02 1407 DL0VE/P       59  031    G3GIZ/P       59  018
QSO:  7000 PH 2017-09-02 1409 DL0VE/P       59  032    HB9BPX        59  015
QSO:  7000 PH 2017-09-02 1410 DL0VE/P       59  033    LA2VRA/P      59  009
QSO:  7000 PH 2017-09-02 1411 DL0VE/P       59  034    G3EFX/P       59  007
QSO:  7000 PH 2017-09-02 1418 DL0VE/P       59  035    DB0HY/P       59  021
QSO:  7000 PH 2017-09-02 1420 DL0VE/P       59  036    G2DX/P        59  039
QSO:  7000 PH 2017-09-02 1421 DL0VE/P       59  037    G3UES/P       59  028
QSO:  7000 PH 2017-09-02 1421 DL0VE/P       59  038    HB9JOE        59  019
QSO:  7000 PH 2017-09-02 1423 DL0VE/P       59  039    G6OI/P        59  021
QSO:  7000 PH 2017-09-02 1423 DL0VE/P       59  040    OE3TAS/P      59  002
QSO:  7000 PH 2017-09-02 1425 DL0VE/P       59  041    DK0OD/P       59  028
QSO:  7000 PH 2017-09-02 1425 DL0VE/P       59  042    OK2QA/P       59  032
QSO:  7000 PH 2017-09-02 1426 DL0VE/P       59  043    G4FBS/P       59  009
QSO:  7000 PH 2017-09-02 1428 DL0VE/P       59  044    G6YB/P        59  069
QSO:  7000 PH 2017-09-02 1429 DL0VE/P       59  045    HB9AG/P       59  029
QSO:  7000 PH 2017-09-02 1429 DL0VE/P       59  046    G2AA          59  002
