START-OF-LOG: 3.0
CREATED-BY: Win-Test 3.23.0
CONTEST: CQ-WW-CW
CALLSIGN: F5GGL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 5671
OPERATORS:
NAME: zabalza jeab louis
SOAPBOX: f5ggl pwr 100 w  ant loop my tks fer qso 73s
QSO:  7000 CW 2008-11-30 0856 F5GGL         599 14     PA3F          599 14     0
QSO: 14000 CW 2008-11-30 1046 F5GGL         599 14     YT1BB         599 15     0
QSO: 14000 CW 2008-11-30 1049 F5GGL         599 14     UZ2M          599 16     0
QSO: 14000 CW 2008-11-30 1055 F5GGL         599 14     YO4KCC        599 20     0
QSO: 14000 CW 2008-11-30 1104 F5GGL         599 14     C4N           599 20     0
QSO: 14000 CW 2008-11-30 1115 F5GGL         599 14     RV9CP         599 17     0
QSO: 14000 CW 2008-11-30 1120 F5GGL         599 14     OG5B          599 15     0
QSO: 14000 CW 2008-11-30 1436 F5GGL         599 14     KC1XX         599 08     0
QSO: 14000 CW 2008-11-30 1442 F5GGL         599 14     K1RX          599 05     0
QSO: 14000 CW 2008-11-30 1450 F5GGL         599 14     HG6N          599 15     0
QSO: 14000 CW 2008-11-30 1452 F5GGL         599 14     SK3W          599 14     0
QSO: 14000 CW 2008-11-30 1457 F5GGL         599 14     TA3KZ         599 20     0
QSO: 14000 CW 2008-11-30 1512 F5GGL         599 14     E73M          599 15     0
QSO: 14000 CW 2008-11-30 1514 F5GGL         599 14     4O3A          599 15     0
QSO: 14000 CW 2008-11-30 1516 F5GGL         599 14     OM8A          599 15     0
QSO: 14000 CW 2008-11-30 1527 F5GGL         599 14     K3ZO          599 05     0
QSO: 14000 CW 2008-11-30 1555 F5GGL         599 14     VE3TA         599 04     0
QSO: 14000 CW 2008-11-30 1601 F5GGL         599 14     W9RE          599 04     0
QSO: 14000 CW 2008-11-30 1611 F5GGL         599 14     CT3NT         599 33     0
QSO: 14000 CW 2008-11-30 1614 F5GGL         599 14     AN8RT         599 33     0
QSO: 14000 CW 2008-11-30 1616 F5GGL         599 14     KP2M          599 08     0
QSO: 14000 CW 2008-11-30 1618 F5GGL         599 14     PJ2T          599 09     0
QSO: 14000 CW 2008-11-30 1630 F5GGL         599 14     VY2ZM         599 05     0
QSO: 14000 CW 2008-11-30 1632 F5GGL         599 14     3X5A          599 35     0
QSO: 14000 CW 2008-11-30 1636 F5GGL         599 14     HD2M          599 10     0
QSO: 14000 CW 2008-11-30 1637 F5GGL         599 14     K3ZZ          599 05     0
QSO: 14000 CW 2008-11-30 1644 F5GGL         599 14     D4C           599 35     0
QSO: 14000 CW 2008-11-30 1645 F5GGL         599 14     VE1OP         599 05     0
QSO: 14000 CW 2008-11-30 1654 F5GGL         599 14     9G5Z          599 35     0
QSO:  7000 CW 2008-11-30 2112 F5GGL         599 14     YU6DX         599 15     0
QSO:  7000 CW 2008-11-30 2113 F5GGL         599 14     P3F           599 20     0
QSO:  7000 CW 2008-11-30 2116 F5GGL         599 14     CS2T          599 14     0
QSO:  7000 CW 2008-11-30 2118 F5GGL         599 14     N3AD          599 05     0
QSO:  7000 CW 2008-11-30 2120 F5GGL         599 14     VE3JM         599 04     0
QSO:  7000 CW 2008-11-30 2122 F5GGL         599 14     K3CR          599 05     0
QSO:  7000 CW 2008-11-30 2123 F5GGL         599 14     N2MF          599 05     0
QSO:  7000 CW 2008-11-30 2124 F5GGL         599 14     W1QK          599 05     0
QSO:  7000 CW 2008-11-30 2129 F5GGL         599 14     RK9AD         599 17     0
QSO:  7000 CW 2008-11-30 2131 F5GGL         599 14     UA9TQ         599 16     0
QSO:  7000 CW 2008-11-30 2147 F5GGL         599 14     V26K          599 08     0
QSO:  7000 CW 2008-11-30 2151 F5GGL         599 14     ER0WW         599 16     0
QSO:  7000 CW 2008-11-30 2158 F5GGL         599 14     RA9AP         599 17     0
QSO:  7000 CW 2008-11-30 2205 F5GGL         599 14     4O3A          599 15     0
QSO:  7000 CW 2008-11-30 2208 F5GGL         599 14     NY4A          599 05     0
QSO:  7000 CW 2008-11-30 2208 F5GGL         599 14     YM3A          599 20     0
END-OF-LOG:
