START-OF-LOG: 3.0
CALLSIGN: YB1ALL
CLUB:
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 359260
OPERATORS: YB1ALL
NAME: AGUS S. GUSTIAN (GUS)
CREATED-BY: N1MM Logger V8.0.0
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
QSO: 14010 CW 2008-11-29 0142 YB1ALL        599 28     RX6AM         599 16
QSO: 14010 CW 2008-11-29 0144 YB1ALL        599 28     JP1JFG        599 25
QSO: 14010 CW 2008-11-29 0145 YB1ALL        599 28     JJ1QLT        599 25
QSO: 14010 CW 2008-11-29 0149 YB1ALL        599 28     RW0LT         599 19
QSO: 14010 CW 2008-11-29 0152 YB1ALL        599 28     HL5UOG        599 25
QSO: 14010 CW 2008-11-29 0154 YB1ALL        599 28     BA4II         599 24
QSO: 14010 CW 2008-11-29 0154 YB1ALL        599 28     UN7JX         599 17
QSO: 14010 CW 2008-11-29 0155 YB1ALL        599 28     JK4KSD        599 25
QSO: 14010 CW 2008-11-29 0155 YB1ALL        599 28     JA5BQT        599 25
QSO: 14010 CW 2008-11-29 0156 YB1ALL        599 28     JH2HUQ        599 25
QSO: 14010 CW 2008-11-29 0157 YB1ALL        599 28     JE4MHL        599 25
QSO: 14010 CW 2008-11-29 0157 YB1ALL        599 28     JH7CUO        599 25
QSO: 14010 CW 2008-11-29 0158 YB1ALL        599 28     JH1FSF        599 25
QSO: 14010 CW 2008-11-29 0159 YB1ALL        599 28     UA3JM         599 16
QSO: 14010 CW 2008-11-29 0200 YB1ALL        599 28     JA5APU        599 25
QSO: 14010 CW 2008-11-29 0201 YB1ALL        599 28     JH1EVE        599 25
QSO: 14010 CW 2008-11-29 0202 YB1ALL        599 28     JL3SBE        599 25
QSO: 14010 CW 2008-11-29 0203 YB1ALL        599 28     JA1WUM        599 25
QSO: 14010 CW 2008-11-29 0203 YB1ALL        599 28     JI1VXB        599 25
QSO: 14010 CW 2008-11-29 0204 YB1ALL        599 28     OK5R          599 15
QSO: 14010 CW 2008-11-29 0206 YB1ALL        599 28     RN3QO         599 16
QSO: 14010 CW 2008-11-29 0207 YB1ALL        599 28     JA2LHG        599 25
QSO: 14010 CW 2008-11-29 0207 YB1ALL        599 28     RK3QWM        599 16
