START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: FD CW
CALLSIGN: R2DJ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: R2DJ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for FD CW DARC/Fieldday/CW/2025.
QSO: 14000 CW 2025-06-07 1504 R2DJ          599 DK0RA/P       599 002
QSO: 14045 CW 2025-06-07 1507 R2DJ          599 004 R1CX/P        599 017
QSO: 14011 CW 2025-06-07 1508 R2DJ          599 0005 M0RYB/P       599 0017
QSO: 14012 CW 2025-06-07 1510 R2DJ          599 0006 S51DX         599 0024
QSO: 14019 CW 2025-06-07 1512 R2DJ          599 0007 YL2TD/P       599 0017
QSO: 14000 CW 2025-06-07 1515 R2DJ          599 8 DL0FA/P       599 009
QSO: 14000 CW 2025-06-07 1516 R2DJ          599 008 IV3UHL        599 0015
QSO: 14042 CW 2025-06-07 1522 R2DJ          599 0015 EK0W/P        599 0009
QSO: 14022 CW 2025-06-07 1526 R2DJ          599 0016 DL0ULM/P      599 0029
QSO: 14023 CW 2025-06-07 1526 R2DJ          599 017 DK0V/P        599 0036
QSO: 14000 CW 2025-06-07 1529 R2DJ          599 018 IV3UHL        599 0032
QSO: 14038 CW 2025-06-07 1536 R2DJ          599 21 DQ1V/P        599 065
QSO: 14046 CW 2025-06-07 1538 R2DJ          599 023 DR8C/P        599 034
QSO: 14000 CW 2025-06-07 1543 R2DJ          599 28 DM7T/P        599 033
QSO: 14025 CW 2025-06-07 1543 R2DJ          599 027 IK8UND        599 0030
QSO: 14028 CW 2025-06-07 1544 R2DJ          599 0029 DA1A/P        599 0016
QSO: 14043 CW 2025-06-07 1547 R2DJ          599 30 DR5W/P        599 055
QSO: 14052 CW 2025-06-07 1549 R2DJ          599 031 DF5EN         599 037
QSO: 14028 CW 2025-06-07 1552 R2DJ          599 033 OK1OA         599 031
QSO: 14025 CW 2025-06-07 1601 R2DJ          599 037 DL0CS/P       599 0063
QSO: 14024 CW 2025-06-07 1602 R2DJ          599 038 DF0VK/P       599 0071
QSO: 14023 CW 2025-06-07 1603 R2DJ          599 039 DL0XM/P       599 0073
QSO: 14013 CW 2025-06-07 1606 R2DJ          599 0042 DM2I/P        599 0092
QSO: 14014 CW 2025-06-07 1606 R2DJ          599 041 IT9IVU        599 061
QSO: 14019 CW 2025-06-07 1609 R2DJ          599 043 DA2X/P        599 0081
QSO: 14031 CW 2025-06-07 1614 R2DJ          599 044 DK0MM/P       599 121
QSO: 14033 CW 2025-06-07 1615 R2DJ          599 045 IK4MTF        599 0032
QSO: 14036 CW 2025-06-07 1617 R2DJ          599 047 DL5YM         599 0020
QSO: 21021 CW 2025-06-07 1622 R2DJ          599 0049 DM3C/P        599 0098
QSO: 21029 CW 2025-06-07 1623 R2DJ          599 0051 SP/DL1CW/P    599 0088
QSO: 21000 CW 2025-06-07 1624 R2DJ          599 052 DL7A/P        599 095
QSO: 21041 CW 2025-06-07 1625 R2DJ          599 053 R1CX/P        599 131
QSO: 21016 CW 2025-06-07 1627 R2DJ          599 054 DR7B/P        599 0107
QSO: 21036 CW 2025-06-07 1631 R2DJ          599 057 YL7X          599 109
QSO: 21021 CW 2025-06-07 1635 R2DJ          599 0061 DM3C/P        599 0117
QSO: 21029 CW 2025-06-07 1642 R2DJ          599 062 5B4AOF        599 170
QSO: 21024 CW 2025-06-07 1644 R2DJ          599 0063 YL2TD/P       599 0159
QSO: 21023 CW 2025-06-07 1645 R2DJ          599 064 IK8UND        599 0092
QSO: 21000 CW 2025-06-07 1648 R2DJ          599 066 DM3F/P        599 123
QSO: 21034 CW 2025-06-07 1651 R2DJ          599 067 DL0XM/P       599 0114
QSO: 21038 CW 2025-06-07 1651 R2DJ          599 068 IT9KCD        599 0073
QSO: 21021 CW 2025-06-07 1653 R2DJ          599 0070 YQ8E          599 0106
QSO: 14013 CW 2025-06-07 1657 R2DJ          599 0071 YO4FHU        599 0065
QSO: 14023 CW 2025-06-07 1700 R2DJ          599 0072 DM5I/P        599 0128
QSO: 14023 CW 2025-06-07 1701 R2DJ          599 0073 OK2KWS/P      599 0041
QSO: 14028 CW 2025-06-07 1706 R2DJ          599 075 EI5KF/P       599 0192
QSO: 14016 CW 2025-06-07 1716 R2DJ          599 0079 M0UDD/M       599 0120
QSO: 14030 CW 2025-06-07 1728 R2DJ          599 082 DR3W/P        599 145
QSO: 14028 CW 2025-06-07 1732 R2DJ          599 083 EI5KF/P       599 0241
QSO: 14031 CW 2025-06-07 1741 R2DJ          599 0088 DL0MZ/P       599 0183
QSO: 14000 CW 2025-06-07 1744 R2DJ          599 089 DM3F/P        599 163
QSO: 14024 CW 2025-06-07 1745 R2DJ          599 0090 G4FNL/P       599 0249
QSO: 14017 CW 2025-06-07 1751 R2DJ          599 0091 DF0JR/P       599 0172
QSO: 14018 CW 2025-06-07 1753 R2DJ          599 092 DL5YL         599 0017
QSO: 14022 CW 2025-06-07 1755 R2DJ          599 094 DP6M/P        599 0165
QSO: 14024 CW 2025-06-07 1757 R2DJ          599 0095 ER3R/P        599 0240
QSO: 14024 CW 2025-06-07 1757 R2DJ          599 096 OV4W/P        599 0171
QSO: 14036 CW 2025-06-07 1801 R2DJ          599 0098 PI4VPO        599 0036
QSO: 14012 CW 2025-06-07 1805 R2DJ          599 101 DL5XJ/P       599 139
QSO: 14027 CW 2025-06-07 1812 R2DJ          599 0104 EA5OH         599 0213
QSO: 14000 CW 2025-06-07 1819 R2DJ          599 0106 S59ZZ/P       599 0118
QSO: 14051 CW 2025-06-07 1820 R2DJ          599 0107 DL0AT/P       599 0140
QSO:  7015 CW 2025-06-07 1824 R2DJ          599 108 DL3KWF        599 0036
QSO:  7026 CW 2025-06-07 1828 R2DJ          599 110 OK5NZ         599 101
QSO:  7000 CW 2025-06-07 1831 R2DJ          599 114 DL7A/P        599 198
QSO:  7022 CW 2025-06-07 1835 R2DJ          599 117 UR7MZ         599 175
QSO:  7011 CW 2025-06-07 1841 R2DJ          599 0119 S50BCC/P      599 0303
QSO:  7022 CW 2025-06-07 1844 R2DJ          599 0121 YQ8E          599 0182
QSO:  7028 CW 2025-06-07 1847 R2DJ          599 0123 ER3R/P        599 0263
QSO:  7030 CW 2025-06-07 1855 R2DJ          599 0130 OK2KWS/P      599 0095
QSO:  7013 CW 2025-06-07 1901 R2DJ          599 133 DR8C/P        599 240
QSO:  7020 CW 2025-06-07 1904 R2DJ          599 136 YL7X          599 270
QSO:  7021 CW 2025-06-07 1905 R2DJ          599 137 DF0VK/P       599 0250
QSO:  7026 CW 2025-06-07 1908 R2DJ          599 138 R1CX/P        599 335
QSO:  7031 CW 2025-06-07 1911 R2DJ          599 0139 S57WX/P       599 0216
QSO:  7029 CW 2025-06-07 1921 R2DJ          599 144 DK0V/P        599 0340
QSO:  7026 CW 2025-06-07 1928 R2DJ          599 147 OE8TED        599 212
QSO:  7012 CW 2025-06-07 1935 R2DJ          599 151 DF5EN         599 193
QSO:  7000 CW 2025-06-07 1945 R2DJ          599 159 DM3F/P        599 286
QSO:  7017 CW 2025-06-07 1949 R2DJ          599 160 DL0XM/P       599 0307
QSO:  7000 CW 2025-06-07 1951 R2DJ          599 161 DK0RA/P       599 283
QSO:  7014 CW 2025-06-07 1952 R2DJ          599 165 OK1AY         599 152
QSO:  7014 CW 2025-06-07 1955 R2DJ          599 0168 DA1A/P        599 0250
QSO:  7015 CW 2025-06-07 1955 R2DJ          599 0167 I2IFT         599 0193
QSO:  7011 CW 2025-06-07 2000 R2DJ          599 170 DL0CS/P       599 0334
QSO:  7012 CW 2025-06-07 2002 R2DJ          599 172 HA3NU         599 090
QSO:  7000 CW 2025-06-07 2005 R2DJ          599 173 DM5M/P        599 137
QSO:  7016 CW 2025-06-07 2007 R2DJ          599 174 DL5XJ/P       599 277
QSO:  7013 CW 2025-06-07 2018 R2DJ          599 180 HG5E          599 012
