START-OF-LOG: 3.0
CREATED-BY: vhfmanager-downloader
CONTEST: ALPE ADRIA VHF - Official results - VHFManager
CALLSIGN: YT7RM
CATEGORY: 145 MHz - fixed and portable stations /max. PWR : 50W OUTPUT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
QSO: 144300 PH 2018-08-05 0701 YT7RM         59  1 KN05PC   HA2R          59  2 JN87UE  
QSO: 144300 PH 2018-08-05 0703 YT7RM         59  2 KN05PC   S50C          59  5 JN76JG  
QSO: 144300 PH 2018-08-05 0708 YT7RM         59  3 KN05PC   HG6IDZ        59  4 JN97UT  
QSO: 144300 PH 2018-08-05 0709 YT7RM         59  4 KN05PC   HA6W          59  12 KN08FB 
QSO: 144300 PH 2018-08-05 0711 YT7RM         59  5 KN05PC   OM2VL         59  22 JN87WV 
QSO: 144300 PH 2018-08-05 0712 YT7RM         59  6 KN05PC   SN7L          59  78 JO91QF 
QSO: 144300 PH 2018-08-05 0716 YT7RM         59  7 KN05PC   HG1Z          59  19 JN86KU 
QSO: 144300 PH 2018-08-05 0717 YT7RM         59  8 KN05PC   9A1CRS        59  8 JN95AE  
QSO: 144300 PH 2018-08-05 0720 YT7RM         59  9 KN05PC   IQ5NN         59  40 JN63GN 
QSO: 144300 PH 2018-08-05 0722 YT7RM         59  10 KN05PC  S59R          59  41 JN76OM 
QSO: 144300 PH 2018-08-05 0723 YT7RM         59  11 KN05PC  OE6V          59  7 JN76XU  
QSO: 144300 PH 2018-08-05 0724 YT7RM         59  12 KN05PC  S56P          59  30 JN76PO 
QSO: 144300 PH 2018-08-05 0725 YT7RM         59  13 KN05PC  OM0AS         59  8 KN09WC  
QSO: 144300 PH 2018-08-05 0727 YT7RM         59  14 KN05PC  SN9D          59  85 JO90PP 
QSO: 144300 PH 2018-08-05 0729 YT7RM         59  15 KN05PC  S59DEM        59  56 JN75DS 
QSO: 144300 PH 2018-08-05 0730 YT7RM         59  16 KN05PC  9A1KDE        59  26 JN95FQ 
QSO: 144300 PH 2018-08-05 0733 YT7RM         59  17 KN05PC  HG1W          59  34 JN87GF 
QSO: 144300 PH 2018-08-05 0735 YT7RM         59  18 KN05PC  9A4TT         59  13 JN85OV 
QSO: 144300 PH 2018-08-05 0735 YT7RM         59  19 KN05PC  9A5G          59  28 JN75GK 
