START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.8.0
CONTEST: CQ-WW-RTTY
LOCATION: DX
CALLSIGN: F5GGL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 64416
OPERATORS: F5GGL
NAME: zabalza jean louis
SOAPBOX: ANT KT34 + L inverted + G5RV     TRX FT1000 mp     Pwr 100w
QSO:  7066 RY 2011-09-24 0737 F5GGL         599 14 DX  PG3N          599 14 DX  0
QSO:  7058 RY 2011-09-24 0745 F5GGL         599 14 DX  6Y6U          599 08 DX  0
QSO:  7058 RY 2011-09-24 0745 F5GGL         599 14 DX  EE7H          599 14 DX  0
QSO:  7053 RY 2011-09-24 0754 F5GGL         599 14 DX  II4LXV        599 15 DX  0
QSO:  7050 RY 2011-09-24 0759 F5GGL         599 14 DX  N3M           599 05 RI  0
QSO:  7042 RY 2011-09-24 0930 F5GGL         599 14 DX  M0WAY         599 14 DX  0
QSO:  7042 RY 2011-09-24 1138 F5GGL         599 14 DX  9A3AAX        599 15 DX  0
QSO:  7042 RY 2011-09-24 1140 F5GGL         599 14 DX  GM7R          599 14 DX  0
QSO:  7040 RY 2011-09-24 1143 F5GGL         599 14 DX  YT8A          599 15 DX  0
QSO: 21087 RY 2011-09-24 1155 F5GGL         599 14 DX  PZ5RA         599 09 DX  0
QSO: 21087 RY 2011-09-24 1157 F5GGL         599 14 DX  K1SFA         599 05 MA  0
QSO: 21087 RY 2011-09-24 1200 F5GGL         599 14 DX  YL2CI         599 15 DX  0
QSO: 21074 RY 2011-09-24 1206 F5GGL         599 14 DX  R3FO          599 16 DX  0
QSO: 21073 RY 2011-09-24 1212 F5GGL         599 14 DX  TF3PPN        599 40 DX  0
QSO: 21073 RY 2011-09-24 1222 F5GGL         599 14 DX  LY5E          599 15 DX  0
QSO: 21074 RY 2011-09-24 1225 F5GGL         599 14 DX  TM38O         599 14 DX  0
QSO: 21074 RY 2011-09-24 1227 F5GGL         599 14 DX  YO3JF         599 20 DX  0
QSO: 21075 RY 2011-09-24 1235 F5GGL         599 14 DX  S58T          599 15 DX  0
QSO: 21075 RY 2011-09-24 1237 F5GGL         599 14 DX  N2WK          599 05 NY  0
QSO: 21075 RY 2011-09-24 1240 F5GGL         599 14 DX  ER4A          599 16 DX  0
QSO: 21076 RY 2011-09-24 1243 F5GGL         599 14 DX  K4GMH         599 05 VA  0
QSO: 21098 RY 2011-09-24 1245 F5GGL         599 14 DX  CR3L          599 33 DX  0
QSO: 21098 RY 2011-09-24 1246 F5GGL         599 14 DX  UX7QV         599 16 DX  0
QSO: 21072 RY 2011-09-24 1251 F5GGL         599 14 DX  HG7T          599 15 DX  0
QSO: 21072 RY 2011-09-24 1553 F5GGL         599 14 DX  OH6R          599 15 DX  0
QSO: 21075 RY 2011-09-24 1258 F5GGL         599 14 DX  OH3I          599 15 DX  0
QSO: 21079 RY 2011-09-24 1259 F5GGL         599 14 DX  SN7Q          599 15 DX  0
QSO: 21079 RY 2011-09-24 1300 F5GGL         599 14 DX  Z33A          599 15 DX  0
QSO: 21081 RY 2011-09-24 1302 F5GGL         599 14 DX  ES9C          599 15 DX  0
QSO: 21081 RY 2011-09-24 1303 F5GGL         599 14 DX  YO2RR         599 20 DX  0
QSO: 21089 RY 2011-09-24 1304 F5GGL         599 14 DX  UR4U          599 16 DX  0
QSO: 21094 RY 2011-09-24 1306 F5GGL         599 14 DX  RN9CM         599 17 DX  0
QSO: 21094 RY 2011-09-24 1308 F5GGL         599 14 DX  ER3ZZ         599 16 DX  0
QSO: 21094 RY 2011-09-24 1309 F5GGL         599 14 DX  UZ2M          599 16 DX  0
QSO: 28082 RY 2011-09-24 1312 F5GGL         599 14 DX  P49X          599 09 DX  0
QSO: 28085 RY 2011-09-24 1319 F5GGL         599 14 DX  K5DU          599 04 TX  0
QSO: 28084 RY 2011-09-24 1322 F5GGL         599 14 DX  ZX2B          599 10 DX  0
QSO: 28091 RY 2011-09-24 1329 F5GGL         599 14 DX  6V7X          599 35 DX  0
QSO: 28090 RY 2011-09-24 1332 F5GGL         599 14 DX  K4GMH         599 05 VA  0
QSO: 28096 RY 2011-09-24 1337 F5GGL         599 14 DX  KA4RRU        599 05 VA  0
QSO: 28101 RY 2011-09-24 1346 F5GGL         599 14 DX  YB1AR         599 28 DX  0
