START-OF-LOG: 3.0
CALLSIGN: K1LT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-TIME: 24-HOURS
CLAIMED-SCORE: 650320
CLUB: Mad River Radio Club
CONTEST: CQ-WW-RTTY
CREATED-BY: WriteLog V10.69D
NAME: Victor A. Kean, Jr.
LOCATION: OH
OPERATORS: K1LT
SOAPBOX: The plan for this contest was to work band countries on 10 and 80
SOAPBOX: meters, and operate the other bands if I got bored with 80 and 10.  80
SOAPBOX: seemed to be about the same as the last couple of years, but 10 was a
SOAPBOX: little better.  Ha!  Last time I was able to work the world on 10
SOAPBOX: meters was in the 1972 ARRL DX contest!  (Note that I missed a couple
SOAPBOX: of sunspot cycles between then and now).
SOAPBOX:
SOAPBOX: Prior to the contest I made a list of countries not confirmed on 80
SOAPBOX: and 1- that I though should be reasonably easy to work.  The 80 meter
SOAPBOX: list had 33 entities and the 10 meter list had 46 entities.  I worked
SOAPBOX: 2 new 80 meter entities, and all but 7 of my 46 10 meter entities.
SOAPBOX:
SOAPBOX: If most of those new 10 meter entities confirm via LoTW, then I can
SOAPBOX: apply for 5BDXCC.  Lets hope.  They say RTTY operators are pretty good
SOAPBOX: at confirming contacts.
SOAPBOX:
SOAPBOX: Took a few hours off in the middle of Saturday to repair my 30/210
SOAPBOX: degree Beverage and repair the 30 meter vertical.
SOAPBOX:
SOAPBOX: Had a blast running Europeans most of both days.  Had a couple of
SOAPBOX: short JA runs on 10, including about a dozen JAs in the last 30
SOAPBOX: minutes of the contest.  The surprise multiplier was FR4NT, Reunion.
SOAPBOX:
SOAPBOX: Equipment: K3, ETO 91B (thanks, Jeff), X7 at 60 feet, verticals for 40
SOAPBOX: and 80, Beverages, both kinds.
QSO: 28100 RY 2011-09-24 0027 K1LT          599      4 OH     W6UX          599 3      CA
QSO: 28089 RY 2011-09-24 0031 K1LT          599      4 OH     HK1NA         599 09     DX
QSO: 28095 RY 2011-09-24 0032 K1LT          599      4 OH     N6ML          599 03     CA
QSO: 28096 RY 2011-09-24 0033 K1LT          599      4 OH     PU5ATX        599 11     DX
QSO: 28080 RY 2011-09-24 0034 K1LT          599      4 OH     XE1GRR        599 06     DX
QSO: 28083 RY 2011-09-24 0037 K1LT          599      4 OH     WN6K          599 03     CA
QSO: 28084 RY 2011-09-24 0038 K1LT          599      4 OH     W6YX          599 03     CA
QSO: 28086 RY 2011-09-24 0040 K1LT          599      4 OH     PY2SRB        599 11     DX
QSO: 28088 RY 2011-09-24 0042 K1LT          599      4 OH     ZY2C          599 11     DX
QSO: 28098 RY 2011-09-24 0044 K1LT          599      4 OH     ZX2B          599 11     DX
QSO: 28098 RY 2011-09-24 0052 K1LT          599      4 OH     VE7UF         599 03     BC
QSO: 28088 RY 2011-09-24 0054 K1LT          599      4 OH     CE3PG         599 12     DX
QSO: 28107 RY 2011-09-24 0101 K1LT          599      4 OH     K6XX          599 3      CA
QSO: 21090 RY 2011-09-24 0107 K1LT          599      4 OH     KN5O          599 04     LA
QSO: 21088 RY 2011-09-24 0108 K1LT          599      4 OH     W7WW          599 3      AZ
QSO: 21076 RY 2011-09-24 0112 K1LT          599      4 OH     6Y6U          599 8      DX
QSO: 21075 RY 2011-09-24 0114 K1LT          599      4 OH     VE7UF         599 03     BC
QSO: 21083 RY 2011-09-24 0119 K1LT          599      4 OH     CE3PG         599 12     DX
QSO: 21084 RY 2011-09-24 0119 K1LT          599      4 OH     K6LL          599 3      AZ
QSO: 21085 RY 2011-09-24 0122 K1LT          599      4 OH     HK1NA         599 09     DX
QSO: 21086 RY 2011-09-24 0123 K1LT          599      4 OH     PT5T          599 11     DX
QSO:  3577 RY 2011-09-24 0130 K1LT          599      4 OH     LX7I          599 14     DX
QSO:  3578 RY 2011-09-24 0131 K1LT          599      4 OH     K1SFA         599 5      MA
QSO:  3579 RY 2011-09-24 0134 K1LT          599      4 OH     GM7R          599 14     DX
QSO:  3580 RY 2011-09-24 0135 K1LT          599      4 OH     HG1S          599 15     DX
