START-OF-LOG: 3.0
CALLSIGN: K6GEP
CLUB: Southern California Contest Club
CONTEST: CQ-WW-RTTY
CLAIMED-SCORE: 492936
OPERATORS: K6GEP
NAME: Tim Goeppinger
SOAPBOX: This contest ushered in a new era of high activity plus sunspots.
CREATED-BY: N1MM Logger V11.5.2
LOCATION: ORG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
QSO: 28000 RY 2011-09-24 0003 K6GEP         599 03 CA  W6UX          599 03 CA
QSO: 28000 RY 2011-09-24 0006 K6GEP         599 03 CA  AB9TA         599 04 IL
QSO: 28000 RY 2011-09-24 0013 K6GEP         599 03 CA  HK1NA         599 09 DX
QSO: 28000 RY 2011-09-24 0015 K6GEP         599 03 CA  VY2SS         599 05 PE
QSO: 28000 RY 2011-09-24 0017 K6GEP         599 03 CA  WA1FCN        599 04 AL
QSO: 28000 RY 2011-09-24 0019 K6GEP         599 03 CA  WA1Z          599 05 NH
QSO: 28000 RY 2011-09-24 0023 K6GEP         599 03 CA  VE3JI         599 04 ON
QSO: 28000 RY 2011-09-24 0029 K6GEP         599 03 CA  KG6DX         599 27 DX
QSO: 21000 RY 2011-09-24 0032 K6GEP         599 03 CA  K1SFA         599 05 MA
QSO: 21000 RY 2011-09-24 0034 K6GEP         599 03 CA  KA4RRU        599 05 VA
QSO: 21000 RY 2011-09-24 0035 K6GEP         599 03 CA  K5DU          599 04 TX
QSO: 21000 RY 2011-09-24 0037 K6GEP         599 03 CA  CO3JN         599 08 DX
QSO: 21000 RY 2011-09-24 0039 K6GEP         599 03 CA  YW5T          599 09 DX
QSO: 21000 RY 2011-09-24 0040 K6GEP         599 03 CA  WY7SS         599 04 WY
QSO: 21000 RY 2011-09-24 0043 K6GEP         599 03 CA  VE7SV         599 03 BC
QSO: 21000 RY 2011-09-24 0044 K6GEP         599 03 CA  JA1BPA        599 25 DX
QSO: 21000 RY 2011-09-24 0045 K6GEP         599 03 CA  JM1XCW        599 25 DX
