START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: G6NHU
CLAIMED-SCORE:
CONTEST: CQ-WW-RTTY
NAME: KEITH MATON
OPERATORS: G6NHU
CREATED-BY: Aether 1.5.7
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
SOAPBOX: No idea of claimed score, just giving away a few points
SOAPBOX: Running just 20 watts to a 40m horizontal delta loop at 16ft AGL
QSO: 7079  RY 2011-09-24 0716 G6NHU         599 14 DX     ON4VMA        599 14  DX    0
QSO: 7075  RY 2011-09-24 0717 G6NHU         599 14 DX     G6T           599 14  DX    0
QSO: 7061  RY 2011-09-24 0719 G6NHU         599 14 DX     G0MTN         599 14  DX    0
QSO: 7061  RY 2011-09-24 0721 G6NHU         599 14 DX     DL6JZ         599 14  DX    0
QSO: 7058  RY 2011-09-24 0723 G6NHU         599 14 DX     EE7H          599 14  DX    0
QSO: 7057  RY 2011-09-24 0724 G6NHU         599 14 DX     HB9DHG        599 14  DX    0
QSO: 7054  RY 2011-09-24 0727 G6NHU         599 14 DX     AB2ZY         599 05  DX    0
QSO: 7054  RY 2011-09-24 0729 G6NHU         599 14 DX     II4LXV        599 15  DX    0
QSO: 7046  RY 2011-09-24 0733 G6NHU         599 14 DX     PA3DBS        599 14  DX    0
QSO: 14076 RY 2011-09-24 0739 G6NHU         599 14 DX     SP5NHK        599 15  DX    0
QSO: 14077 RY 2011-09-24 0747 G6NHU         599 14 DX     IZ4JMA        599 15  DX    0
QSO: 14078 RY 2011-09-24 0749 G6NHU         599 14 DX     OL7M          599 15  DX    0
QSO: 14078 RY 2011-09-24 0749 G6NHU         599 14 DX     IC8TEM        599 15  DX    0
QSO: 14079 RY 2011-09-24 0750 G6NHU         599 14 DX     OM6W          599 15  DX    0
QSO: 14082 RY 2011-09-24 0752 G6NHU         599 14 DX     IK4MGP        599 15  DX    0
QSO: 14083 RY 2011-09-24 0754 G6NHU         599 14 DX     OM3TPN        599 15  DX    0
QSO: 14083 RY 2011-09-24 0757 G6NHU         599 14 DX     CT3KY         599 33  DX    0
QSO: 14084 RY 2011-09-24 0758 G6NHU         599 14 DX     IK5AMB        599 15  DX    0
QSO: 14084 RY 2011-09-24 0800 G6NHU         599 14 DX     RG3K          599 16  DX    0
QSO: 14085 RY 2011-09-24 0801 G6NHU         599 14 DX     T77NM         599 15  DX    0
QSO: 14086 RY 2011-09-24 0804 G6NHU         599 14 DX     IT9BLB        599 15  DX    0
QSO: 14087 RY 2011-09-24 0806 G6NHU         599 14 DX     RK3DXW        599 16  DX    0
QSO: 14087 RY 2011-09-24 0807 G6NHU         599 14 DX     ED2V          599 14  DX    0
QSO: 14089 RY 2011-09-24 0808 G6NHU         599 14 DX     IV3JCC        599 15  DX    0
QSO: 14091 RY 2011-09-24 0810 G6NHU         599 14 DX     ED5CEF        599 14  DX    0
QSO: 14117 RY 2011-09-24 1405 G6NHU         599 14 DX     E74AA         599 15  DX    0
QSO: 14117 RY 2011-09-24 1406 G6NHU         599 14 DX     YO3CZW        599 20  DX    0
QSO: 14112 RY 2011-09-24 1407 G6NHU         599 14 DX     EA5ET         599 14  DX    0
QSO: 14112 RY 2011-09-24 1408 G6NHU         599 14 DX     LN5O          599 14  DX    0
QSO: 14100 RY 2011-09-24 1413 G6NHU         599 14 DX     YU1KT         599 15  DX    0
QSO: 21081 RY 2011-09-24 1416 G6NHU         599 14 DX     UR0HQ         599 16  DX    0
QSO: 21086 RY 2011-09-24 1418 G6NHU         599 14 DX     R7LV          599 16  DX    0
QSO: 21089 RY 2011-09-24 1419 G6NHU         599 14 DX     UW1M          599 16  DX    0
QSO: 21097 RY 2011-09-24 1420 G6NHU         599 14 DX     VE3EY         599 04  DX    0
QSO: 21097 RY 2011-09-24 1421 G6NHU         599 14 DX     CT3EN         599 33  DX    0
QSO: 28067 RY 2011-09-24 1444 G6NHU         599 14 DX     PX2V          599 11  DX    0
QSO: 28072 RY 2011-09-24 1448 G6NHU         599 14 DX     K5EK          599 05  DX    0
QSO: 28079 RY 2011-09-24 1451 G6NHU         599 14 DX     A65EE         599 21  DX    0
QSO: 28081 RY 2011-09-24 1453 G6NHU         599 14 DX     OD5PL         599 20  DX    0
QSO: 28086 RY 2011-09-24 1505 G6NHU         599 14 DX     N4ZZ          599 04  DX    0
QSO: 14093 RY 2011-09-24 1721 G6NHU         599 14 DX     IK5AMB        599 15  DX    0
QSO: 14094 RY 2011-09-24 1722 G6NHU         599 14 DX     SO6X          599 15  DX    0
QSO: 14095 RY 2011-09-24 1724 G6NHU         599 14 DX     EO3Q          599 16  DX    0
QSO: 14103 RY 2011-09-24 1725 G6NHU         599 14 DX     OM4O          599 15  DX    0
QSO: 14104 RY 2011-09-24 1727 G6NHU         599 14 DX     RW6AH         599 16  DX    0
QSO: 14107 RY 2011-09-24 1729 G6NHU         599 14 DX     OH3OJ         599 15  DX    0
QSO: 14115 RY 2011-09-24 1734 G6NHU         599 14 DX     IZ3GOM        599 15  DX    0
QSO: 14115 RY 2011-09-24 1735 G6NHU         599 14 DX     RK4S          599 16  DX    0
QSO: 14117 RY 2011-09-24 1736 G6NHU         599 14 DX     UY1HY         599 16  DX    0
QSO: 14119 RY 2011-09-24 1737 G6NHU         599 14 DX     UO6P          599 17  DX    0
QSO: 14124 RY 2011-09-24 1834 G6NHU         599 14 DX     LZ9R          599 20  DX    0
QSO: 14123 RY 2011-09-24 1836 G6NHU         599 14 DX     VK3TDX        599 30  DX    0
QSO: 21130 RY 2011-09-25 0819 G6NHU         599 14 DX     UZ7HO         599 16  DX    0
QSO: 21130 RY 2011-09-25 0822 G6NHU         599 14 DX     YO3CZW        599 20  DX    0
QSO: 21131 RY 2011-09-25 0823 G6NHU         599 14 DX     ZC4LI         599 20  DX    0
QSO: 21132 RY 2011-09-25 0824 G6NHU         599 14 DX     4Z5CP         599 20  DX    0
QSO: 21139 RY 2011-09-25 0829 G6NHU         599 14 DX     RL2A          599 16  DX    0
QSO: 21140 RY 2011-09-25 0830 G6NHU         599 14 DX     SZ1A          599 20  DX    0
QSO: 21124 RY 2011-09-25 0833 G6NHU         599 14 DX     IT9ESW        599 15  DX    0
QSO: 21122 RY 2011-09-25 0835 G6NHU         599 14 DX     RN3DMU        599 16  DX    0
QSO: 21121 RY 2011-09-25 0836 G6NHU         599 14 DX     IT9HBT        599 15  DX    0
QSO: 21121 RY 2011-09-25 0837 G6NHU         599 14 DX     Z35T          599 15  DX    0
QSO: 21120 RY 2011-09-25 0839 G6NHU         599 14 DX     YO9HP         599 20  DX    0
QSO: 21119 RY 2011-09-25 0841 G6NHU         599 14 DX     EY0A          599 17  DX    0
QSO: 21118 RY 2011-09-25 0843 G6NHU         599 14 DX     YQ6A          599 20  DX    0
QSO: 21116 RY 2011-09-25 0845 G6NHU         599 14 DX     EU1AZ         599 16  DX    0
QSO: 21109 RY 2011-09-25 0848 G6NHU         599 14 DX     YO3JF         599 20  DX    0
QSO: 21104 RY 2011-09-25 0849 G6NHU         599 14 DX     EA7ZY         599 14  DX    0
QSO: 28077 RY 2011-09-25 0851 G6NHU         599 14 DX     RZ4HZW        599 16  DX    0
QSO: 28092 RY 2011-09-25 0857 G6NHU         599 14 DX     R6YY          599 16  DX    0
QSO: 28093 RY 2011-09-25 0857 G6NHU         599 14 DX     UA4CC         599 16  DX    0
QSO: 28116 RY 2011-09-25 0900 G6NHU         599 14 DX     JA6WJL        599 25  DX    0
END-OF-LOG:
