START-OF-LOG: 3.0
CALLSIGN: VU2ABS
CATEGORY-ASSISTED: NON-ASSISTED
CLAIMED-SCORE: 17821
CLUB: VU CONTEST GROUP
CONTEST: CQ-WW-RTTY
CREATED-BY: N1MM Logger V11.9.3
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-STATION: FIXED
OPERATORS: VU2ABS
NAME: Aravind Balasubramanian
LOCATION: DX
SOAPBOX: This was just a casual attempt as I was plagued by a lot of minor
SOAPBOX: station niggles and HQTH problems. On 25th I built a 6Band Hexbeam and
SOAPBOX: used it for all the High band QSO's.
SOAPBOX: Rig - FT857, Ant - Multiband Inv V, 6 Band Hexbeam both at 35 Feet
SOAPBOX: Rig to Computer Audio interface - Accoustic !!! PTT control - VOX
QSO:  7039 RY 2011-09-24 1931 VU2ABS        599 22 DX  YT1VP         599 15 DX
QSO:  7043 RY 2011-09-24 1933 VU2ABS        599 22 DX  YT8A          599 15 DX
QSO:  7048 RY 2011-09-24 1934 VU2ABS        599 22 DX  LY5E          599 15 DX
QSO:  7051 RY 2011-09-24 1936 VU2ABS        599 22 DX  RW4PL         599 16 DX
QSO:  7056 RY 2011-09-24 1937 VU2ABS        599 22 DX  RK3AW         599 16 DX
QSO:  7033 RY 2011-09-24 1941 VU2ABS        599 22 DX  IT9HBT        599 15 DX
QSO:  7033 RY 2011-09-24 1943 VU2ABS        599 22 DX  IT9VBT        599 15 DX
QSO:  7029 RY 2011-09-24 1948 VU2ABS        599 22 DX  LZ5R          599 20 DX
QSO:  7033 RY 2011-09-24 1949 VU2ABS        599 22 DX  IT9WBT        599 15 DX
QSO:  7035 RY 2011-09-24 1950 VU2ABS        599 22 DX  SP4YPB        599 15 DX
QSO:  7063 RY 2011-09-24 2003 VU2ABS        599 22 DX  UT3N          599 16 DX
QSO:  7064 RY 2011-09-24 2004 VU2ABS        599 22 DX  RG9A          599 17 DX
QSO: 14130 RY 2011-09-24 2015 VU2ABS        599 22 DX  E21YDP        599 26 DX
QSO: 14127 RY 2011-09-24 2016 VU2ABS        599 22 DX  I0JBL         599 15 DX
QSO:  7029 RY 2011-09-24 2023 VU2ABS        599 22 DX  RG3K          599 16 DX
QSO:  7046 RY 2011-09-24 2031 VU2ABS        599 22 DX  UW4I          599 16 DX
QSO:  7047 RY 2011-09-24 2037 VU2ABS        599 22 DX  II4LXV        599 15 DX
QSO:  7051 RY 2011-09-24 2049 VU2ABS        599 22 DX  UA5F          599 16 DX
QSO:  7052 RY 2011-09-24 2053 VU2ABS        599 22 DX  HG1S          599 15 DX
QSO:  7029 RY 2011-09-24 2101 VU2ABS        599 22 DX  VU2LBW        599 22 DX
QSO:  7038 RY 2011-09-24 2104 VU2ABS        599 22 DX  S55O          599 15 DX
QSO:  7041 RY 2011-09-24 2109 VU2ABS        599 22 DX  OH7UE         599 15 DX
QSO:  7041 RY 2011-09-24 2110 VU2ABS        599 22 DX  LZ8E          599 20 DX
QSO: 14119 RY 2011-09-24 2118 VU2ABS        599 22 DX  ES9C          599 15 DX
QSO:  7035 RY 2011-09-24 2128 VU2ABS        599 22 DX  UR4U          599 16 DX
QSO: 28098 RY 2011-09-25 0417 VU2ABS        599 22 DX  JE2UFF        599 25 DX
QSO: 28103 RY 2011-09-25 0419 VU2ABS        599 22 DX  JA2HOL        599 25 DX
QSO: 21097 RY 2011-09-25 0423 VU2ABS        599 22 DX  ST2AR         599 34 DX
QSO: 21106 RY 2011-09-25 0424 VU2ABS        599 22 DX  4Z5CP         599 20 DX
QSO: 21078 RY 2011-09-25 0430 VU2ABS        599 22 DX  UN8P          599 17 DX
QSO: 21083 RY 2011-09-25 0431 VU2ABS        599 22 DX  ZC4LI         599 20 DX
QSO: 28089 RY 2011-09-25 0436 VU2ABS        599 22 DX  UO6P          599 17 DX
QSO: 14131 RY 2011-09-25 1916 VU2ABS        599 22 DX  LZ9R          599 20 DX
QSO: 14076 RY 2011-09-25 1920 VU2ABS        599 22 DX  IZ3GOM        599 15 DX
QSO: 14083 RY 2011-09-25 1923 VU2ABS        599 22 DX  SO4M          599 15 DX
QSO: 14083 RY 2011-09-25 1924 VU2ABS        599 22 DX  RX6MR         599 16 DX
QSO: 14093 RY 2011-09-25 1928 VU2ABS        599 22 DX  UW1M          599 16 DX
QSO: 14105 RY 2011-09-25 1930 VU2ABS        599 22 DX  YU1NR         599 15 DX
QSO: 14110 RY 2011-09-25 1932 VU2ABS        599 22 DX  EW8DD         599 16 DX
QSO: 14114 RY 2011-09-25 1933 VU2ABS        599 22 DX  YT3M          599 15 DX
QSO: 14141 RY 2011-09-25 1947 VU2ABS        599 22 DX  DL2IAN        599 14 DX
QSO: 14088 RY 2011-09-25 1951 VU2ABS        599 22 DX  IK4MGP        599 15 DX
QSO: 14091 RY 2011-09-25 1954 VU2ABS        599 22 DX  CT3KY         599 33 DX
QSO: 14110 RY 2011-09-25 1956 VU2ABS        599 22 DX  UA3DCW        599 16 DX
QSO: 14115 RY 2011-09-25 1957 VU2ABS        599 22 DX  EA3NT         599 14 DX
QSO: 14116 RY 2011-09-25 2000 VU2ABS        599 22 DX  UW1M          599 16 DX
QSO: 14131 RY 2011-09-25 2002 VU2ABS        599 22 DX  T77NM         599 15 DX
QSO: 14076 RY 2011-09-25 2004 VU2ABS        599 22 DX  EA1EVR        599 14 DX
QSO: 14079 RY 2011-09-25 2005 VU2ABS        599 22 DX  RA4FUN        599 16 DX
QSO: 14082 RY 2011-09-25 2006 VU2ABS        599 22 DX  LZ8E          599 20 DX
QSO: 14087 RY 2011-09-25 2008 VU2ABS        599 22 DX  RG3K          599 16 DX
QSO: 14094 RY 2011-09-25 2009 VU2ABS        599 22 DX  RM2M          599 15 DX
QSO: 14096 RY 2011-09-25 2011 VU2ABS        599 22 DX  SV1JGX        599 20 DX
QSO: 14099 RY 2011-09-25 2013 VU2ABS        599 22 DX  OH2BBT        599 15 DX
QSO: 14102 RY 2011-09-25 2014 VU2ABS        599 22 DX  EA5DKU        599 14 DX
QSO: 14107 RY 2011-09-25 2015 VU2ABS        599 22 DX  SM6NOC        599 14 DX
QSO: 14109 RY 2011-09-25 2017 VU2ABS        599 22 DX  UU7J          599 16 DX
QSO: 14114 RY 2011-09-25 2020 VU2ABS        599 22 DX  G3TXF         599 14 DX
QSO: 14116 RY 2011-09-25 2021 VU2ABS        599 22 DX  UA5F          599 16 DX
QSO: 14125 RY 2011-09-25 2023 VU2ABS        599 22 DX  LN5O          599 14 DX
QSO: 14126 RY 2011-09-25 2024 VU2ABS        599 22 DX  S55O          599 15 DX
QSO: 14127 RY 2011-09-25 2025 VU2ABS        599 22 DX  YO3CZW        599 20 DX
QSO: 14100 RY 2011-09-25 2037 VU2ABS        599 22 DX  CN3A          599 33 DX
QSO: 14108 RY 2011-09-25 2039 VU2ABS        599 22 DX  ER4A          599 16 DX
QSO: 14119 RY 2011-09-25 2041 VU2ABS        599 22 DX  IW9FI         599 15 DX
QSO: 14122 RY 2011-09-25 2042 VU2ABS        599 22 DX  LA8PDA        599 14 DX
QSO: 14132 RY 2011-09-25 2045 VU2ABS        599 22 DX  OK1DBE        599 15 DX
QSO: 14135 RY 2011-09-25 2047 VU2ABS        599 22 DX  S50XX         599 15 DX
QSO: 14089 RY 2011-09-25 2049 VU2ABS        599 22 DX  UZ2M          599 16 DX
QSO: 14099 RY 2011-09-25 2051 VU2ABS        599 22 DX  IT9BLB        599 15 DX
QSO: 14104 RY 2011-09-25 2052 VU2ABS        599 22 DX  RK3DXW        599 16 DX
QSO: 14121 RY 2011-09-25 2102 VU2ABS        599 22 DX  UW5U          599 16 DX
QSO: 14130 RY 2011-09-25 2104 VU2ABS        599 22 DX  M0DXR         599 14 DX
QSO: 14077 RY 2011-09-25 2110 VU2ABS        599 22 DX  PI4W          599 14 DX
QSO: 14085 RY 2011-09-25 2114 VU2ABS        599 22 DX  EA1AKS        599 14 DX
QSO: 14093 RY 2011-09-25 2115 VU2ABS        599 22 DX  EO3Q          599 16 DX
QSO:  7052 RY 2011-09-25 2136 VU2ABS        599 22 DX  UW1M          599 16 DX
QSO:  7062 RY 2011-09-25 2138 VU2ABS        599 22 DX  ER4A          599 16 DX
