START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: GU0SUP
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
Category-Transmitter: ONE
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CLAIMED-SCORE: 806616
CLUB: Chiltern DX Club
CONTEST: CQ-WW-RTTY
CREATED-BY: WriteLog V10.87E
NAME: Phil Cooper
OPERATORS: GU0SUP
SOAPBOX: Low Power: 90 watts.
SOAPBOX: An amazing contest, with decent propagation at last! So good to see 10m
SOAPBOX: properly open, not just Es. A pity that 20m was so quiet, due to conditions
SOAPBOX: I expect, and not to lack of activity. 80m here was almost dead, with very
SOAPBOX: few stations audible. An amzing time was had here in GU.
QSO:  7069 RY 2011-09-24 0651 GU0SUP        599     14 GU     LT0H          599 13     DX
QSO:  7068 RY 2011-09-24 0652 GU0SUP        599     14 GU     DJ0MCZ        599 14     DX
QSO:  7066 RY 2011-09-24 0653 GU0SUP        599     14 GU     N4QS          599 4      KY
QSO:  7064 RY 2011-09-24 0655 GU0SUP        599     14 GU     PA3FXY        599 14     DX
QSO:  7063 RY 2011-09-24 0657 GU0SUP        599     14 GU     GM1J          599 14     DX
QSO:  7063 RY 2011-09-24 0658 GU0SUP        599     14 GU     5C5W          599 33     DX
QSO:  7062 RY 2011-09-24 0659 GU0SUP        599     14 GU     G3VMY         599 14     DX
QSO:  7062 RY 2011-09-24 0701 GU0SUP        599     14 GU     G0MTN         599 14     DX
QSO:  7060 RY 2011-09-24 0702 GU0SUP        599     14 GU     6Y6U          599 8      DX
QSO:  7060 RY 2011-09-24 0703 GU0SUP        599     14 GU     YT8A          599 15     DX
QSO:  7057 RY 2011-09-24 0704 GU0SUP        599     14 GU     VA2UP         599 5      QC
QSO:  7056 RY 2011-09-24 0704 GU0SUP        599     14 GU     LX7I          599 14     DX
QSO:  7053 RY 2011-09-24 0708 GU0SUP        599     14 GU     EF7R          599 14     DX
