START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: JA2DHF
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JA2DHF
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2017.
QSO:  7089 PH 2017-03-25 1318 JA2DHF        59 UA0SR         59 249
QSO:  7101 PH 2017-03-25 1319 JA2DHF        59 0002 BA8CY         59 0379
QSO:  7113 PH 2017-03-25 1323 JA2DHF        59 003 B1Z           59 0138
QSO:  7120 PH 2017-03-25 1324 JA2DHF        59 0002 UI9I          59 0268
QSO:  7000 PH 2017-03-25 1326 JA2DHF        59 5 DU1EV         59 16
QSO:  7132 PH 2017-03-25 1328 JA2DHF        59 006 B7M           59 0683
QSO:  7143 PH 2017-03-25 1332 JA2DHF        59 007 B7P           59 0547
QSO:  7150 PH 2017-03-25 1333 JA2DHF        59 0008 BY5HB         59 0212
QSO:  7156 PH 2017-03-25 1337 JA2DHF        59 0009 B4S           59 0320
QSO:  7000 PH 2017-03-25 1345 JA2DHF        59 0090 YC7TUU        59 0159
QSO:  7183 PH 2017-03-25 1405 JA2DHF        59 0011 NF6A          59 0075
QSO:  7181 PH 2017-03-25 1416 JA2DHF        59 0012 K3EST         59 1254
QSO:  7159 PH 2017-03-25 1427 JA2DHF        59 0014 B4T           59 0209
QSO: 14263 PH 2017-03-25 2137 JA2DHF        59 0015 VK4KW         59 0411
QSO: 14185 PH 2017-03-25 2142 JA2DHF        59 017 DU3LA         59 412
QSO: 14225 PH 2017-03-25 2146 JA2DHF        59 0019 YB8RW         59 0633
QSO: 14298 PH 2017-03-25 2149 JA2DHF        59 0020 WC2L          59 0894
QSO: 14312 PH 2017-03-25 2150 JA2DHF        59 21 VC7T          59 994
QSO: 21247 PH 2017-03-25 2157 JA2DHF        59 0022 WH7W          59 0268
QSO: 14152 PH 2017-03-25 2204 JA2DHF        59 23 KQ2M          59 1926
QSO: 14318 PH 2017-03-25 2310 JA2DHF        59 0024 BY5HB         59 0498
QSO: 21000 PH 2017-03-25 2314 JA2DHF        59 0025 PP5JN         59 0869
QSO: 14187 PH 2017-03-25 2320 JA2DHF        59 0026 K0DU          59 1658
QSO: 14256 PH 2017-03-25 2327 JA2DHF        59 0027 CF7RR         59 1134
QSO: 14274 PH 2017-03-25 2328 JA2DHF        59 0028 BA4ER         59 0518
QSO: 14334 PH 2017-03-25 2330 JA2DHF        59 0029 9M8K          59 0296
QSO: 14001 PH 2017-03-25 2332 JA2DHF        59 30 N6MI          59 794
QSO: 14000 PH 2017-03-25 2335 JA2DHF        59 0031 YB3ZBN        59 0393
QSO: 14297 PH 2017-03-25 2336 JA2DHF        59 0032 YE1K          59 0887
QSO: 14292 PH 2017-03-25 2337 JA2DHF        59 0033 B4T           59 0272
QSO: 14250 PH 2017-03-25 2340 JA2DHF        59 0034 NA7OM         59 0205
QSO: 14246 PH 2017-03-25 2343 JA2DHF        59 0035 BW0PX         59 0817
QSO: 14242 PH 2017-03-25 2344 JA2DHF        59 036 KL7RA         59 1213
QSO: 14208 PH 2017-03-25 2349 JA2DHF        59 0037 RW9USA        59 1344
QSO: 14000 PH 2017-03-25 2352 JA2DHF        59 038 KV0Q          59 1239
QSO: 21235 PH 2017-03-25 2354 JA2DHF        59 039 WN6K          59 467
QSO: 21293 PH 2017-03-26 0103 JA2DHF        59 0040 VK4KW         59 0929
QSO: 21278 PH 2017-03-26 0104 JA2DHF        59 041 B7M           59 1037
QSO: 21274 PH 2017-03-26 0108 JA2DHF        59 0042 WH6R          59 0849
QSO: 21239 PH 2017-03-26 0109 JA2DHF        59 0043 ZV5O          59 1257
QSO: 21000 PH 2017-03-26 0112 JA2DHF        59 044 DY1T          59 865
QSO: 21195 PH 2017-03-26 0115 JA2DHF        59 055 B7P           59 0758
QSO: 14170 PH 2017-03-26 0116 JA2DHF        59 0046 RM0F          59 0772
QSO: 14185 PH 2017-03-26 0120 JA2DHF        59 0047 BA7QT         59 0096
QSO: 14190 PH 2017-03-26 0123 JA2DHF        59 0048 BI4VIP        59 0031
QSO: 14197 PH 2017-03-26 0128 JA2DHF        59 0049 B4S           59 0476
QSO: 14000 PH 2017-03-26 0132 JA2DHF        59 0050 HS0AC         59 0418
QSO: 14000 PH 2017-03-26 0133 JA2DHF        59 0051 DU1JI         59 0176
QSO: 14000 PH 2017-03-26 0136 JA2DHF        59 0052 YB2DX         59 0558
QSO: 21180 PH 2017-03-26 0142 JA2DHF        59 053 DU3T          59 0545
QSO: 21204 PH 2017-03-26 0144 JA2DHF        59 0045 YB1AR         59 0795
QSO: 21212 PH 2017-03-26 0146 JA2DHF        59 0055 VR2CC         59 1118
QSO: 21227 PH 2017-03-26 0149 JA2DHF        59 0056 YB6DE         59 0107
QSO: 21000 PH 2017-03-26 0153 JA2DHF        59 0057 DU9WTZ        59 0363
QSO: 21240 PH 2017-03-26 0156 JA2DHF        59 0058 DX7CA         59 0862
QSO: 21258 PH 2017-03-26 0200 JA2DHF        59 0060 BV0WPX        59 0726
QSO: 21000 PH 2017-03-26 0202 JA2DHF        59 0061 DU7P          59 0756
QSO: 28484 PH 2017-03-26 0205 JA2DHF        59 0062 VK4NM         59 1258
QSO: 28000 PH 2017-03-26 0206 JA2DHF        59 063 4F3FSK        59 295
QSO: 28458 PH 2017-03-26 0208 JA2DHF        59 0064 VK4QH         59 0695
QSO: 28451 PH 2017-03-26 0209 JA2DHF        59 065 DU3LA         59 567
QSO: 28000 PH 2017-03-26 0211 JA2DHF        59 069 V633KS        59 201
QSO: 28000 PH 2017-03-26 0216 JA2DHF        59 67 DV1KIR        59 148
QSO: 28475 PH 2017-03-26 0217 JA2DHF        59 0068 VK4KW         59 0219
QSO: 28000 PH 2017-03-26 0219 JA2DHF        59 069 DY1T          59 958
QSO: 14289 PH 2017-03-26 0225 JA2DHF        59 0070 BG2WRJ        59 0117
QSO: 14000 PH 2017-03-26 0227 JA2DHF        59 0271 DU1AV         59 0543
QSO: 14000 PH 2017-03-26 0229 JA2DHF        59 0072 YB0JS         59 0473
QSO: 28469 PH 2017-03-26 0420 JA2DHF        59 075 B7M           59 1236
QSO: 21000 PH 2017-03-26 0424 JA2DHF        59 0776 VK2AU         59 0923
QSO: 21261 PH 2017-03-26 0428 JA2DHF        59 0077 YE1K          59 1087
QSO: 21000 PH 2017-03-26 0430 JA2DHF        59 0078 DU1RB         59 0222
QSO: 21000 PH 2017-03-26 0434 JA2DHF        59 0079 YB2DX         59 0644
QSO: 21209 PH 2017-03-26 0436 JA2DHF        59 0080 BU2AU         59 0040
QSO: 21000 PH 2017-03-26 0438 JA2DHF        59 0081 YC1PRF        59 0392
QSO: 21000 PH 2017-03-26 0439 JA2DHF        59 0082 YB1C          59 0744
QSO: 21000 PH 2017-03-26 0442 JA2DHF        59 083 V633KS        59 339
QSO: 21267 PH 2017-03-26 0448 JA2DHF        59 0084 YB8RW         59 0784
QSO: 21000 PH 2017-03-26 0451 JA2DHF        59 0085 YB8UTI        59 0251
QSO: 21295 PH 2017-03-26 0452 JA2DHF        59 0086 KH2JU         59 0579
QSO: 21335 PH 2017-03-26 0454 JA2DHF        59 0087 BW0PX         59 1081
QSO: 14174 PH 2017-03-26 0457 JA2DHF        59 0088 BP0P          59 0108
QSO: 14000 PH 2017-03-26 0458 JA2DHF        59 0089 HL4RBR        59 0321
QSO: 14204 PH 2017-03-26 0501 JA2DHF        59 0090 BY6QS         59 0570
QSO: 21243 PH 2017-03-26 0604 JA2DHF        59 0091 VK4NM         59 1378
QSO: 21201 PH 2017-03-26 0608 JA2DHF        59 0092 HS5NMF        59 0893
QSO: 14278 PH 2017-03-26 0637 JA2DHF        59 0093 AH7/K8PGJ     59 1311
QSO: 21000 PH 2017-03-26 0703 JA2DHF        59 0094 VU2YVK        59 0532
QSO: 21000 PH 2017-03-26 0707 JA2DHF        59 0095 4E34A         59 0841
QSO: 14210 PH 2017-03-26 0719 JA2DHF        59 0097 VR2CC         59 1347
QSO: 14000 PH 2017-03-26 0726 JA2DHF        59 098 V633KS        59 469
QSO: 14300 PH 2017-03-26 0734 JA2DHF        59 0099 OM7M          59 2348
QSO: 14308 PH 2017-03-26 0740 JA2DHF        59 101 UP0L          59 2278
QSO: 14268 PH 2017-03-26 0744 JA2DHF        59 102 ES9C          59 2176
QSO: 14219 PH 2017-03-26 0747 JA2DHF        59 103 B1Z           59 0736
QSO: 21182 PH 2017-03-26 0753 JA2DHF        59 0104 UA4S          59 0202
QSO: 21000 PH 2017-03-26 0800 JA2DHF        59 105 DU1R          59 158
QSO: 21000 PH 2017-03-26 0802 JA2DHF        59 106 4D1R          59 1344
QSO:  7143 PH 2017-03-26 1206 JA2DHF        59 0107 BA4ER         59 0776
QSO:  7000 PH 2017-03-26 1212 JA2DHF        59 0148 YB2DX         59 0952
QSO:  7150 PH 2017-03-26 1216 JA2DHF        59 0109 K0DU          59 2377
QSO:  7000 PH 2017-03-26 1239 JA2DHF        59 110 W6AFA         59 1370
QSO:  7175 PH 2017-03-26 1243 JA2DHF        59 0191 WH6R          59 1490
QSO:  7190 PH 2017-03-26 1246 JA2DHF        59 0112 BV1EK         59 0367
QSO:  7153 PH 2017-03-26 1248 JA2DHF        59 0113 BG5BWZ        59 0638
QSO:  7108 PH 2017-03-26 1310 JA2DHF        59 0114 BH1LX         59 0093
QSO:  7145 PH 2017-03-26 2109 JA2DHF        59 0113 US1I          59 1752
QSO: 14000 PH 2017-03-26 2114 JA2DHF        59 116 KK7PW         59 1793
QSO: 14277 PH 2017-03-26 2116 JA2DHF        59 0117 KN7K          59 0318
QSO: 14195 PH 2017-03-26 2122 JA2DHF        59 119 WC6H          59 1355
QSO: 14173 PH 2017-03-26 2124 JA2DHF        59 0120 AD7JP         59 0742
QSO: 14335 PH 2017-03-26 2141 JA2DHF        59 0121 AA7CR         59 1182
QSO: 14300 PH 2017-03-26 2144 JA2DHF        59 122 RW0CR         59 349
QSO: 14287 PH 2017-03-26 2145 JA2DHF        59 123 AL1G          59 0127
QSO: 14225 PH 2017-03-26 2202 JA2DHF        59 0124 VE6DDD        59 0915
QSO: 14153 PH 2017-03-26 2207 JA2DHF        59 0125 VE3CX         59 2224
QSO: 14000 PH 2017-03-26 2215 JA2DHF        59 0126 VE7NY         59 0385
QSO: 14308 PH 2017-03-26 2217 JA2DHF        59 0127 BG7BES        59 0502
QSO: 14000 PH 2017-03-26 2226 JA2DHF        59 0129 YB8TK         59 0187
QSO: 14183 PH 2017-03-26 2231 JA2DHF        59 130 B3D           59 420
END-OF-LOG:
