START-OF-LOG: 3.0
CONTEST: WW-DIGI
CALLSIGN: WA4PTZ
LOCATION: TN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
GRID-LOCATOR: EM65pn
CLAIMED-SCORE: 6601
NAME: Timothy Savage
OPERATORS: WA4PTZ
CREATED-BY: N3FJP's World Wide Digi DX Contest Log 1.2.3
QSO:  7000 DG 2022-08-27 1212 WA4PTZ EM65   N5TJD  EM10
QSO:  7000 DG 2022-08-27 1216 WA4PTZ EM65   WA4IPU EL89
QSO:  7000 DG 2022-08-27 1220 WA4PTZ EM65   WA4HWN EM71
QSO:  7000 DG 2022-08-27 1222 WA4PTZ EM65   WU0O   EM48
QSO:  7000 DG 2022-08-27 1226 WA4PTZ EM65   KF8VN  EN63
QSO:  7000 DG 2022-08-27 1229 WA4PTZ EM65   KO4MBN FM18
QSO:  7000 DG 2022-08-27 1230 WA4PTZ EM65   AE0DX  EN42
QSO:  7000 DG 2022-08-27 1234 WA4PTZ EM65   ZL3RIK RE66
QSO:  7000 DG 2022-08-27 1236 WA4PTZ EM65   CM6TC  FL02
QSO:  7000 DG 2022-08-27 1239 WA4PTZ EM65   KE7AZ  DM42
QSO:  7000 DG 2022-08-27 1239 WA4PTZ EM65   KC3JNW FN11
QSO:  7000 DG 2022-08-27 1240 WA4PTZ EM65   N3KCR  FN10
QSO:  7000 DG 2022-08-27 1243 WA4PTZ EM65   NA5NN  EM50
QSO:  7000 DG 2022-08-27 1244 WA4PTZ EM65   AE9LL  EM79
QSO:  7000 DG 2022-08-27 1245 WA4PTZ EM65   NF3R   FN20
QSO:  7000 DG 2022-08-27 1246 WA4PTZ EM65   KC9YRA EN61
QSO:  7000 DG 2022-08-27 1246 WA4PTZ EM65   KK4JS  EM93
QSO:  7000 DG 2022-08-27 1249 WA4PTZ EM65   N0TA   DN70
QSO:  7000 DG 2022-08-27 1252 WA4PTZ EM65   WD4OIN FM14
QSO:  7000 DG 2022-08-27 1253 WA4PTZ EM65   KA9JCP EN52
QSO: 14081 DG 2022-08-27 1256 WA4PTZ EM65   K3MM   FM19
QSO:  7000 DG 2022-08-27 1303 WA4PTZ EM65   KC3PIB EN90
QSO:  7000 DG 2022-08-27 1306 WA4PTZ EM65   NS9I   EN64
QSO:  7000 DG 2022-08-27 1312 WA4PTZ EM65   N4SYB  EM61
QSO:  7000 DG 2022-08-27 1326 WA4PTZ EM65   WT0DX  DM79
QSO:  7000 DG 2022-08-27 1334 WA4PTZ EM65   N4SVC  EM80
QSO:  7000 DG 2022-08-27 1336 WA4PTZ EM65   WA2GOT FN31
QSO: 14000 DG 2022-08-27 1340 WA4PTZ EM65   KE0ZCE EN16
QSO: 14000 DG 2022-08-27 1342 WA4PTZ EM65   HK3CFM FJ24
QSO: 14000 DG 2022-08-27 1355 WA4PTZ EM65   HK3IXI FJ24
QSO: 14000 DG 2022-08-27 1358 WA4PTZ EM65   WA7BNM DM04
QSO: 14000 DG 2022-08-27 1412 WA4PTZ EM65   EA4HPY IN70
QSO: 14000 DG 2022-08-27 1416 WA4PTZ EM65   IK5FKF JN54
QSO: 14000 DG 2022-08-27 1421 WA4PTZ EM65   VE1BZI FN74
QSO: 21000 DG 2022-08-27 1517 WA4PTZ EM65   NT6X   DM13
QSO: 21000 DG 2022-08-27 1522 WA4PTZ EM65   TI2VVV EJ79
QSO: 21000 DG 2022-08-27 1525 WA4PTZ EM65   HJ3WHO FJ24
QSO: 14000 DG 2022-08-27 1600 WA4PTZ EM65   K6TAA  DM65
QSO: 14000 DG 2022-08-27 1608 WA4PTZ EM65   ND4G   EL98
QSO: 14000 DG 2022-08-27 1608 WA4PTZ EM65   K1SFA  FN32
QSO: 14000 DG 2022-08-27 1614 WA4PTZ EM65   NA3M   FM19
QSO: 14000 DG 2022-08-27 1616 WA4PTZ EM65   KF8VN  EN63
QSO: 14000 DG 2022-08-27 1619 WA4PTZ EM65   N1SOH  FN42
