START-OF-LOG: 3.0
CONTEST: WW-DIGI
CALLSIGN: K2WJ
LOCATION: STX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
GRID-LOCATOR: 
CLAIMED-SCORE: 0
NAME: John Hults
OPERATORS: K2WJ
CREATED-BY: N3FJP's World Wide Digi DX Contest Log 1.2.3
QSO:  7075 DG 2022-08-27 1202 K2WJ   EM20   KF9UG  EN71
QSO:  7076 DG 2022-08-27 1205 K2WJ   EM20   KF7F   DM37
QSO:  7076 DG 2022-08-27 1210 K2WJ   EM20   WB8CZH EL88
QSO:  7076 DG 2022-08-27 1212 K2WJ   EM20   KC9IKB EM69
QSO:  7076 DG 2022-08-27 1233 K2WJ   EM20   CM6AW  FL02
QSO: 14075 DG 2022-08-27 1235 K2WJ   EM20   N4NP   EM77
QSO: 14077 DG 2022-08-27 1245 K2WJ   EM20   N1SOH  FN42
QSO: 14076 DG 2022-08-27 1248 K2WJ   EM20   NY6DX  FN30
QSO: 14076 DG 2022-08-27 1249 K2WJ   EM20   N2CEP  FN20
QSO: 14076 DG 2022-08-27 1250 K2WJ   EM20   KD2JOE FM29
QSO: 14080 DG 2022-08-27 1304 K2WJ   EM20   N3QE   FM19
QSO: 14081 DG 2022-08-27 1304 K2WJ   EM20   JK7CWL QM07
QSO: 14083 DG 2022-08-27 1310 K2WJ   EM20   JK3HFN PM75
QSO: 14082 DG 2022-08-27 1314 K2WJ   EM20   AA3B   FN20
QSO: 14081 DG 2022-08-27 1319 K2WJ   EM20   N4SVC  EM80
QSO: 14081 DG 2022-08-27 1321 K2WJ   EM20   K2RET  FM29
QSO: 14083 DG 2022-08-27 1321 K2WJ   EM20   N0STL  EN35
QSO: 14081 DG 2022-08-27 1321 K2WJ   EM20   N4SVC  EM80
QSO: 14082 DG 2022-08-27 1324 K2WJ   EM20   W1UE   FN41
QSO: 14082 DG 2022-08-27 1339 K2WJ   EM20   N0AT   EN34
QSO: 14081 DG 2022-08-27 1340 K2WJ   EM20   K9OM   EN65
QSO: 14082 DG 2022-08-27 1342 K2WJ   EM20   N1IBM  FN33
QSO: 14081 DG 2022-08-27 1343 K2WJ   EM20   K3MM   FM19
QSO: 14081 DG 2022-08-27 1344 K2WJ   EM20   TI2VVV EJ79
QSO: 14081 DG 2022-08-27 1345 K2WJ   EM20   KO4VVQ FM16
QSO: 14082 DG 2022-08-27 1346 K2WJ   EM20   N7UVH  DN17
QSO: 14081 DG 2022-08-27 1347 K2WJ   EM20   N3WD   FM19
QSO: 14081 DG 2022-08-27 1359 K2WJ   EM20   YC8GPH PI06
