START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: RUSSIAN-DX
CALLSIGN: RG2Y
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: RG2Y
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for RUSSIAN-DX RussianDXContest/2024.
QSO: 28013 CW 2024-03-16 1219 RG2Y          599 BR VR2CO         599 0017
QSO: 28024 CW 2024-03-16 1221 RG2Y          599 BR A60A          599 0069
QSO: 28027 CW 2024-03-16 1223 RG2Y          599 BR VL2A          599 0030
QSO: 28024 CW 2024-03-16 1225 RG2Y          599 BR K3WW          599 0069
QSO: 28003 CW 2024-03-16 1226 RG2Y          599 BR K1LZ          599 0072
QSO: 28015 CW 2024-03-16 1227 RG2Y          599 BR W4WF          599 0059
QSO: 28011 CW 2024-03-16 1234 RG2Y          599 BR A73A          599 0130
QSO: 28015 CW 2024-03-16 1235 RG2Y          599 BR EF1A          599 0125
QSO: 28029 CW 2024-03-16 1238 RG2Y          599 BR NP4DX         599 0052
QSO: 28052 CW 2024-03-16 1241 RG2Y          599 BR A71WW         599 0011
QSO: 14004 CW 2024-03-16 1243 RG2Y          599 BR LZ7A          599 0063
QSO: 14000 CW 2024-03-16 1244 RG2Y          599 BR DL7YAD        599 0014
QSO: 14000 CW 2024-03-16 1245 RG2Y          599 BR EA5/RV2A      599 0008
QSO: 14004 CW 2024-03-16 1248 RG2Y          599 BR DL4ME         599 0024
QSO: 14004 CW 2024-03-16 1248 RG2Y          599 BR S52W          599 0070
QSO: 14004 CW 2024-03-16 1249 RG2Y          599 BR LZ1ZM         599 0069
QSO: 14004 CW 2024-03-16 1249 RG2Y          599 BR LZ2MP         599 0033
QSO: 14004 CW 2024-03-16 1250 RG2Y          599 BR HA5JI         599 0112
QSO: 14000 CW 2024-03-16 1251 RG2Y          599 BR HA6NN         599 0003
QSO: 14000 CW 2024-03-16 1252 RG2Y          599 BR DL1DVN        599 0002
QSO: 14004 CW 2024-03-16 1253 RG2Y          599 BR ES4RD         599 0037
QSO: 14004 CW 2024-03-16 1254 RG2Y          599 BR EV6Z          599 0055
QSO: 14004 CW 2024-03-16 1254 RG2Y          599 BR LZ5DI         599 0036
QSO: 14004 CW 2024-03-16 1254 RG2Y          599 BR LZ5R          599 0207
QSO: 14004 CW 2024-03-16 1254 RG2Y          599 BR SM7RYR        599 0042
QSO: 14004 CW 2024-03-16 1255 RG2Y          599 BR IK2ULV        599 0001
QSO: 14004 CW 2024-03-16 1258 RG2Y          599 BR DB100FK       599 0068
QSO: 14010 CW 2024-03-16 1302 RG2Y          599 BR UN7CN         599 0056
QSO: 14004 CW 2024-03-16 1303 RG2Y          599 BR LZ9R          599 0126
QSO: 14004 CW 2024-03-16 1304 RG2Y          599 BR YC2VOC        599 0024
QSO: 14004 CW 2024-03-16 1305 RG2Y          599 BR SP2R          599 0118
QSO: 14004 CW 2024-03-16 1307 RG2Y          599 BR LZ1QN         599 0054
QSO: 14004 CW 2024-03-16 1309 RG2Y          599 BR UN0LM         599 0084
QSO: 14004 CW 2024-03-16 1311 RG2Y          599 BR EV1R          599 0109
QSO: 14004 CW 2024-03-16 1312 RG2Y          599 BR HG8K          599 0059
QSO: 14000 CW 2024-03-16 1314 RG2Y          599 BR OK6OK         599 0051
QSO: 14004 CW 2024-03-16 1314 RG2Y          599 BR IV3FPX        599 0075
QSO: 14004 CW 2024-03-16 1315 RG2Y          599 BR HG6C          599 0053
QSO: 14008 CW 2024-03-16 1328 RG2Y          599 BR F4GOP         599 0022
QSO: 14008 CW 2024-03-16 1328 RG2Y          599 BR YO4AAC        599 0080
QSO: 14008 CW 2024-03-16 1336 RG2Y          599 BR YB1RKT        599 0001
QSO: 14008 CW 2024-03-16 1336 RG2Y          599 BR YU9YAU        599 0006
QSO: 14014 CW 2024-03-16 1336 RG2Y          599 BR YO2DFA        599 0063
QSO: 14000 CW 2024-03-16 1337 RG2Y          599 BR HA8EN         599 0020
QSO: 14051 CW 2024-03-16 1337 RG2Y          599 BR YU2M          599 0044
QSO: 14000 CW 2024-03-16 1338 RG2Y          599 BR UN7CAW        599 0038
QSO: 14008 CW 2024-03-16 1338 RG2Y          599 BR OM7LW         599 0120
QSO: 14000 CW 2024-03-16 1339 RG2Y          599 BR YO3BL         599 0060
QSO: 14008 CW 2024-03-16 1340 RG2Y          599 BR HA8TKS        599 0120
