START-OF-LOG: 3.0
CALLSIGN: KV1W
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 16254
NAME: Ric Plummer
LOCATION: ME
OPERATORS: KV1W
CLUB: YANKEE CLIPPER CONTEST CLUB
CERTIFICATE: NO
CREATED-BY: WriteLog V12.24G
SOAPBOX: 100 Watts and a 30' vertical on the shore line isn't easy in the pileups
SOAPBOX: Also, the PTT delay with internet remote makes it "interesting".
QSO: 14190 PH 2018-03-24 1551 KV1W           59    1 EA5SR          59 337
QSO: 14238 PH 2018-03-24 1557 KV1W           59    2 9A1A           59 799
QSO: 14272 PH 2018-03-24 1715 KV1W           59    3 TM0T           59 1503
QSO: 14275 PH 2018-03-24 1716 KV1W           59    4 IO5O           59 1944
QSO: 14292 PH 2018-03-24 1718 KV1W           59    5 DL2ARD         59 1267
QSO: 14328 PH 2018-03-24 1721 KV1W           59    6 S50G           59 1146
QSO: 14332 PH 2018-03-24 1722 KV1W           59    7 II1A           59 1011
QSO: 14207 PH 2018-03-24 1903 KV1W           59    8 LZ9W           59 1233
QSO: 14210 PH 2018-03-24 1904 KV1W           59    9 YT1A           59 1268
QSO: 14222 PH 2018-03-24 1907 KV1W           59   10 IR6T           59 974
QSO: 14226 PH 2018-03-24 1908 KV1W           59   11 9A70A          59 2053
QSO: 14257 PH 2018-03-24 1910 KV1W           59   12 CN2AA          59 3507
QSO: 14269 PH 2018-03-24 1912 KV1W           59   13 EF8R           59 3806
QSO: 14289 PH 2018-03-24 1913 KV1W           59   14 GB2GP          59 460
QSO: 14304 PH 2018-03-24 1914 KV1W           59   15 IR4M           59 1962
QSO: 14340 PH 2018-03-24 1916 KV1W           59   16 II8T           59 863
QSO: 14312 PH 2018-03-24 1918 KV1W           59   17 DP7D           59 825
QSO: 14224 PH 2018-03-24 1923 KV1W           59   18 HA1AG          59 1470
QSO: 14177 PH 2018-03-24 1932 KV1W           59   19 EF1W           59 1068
QSO: 14169 PH 2018-03-24 2359 KV1W           59   20 K1TO           59 381
QSO: 14224 PH 2018-03-25 0004 KV1W           59   21 ZY2A           59 542
QSO: 14258 PH 2018-03-25 0007 KV1W           59   22 KP2XX          59 1574
QSO:  7218 PH 2018-03-25 0014 KV1W           59   23 WT2P           59 338
