START-OF-LOG: 3.0
CALLSIGN: K3URT
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 68182
NAME: CURTIS D SANDERS
LOCATION: EPA
OPERATORS: K3URT
CLUB: FRANKFORD RADIO CLUB
CERTIFICATE: YES
CREATED-BY: RUMlogNG (3.11.1) by DL2RUM
SOAPBOX: 36 HOURS FOR THIS? I���LL WAIT FOR THE SOLAR HIGH NEXT.
QSO:  7147 PH 2018-03-24 0008 K3URT         59  001    WQ5OO         59  029    0
QSO:  7154 PH 2018-03-24 0010 K3URT         59  002    KU2M          59  024    0
QSO:  7159 PH 2018-03-24 0013 K3URT         59  003    K3RA          59  026    0
QSO:  7162 PH 2018-03-24 0014 K3URT         59  004    VC2A          59  049    0
QSO:  7171 PH 2018-03-24 0018 K3URT         59  005    V31VP         59  044    0
QSO:  7174 PH 2018-03-24 0020 K3URT         59  006    K3IE          59  051    0
QSO:  7176 PH 2018-03-24 0021 K3URT         59  007    W4QNW         59  012    0
QSO:  7182 PH 2018-03-24 0022 K3URT         59  008    K1LZ          59  059    0
QSO:  7184 PH 2018-03-24 0025 K3URT         59  009    AB3CX         59  036    0
QSO:  7187 PH 2018-03-24 0027 K3URT         59  010    WW4LL         59  056    0
QSO:  7198 PH 2018-03-24 0031 K3URT         59  011    EF8R          59  129    0
QSO:  7128 PH 2018-03-24 0035 K3URT         59  012    VP5P          59  060    0
QSO:  7282 PH 2018-03-24 0046 K3URT         59  013    VE3CX         59  096    0
QSO:  7275 PH 2018-03-24 0048 K3URT         59  014    KD0JLE        59  32     0
QSO:  7246 PH 2018-03-24 0050 K3URT         59  015    NW0M          59  72     0
QSO:  7243 PH 2018-03-24 0051 K3URT         59  016    K8GIB         59  065    0
QSO:  7234 PH 2018-03-24 0052 K3URT         59  017    AD8J          59  038    0
QSO:  7232 PH 2018-03-24 0054 K3URT         59  018    AD5XD         59  114    0
QSO:  7228 PH 2018-03-24 0057 K3URT         59  019    KD4RH         59  052    0
QSO:  7223 PH 2018-03-24 0057 K3URT         59  020    HI3K          59  038    0
QSO:  7220 PH 2018-03-24 0059 K3URT         59  021    K4AFE         59  123    0
QSO:  7168 PH 2018-03-24 0108 K3URT         59  022    IR4X          59  138    0
QSO:  7165 PH 2018-03-24 0111 K3URT         59  023    TM0T          59  151    0
QSO:  7160 PH 2018-03-24 0113 K3URT         59  024    AA4AQ         59  235    0
QSO:  7140 PH 2018-03-24 0120 K3URT         59  025    WZ4F          59  061    0
QSO:  7132 PH 2018-03-24 0124 K3URT         59  026    IR4M          59  174    0
QSO:  7168 PH 2018-03-24 0144 K3URT         59  027    WK9U          59  092    0
QSO:  7144 PH 2018-03-24 0149 K3URT         59  028    K0WA          59  152    0
QSO:  7142 PH 2018-03-24 0153 K3URT         59  029    CN3A          59  273    0
QSO:  3794 PH 2018-03-24 0207 K3URT         59  030    KD4D          59  106    0
QSO:  3788 PH 2018-03-24 0208 K3URT         59  031    ND8DX         59  157    0
QSO:  3757 PH 2018-03-24 0211 K3URT         59  032    VB3T          59  238    0
QSO:  3747 PH 2018-03-24 0215 K3URT         59  033    KG4Z          59  103    0
QSO:  3744 PH 2018-03-24 0216 K3URT         59  034    WZ8DX         59  102    0
QSO:  3742 PH 2018-03-24 0217 K3URT         59  035    9A8M          59  295    0
QSO:  3694 PH 2018-03-24 0226 K3URT         59  036    K3IE          59  284    0
QSO:  3674 PH 2018-03-24 0228 K3URT         59  037    W8MJ          59  195    0
QSO:  3800 PH 2018-03-24 0231 K3URT         59  038    AC1U          59  312    0
QSO:  3778 PH 2018-03-24 0238 K3URT         59  039    VE3WRL        59  129    0
QSO:  3800 PH 2018-03-24 0253 K3URT         59  040    NN2DX         59  232    0
QSO:  3762 PH 2018-03-24 1024 K3URT         59  041    K9KE          59  198    0
QSO:  3762 PH 2018-03-24 1024 K3URT         59  042    K5FUV         59  148    0
QSO:  3762 PH 2018-03-24 1028 K3URT         59  043    KW7Y          59  539    0
QSO:  7185 PH 2018-03-24 1032 K3URT         59  044    NR5M          59  859    0
QSO:  7153 PH 2018-03-24 1043 K3URT         59  045    KM4SEG        59  152    0
QSO:  7194 PH 2018-03-24 1048 K3URT         59  046    PJ2T          59  655    0
QSO:  7210 PH 2018-03-24 1056 K3URT         59  047    KJ5Y          59  504    0
QSO:  7197 PH 2018-03-24 1058 K3URT         59  048    NH7A          59  965    0
QSO:  7189 PH 2018-03-24 1101 K3URT         59  049    VK4KW         59  271    0
QSO:  7156 PH 2018-03-24 1106 K3URT         59  050    NR6Q          59  797    0
QSO:  7170 PH 2018-03-24 1113 K3URT         59  051    W5CT          59  453    0
QSO:  7149 PH 2018-03-24 1224 K3URT         59  052    AG4W          59  491    0
QSO:  7180 PH 2018-03-24 1234 K3URT         59  053    W8PR          59  483    0
QSO:  7184 PH 2018-03-24 1236 K3URT         59  054    KD5DD         59  863    0
QSO: 14262 PH 2018-03-24 1244 K3URT         59  055    KJ4QHL        59  092    0
QSO: 14318 PH 2018-03-24 1248 K3URT         59  056    KJ5Y          59  616    0
QSO: 14178 PH 2018-03-24 1253 K3URT         59  057    NR5M          59  1065   0
QSO: 14228 PH 2018-03-24 1301 K3URT         59  058    TI7W          59  1085   0
QSO: 14244 PH 2018-03-24 1302 K3URT         59  059    KT5J          59  878    0
QSO: 14253 PH 2018-03-24 1307 K3URT         59  060    KU4FX         59  110    0
QSO: 14284 PH 2018-03-24 1713 K3URT         59  061    K2OY          59  708    0
QSO: 14269 PH 2018-03-24 1715 K3URT         59  062    EF8R          59  3392   0
QSO: 14241 PH 2018-03-24 1717 K3URT         59  063    TM6M          59  2392   0
QSO: 14236 PH 2018-03-24 1718 K3URT         59  064    IB8R          59  508    0
QSO: 14207 PH 2018-03-24 1724 K3URT         59  065    LZ9W          59  1107   0
QSO: 14191 PH 2018-03-24 1725 K3URT         59  066    LA6VQ         59  729    0
QSO: 14183 PH 2018-03-24 1727 K3URT         59  067    AA4AQ         59  1041   0
QSO: 14171 PH 2018-03-24 1730 K3URT         59  068    SV2DSJ        59  1250   0
QSO: 21331 PH 2018-03-24 1736 K3URT         59  069    P49Y          59  1657   0
QSO: 21326 PH 2018-03-24 1738 K3URT         59  070    WP4OFO        59  055    0
QSO: 21293 PH 2018-03-24 1739 K3URT         59  071    W6YX          59  635    0
QSO: 21290 PH 2018-03-24 1740 K3URT         59  072    NR6Q          59  1356   0
QSO: 21266 PH 2018-03-24 1742 K3URT         59  073    HK3TK         59  128    0
QSO: 21228 PH 2018-03-24 1744 K3URT         59  074    NR6O          59  142    0
QSO: 21252 PH 2018-03-24 1747 K3URT         59  075    ZX5J          59  1612   0
QSO: 21244 PH 2018-03-24 1748 K3URT         59  076    TO2BC         59  662    0
QSO: 21235 PH 2018-03-24 1750 K3URT         59  077    ZV5O          59  719    0
QSO: 21218 PH 2018-03-24 1751 K3URT         59  078    XE2B          59  052    0
QSO: 21318 PH 2018-03-24 1753 K3URT         59  079    KI6RRN        59  527    0
QSO: 21285 PH 2018-03-24 1754 K3URT         59  080    FY5KE         59  1136   0
QSO: 28507 PH 2018-03-24 1806 K3URT         59  081    4M6R          59  045    0
QSO: 28406 PH 2018-03-24 2223 K3URT         59  082    PY2VOX        59  194    0
QSO: 28410 PH 2018-03-24 2228 K3URT         59  083    ZY2Y          59  405    0
QSO: 28420 PH 2018-03-24 2230 K3URT         59  084    NP2N          59  1411   0
QSO: 28445 PH 2018-03-24 2232 K3URT         59  085    ZV5O          59  371    0
QSO: 28463 PH 2018-03-24 2234 K3URT         59  086    PY5WW         59  768    0
QSO: 21275 PH 2018-03-24 2248 K3URT         59  087    TI2OY         59  466    0
QSO: 21357 PH 2018-03-24 2250 K3URT         59  088    PY2KJ         59  844    0
QSO: 21369 PH 2018-03-24 2252 K3URT         59  089    T42C          59  196    0
QSO: 21268 PH 2018-03-24 2257 K3URT         59  090    PJ4V          59  1026   0
QSO: 21270 PH 2018-03-24 2258 K3URT         59  091    TG9ANF        59  1024   0
QSO: 21284 PH 2018-03-24 2300 K3URT         59  092    OA4SS         59  732    0
QSO: 21289 PH 2018-03-24 2301 K3URT         59  093    ZV2C          59  708    0
QSO: 21303 PH 2018-03-24 2303 K3URT         59  094    PJ2T          59  969    0
QSO: 21324 PH 2018-03-24 2305 K3URT         59  095    K5JX          59  185    0
QSO: 14169 PH 2018-03-24 2324 K3URT         59  096    K1TO          59  266    0
QSO: 14173 PH 2018-03-24 2326 K3URT         59  097    K0WA          59  614    0
QSO: 14194 PH 2018-03-24 2328 K3URT         59  098    AI5IN         59  084    0
QSO: 14220 PH 2018-03-24 2329 K3URT         59  099    KA0BOJ        59  278    0
QSO: 14248 PH 2018-03-24 2338 K3URT         59  100    KG5HVO        59  609    0
QSO: 14278 PH 2018-03-24 2341 K3URT         59  101    NR6O          59  788    0
QSO: 14295 PH 2018-03-24 2343 K3URT         59  102    W5CT          59  1186   0
QSO: 14307 PH 2018-03-24 2345 K3URT         59  103    WI0WA         59  1280   0
QSO: 14316 PH 2018-03-24 2346 K3URT         59  104    VE5MX         59  192    0
QSO: 14319 PH 2018-03-24 2348 K3URT         59  105    KU8E          59  152    0
QSO: 14330 PH 2018-03-24 2349 K3URT         59  106    NC6R          59  949    0
QSO: 14160 PH 2018-03-24 2352 K3URT         59  107    NY4I          59  655    0
QSO: 14188 PH 2018-03-25 0000 K3URT         59  108    CB1H          59  639    0
QSO: 14276 PH 2018-03-25 0008 K3URT         59  109    W8WOM         59  223    0
QSO:  7136 PH 2018-03-25 0018 K3URT         59  110    WJ4X          59  612    0
QSO:  7141 PH 2018-03-25 0019 K3URT         59  111    VE3OTL        59  508    0
QSO:  7148 PH 2018-03-25 0020 K3URT         59  112    KM9P          59  633    0
QSO:  7182 PH 2018-03-25 0025 K3URT         59  113    K8AO          59  366    0
QSO:  7226 PH 2018-03-25 0029 K3URT         59  114    WT9Q          59  359    0
QSO:  7236 PH 2018-03-25 0032 K3URT         59  115    NT5V          59  926    0
QSO:  7237 PH 2018-03-25 0056 K3URT         59  116    8P5A          59  3320   0
QSO:  7233 PH 2018-03-25 0057 K3URT         59  117    ND9G          59  229    0
QSO:  7225 PH 2018-03-25 0058 K3URT         59  118    PJ4R          59  2120   0
QSO:  7279 PH 2018-03-25 0100 K3URT         59  119    K9KE          59  601    0
QSO:  3798 PH 2018-03-25 0105 K3URT         59  120    KW3A          59  419    0
QSO:  3783 PH 2018-03-25 0107 K3URT         59  121    AB8M          59  146    0
QSO:  3778 PH 2018-03-25 0107 K3URT         59  122    WX3B          59  460    0
QSO:  3769 PH 2018-03-25 0110 K3URT         59  123    NJ1F          59  155    0
QSO:  3762 PH 2018-03-25 0112 K3URT         59  124    LZ9W          59  982    0
QSO:  3706 PH 2018-03-25 0135 K3URT         59  125    WA2ZB         59  582    0
QSO:  3721 PH 2018-03-25 0137 K3URT         59  126    KS9K          59  697    0
QSO:  3727 PH 2018-03-25 0138 K3URT         59  127    W3BGN         59  431    0
QSO:  3739 PH 2018-03-25 0140 K3URT         59  128    OM7M          59  759    0
QSO:  3745 PH 2018-03-25 0141 K3URT         59  129    KB1RI         59  748    0
QSO:  3752 PH 2018-03-25 0145 K3URT         59  130    AB3CX         59  1328   0
QSO:  3765 PH 2018-03-25 0147 K3URT         59  131    PJ2T          59  283    0
QSO:  3771 PH 2018-03-25 0151 K3URT         59  132    K4BAI         59  149    0
QSO:  3774 PH 2018-03-25 0152 K3URT         59  133    VE3CX         59  1588   0
QSO:  3780 PH 2018-03-25 0153 K3URT         59  134    TM6M          59  3353   0
